"Site","Area_m2","count"
"SA",454,1
"SA",508,1
"SA",557,1
"SA",573,1
"SA",578,1
"SA",582,1
"SA",587,1
"SA",588,2
"SA",605,2
"SA",613,1
"SA",621,2
"SA",629,1
"SA",634,1
"SA",658,1
"SA",660,1
"SA",730,1
"SA",738,1
"SB",526,1
"SB",546,1
"SB",553,1
"SB",564,1
"SB",574,1
"SB",582,1
"SB",590,1
"SB",591,1
"SB",595,1
"SB",608,1
"SB",611,1
"SB",612,1
"SB",632,2
"SB",638,1
"SB",641,1
"SB",643,1
"SB",649,1
"SB",674,1
"SB",692,1
"SC",555,2
"SC",556,1
"SC",559,1
"SC",562,1
"SC",572,1
"SC",577,1
"SC",578,1
"SC",586,1
"SC",588,1
"SC",591,1
"SC",596,1
"SC",624,1
"SC",630,1
"SC",636,1
"SC",644,1
"SC",652,1
"SC",656,1
"SC",678,1
"SC",743,1
"SD",601,1
"SD",604,2
"SD",610,1
"SD",616,1
"SD",618,1
"SD",623,1
"SD",631,1
"SD",644,1
"SD",658,1
"SD",661,1
"SD",700,1
"SD",702,1
"SD",704,1
"SD",715,1
"SD",721,1
"SD",725,1
"SD",732,1
"SD",755,1
"SD",762,1
"SE",533,1
"SE",555,1
"SE",564,1
"SE",575,1
"SE",580,1
"SE",581,2
"SE",585,1
"SE",586,1
"SE",598,1
"SE",599,1
"SE",610,1
"SE",625,1
"SE",641,1
"SE",642,1
"SE",648,1
"SE",654,1
"SE",678,1
"SE",733,1
"SE",750,1
"SF",516,1
"SF",526,1
"SF",529,1
"SF",540,1
"SF",551,2
"SF",555,1
"SF",559,1
"SF",566,2
"SF",568,1
"SF",570,1
"SF",574,1
"SF",579,1
"SF",583,1
"SF",606,1
"SF",631,1
"SF",636,1
"SF",707,1
"SF",773,1
