I.D code,Latitude,Longitude,Elevation,Date,Time
18,-19.709186,29.32096398,1330.512817,2024-03-19T07:38:37Z,
19,-19.68071996,29.31349503,1347.935303,2024-03-21T07:30:24Z,
20,-19.67223002,29.30511002,1345.670776,2024-03-20T05:56:00Z,
21,-19.658609,29.27102996,1307.135864,2024-03-20T06:12:10Z,
22,-19.681258,29.31345304,1339.877319,2024-03-21T07:33:17Z,
23,-19.66130102,29.26956899,1319.421143,2024-03-21T10:27:39Z,
24,-19.662663,29.33256503,1322.317871,2024-03-22T08:57:20Z,
25,-19.66197702,29.33020201,1312.378174,2024-03-22T12:20:04Z,
26,-19.63940003,29.268922,1302.589844,2024-03-23T07:08:30Z,
27,-19.63964696,29.22060099,1339.626343,2024-03-27T06:23:14Z,
28,-19.71273104,29.32265704,1340.332764,2024-04-07T08:49:34Z,
29,-19.53063402,29.18505896,1297.293213,2024-04-09T13:00:15Z,
30,-19.53222499,29.18496299,1291.352783,2024-04-11T06:19:40Z,
31,-19.662808,29.33056897,1319.162598,2024-04-16T06:40:53Z,
32,-19.682337,29.314309,1341.233032,2024-04-18T08:22:19Z,
33,-19.68259198,29.31446004,1340.073242,2024-04-18T11:24:10Z,
34,-19.63943498,29.22115697,1339.396973,2024-04-24T10:42:59Z,
35,-19.662506,29.3323,1317.950073,2024-05-20T12:29:44Z,
A1BIII,34.35781396,-106.680516,291.842529,2022-03-15T16:54:27Z,
A1Z1CR1,-19.68070798,29.31360399,1341.426636,2024-04-20T08:44:18Z,
A1Z1CR4,-19.68070404,29.31343703,1341.073975,2024-04-20T08:47:07Z,
A1Z1Q1,-19.680726,29.31357197,1340.790161,2024-04-20T08:45:13Z,
A1Z1Q2,-19.680956,29.31349997,1340.352783,2024-04-20T08:42:07Z,
A1Z1Q3,-19.68095197,29.31338103,1339.127075,2024-04-20T08:26:37Z,
A1Z1Q4,-19.68074896,29.31345102,1341.592773,2024-04-20T08:49:03Z,
A1Z1Q5,-19.68084997,29.31350098,1341.784912,2024-04-20T08:52:57Z,
A1Z2CR4,-19.68070596,29.31324298,1342.21167,2024-04-20T08:56:03Z,
A1Z2Q1,-19.68072801,29.31339696,1340.759033,2024-04-20T08:50:14Z,
A1Z2Q2,-19.68094502,29.31330501,1340.184937,2024-04-20T08:29:54Z,
A1Z2Q3,-19.68097301,29.31317702,1341.898315,2024-04-20T09:00:24Z,
A1Z2Q31,-19.68094996,29.31322597,1342.025757,2024-04-20T09:02:12Z,
A1Z2Q4,-19.68075701,29.31327098,1342.320068,2024-04-20T08:58:02Z,
A1Z2Q5,-19.68084502,29.31328196,1341.685425,2024-04-20T08:59:15Z,
A1Z3CR1,-19.68096698,29.31354197,1342.220215,2024-04-20T08:38:43Z,
A1Z3CR2,-19.68124098,29.31348103,1338.704834,2024-04-20T08:12:09Z,
A1Z3CR3,-19.68124802,29.31329504,1339.302734,2024-04-20T08:15:50Z,
A1Z3Q1,-19.68100998,29.31354197,1341.319824,2024-04-20T08:40:18Z,
A1Z3Q2,-19.68121399,29.31343904,1338.977539,2024-04-20T08:13:10Z,
A1Z3Q3,-19.68122296,29.31332404,1339.042725,2024-04-20T08:16:46Z,
A1Z3Q4,-19.68102599,29.313375,1338.859741,2024-04-20T08:24:55Z,
A1Z3Q5,-19.681114,29.313361,1341.292236,2024-04-20T08:35:11Z,
A1Z4CR3,-19.68096597,29.31318004,1342.546753,2024-04-20T09:04:17Z,
A1Z4CR31,-19.68122598,29.31312698,1344.240723,2024-04-20T09:09:25Z,
A1Z4Q1,-19.68102003,29.31331398,1340.345215,2024-04-20T08:31:20Z,
