ID,latitude,longitude,elevation,date,h_acc,v_acc
SAP1Z1CR1,-19.68069178,29.31361365,1344.954,10/02/2026,,
SAP1Z1CR4,-19.68070079,29.31342051,1344.844,10/02/2026,,
SAP1Z1Q1,-19.68072112,29.31356948,1344.825,10/02/2026,,
SAP1Z1Q2,-19.68090458,29.31353111,1345.613,10/02/2026,,
SAP1Z1Q3,-19.68092887,29.31338086,1345.701,10/02/2026,,
SAP1Z1Q4,-19.68073266,29.31344774,1344.977,10/02/2026,,
SAP1Z1Q5,-19.68083891,29.31349826,1345.353,10/02/2026,,
SAP1Z2CR4,-19.68069212,29.3132347,1345.213,10/02/2026,,
SAP1Z2Q1,-19.68072882,29.31337884,1344.952,10/02/2026,,
SAP1Z2Q2,-19.6809278,29.31330086,1345.842,10/02/2026,,
SAP1Z2Q3,-19.68093172,29.31320895,1346.1,10/02/2026,,
SAP1Z2Q4,-19.68073623,29.31325787,1345.299,10/02/2026,,
SAP1Z2Q5,-19.68082232,29.31327985,1345.286,10/02/2026,,
SAP1Z3CR1,-19.68096147,29.31355606,1345.877,10/02/2026,,
SAP1Z3CR2,-19.68122832,29.31347876,1346.193,10/02/2026,,
SAP1Z3CR3,-19.6812377,29.31330365,1347.933,10/02/2026,,
SAP1Z3Q1,-19.68100463,29.3135222,1345.747,10/02/2026,,
SAP1Z3Q2,-19.68121444,29.31343672,1346.978,10/02/2026,,
SAP1Z3Q3,-19.68120685,29.31333487,1347.631,10/02/2026,,
SAP1Z3Q4,-19.68099135,29.31337392,1346.057,10/02/2026,,
SAP1Z3Q5,-19.68109119,29.31338198,1346.339,10/02/2026,,
SAP1Z4CR3,-19.68095822,29.31317051,1346.935,10/02/2026,,
SAP1Z4CR4,-19.68122225,29.31311554,1348.874,10/02/2026,,
SAP1Z4Q1,-19.68098918,29.31331618,1346.327,10/02/2026,,
SAP1Z4Q2,-19.68120323,29.31326592,1347.789,10/02/2026,,
SAP1Z4Q3,-19.68119961,29.31316208,1348.594,10/02/2026,,
SAP1Z4Q4,-19.68098862,29.31320014,1346.677,10/02/2026,,
SAP1Z4Q5,-19.68108017,29.31322122,1346.925,10/02/2026,,
SAP1ZCENTER,-19.68096168,29.31334606,1346.172,10/02/2026,,
SAP2Z1CR1,-19.68074173,29.31419703,1346.969,10/02/2026,,
SAP2Z1CR2,-19.68101005,29.31414505,1346.948,10/02/2026,,
SAP2Z1Q1,-19.68077149,29.31416082,1346.922,10/02/2026,,
SAP2Z1Q2,-19.68096302,29.31411861,1346.971,10/02/2026,,
SAP2Z1Q3,-19.68095877,29.31397552,1346.632,10/02/2026,,
SAP2Z1Q4,-19.6807556,29.31404732,1347.105,10/02/2026,,
