I.D_code ,longitude,latitude
SAP1Z1CR1,29.31361365,-19.68069178
SAP1Z1CR2,29.31354197,-19.68096698
SAP1Z1CR4,29.31342051,-19.68070079
SAP1Z2CR1,29.31343703,-19.68070404
SAP1Z2CR3,29.31318004,-19.68096597
SAP1Z2CR4,29.3132347,-19.68069212
SAP1Z3CR1,29.31355606,-19.68096147
SAP1Z3CR2,29.31347876,-19.68122832
SAP1Z3CR3,29.31330365,-19.6812377
SAP1Z4CR1,29.31329504,-19.68124802
SAP1Z4CR3,29.31317051,-19.68095822
SAP1Z4CR4,29.31311554,-19.68122225
SAP1ZCENTER,29.31334606,-19.68096168
SAP2Z1CR1,29.31419703,-19.68074173
SAP2Z1CR2,29.31414505,-19.68101005
SAP2Z1CR4,29.31400096,-19.68073698
SAP2Z2CR1,29.31400539,-19.6807212
SAP2Z2CR3,29.313749,-19.68099003
SAP2Z2CR4,29.31381413,-19.68070757
SAP2Z3CR1,29.31413197,-19.68100403
SAP2Z3CR2,29.31410886,-19.68128654
SAP2Z3CR4,29.31391668,-19.68126003
SAP2Z4CR2,29.31389099,-19.68126403
SAP2Z4CR3,29.31372239,-19.68125492
SAP2Z4CR4,29.31374797,-19.6809775
SAP2ZCENTER,29.31394217,-19.68098923
SAP3Z1CR1,29.31365541,-19.68152407
SAP3Z1CR2,29.31384799,-19.68155002
SAP3Z1CR4,29.3136075,-19.68179211
SAP3Z2CR2,29.31372796,-19.68208797
SAP3Z2CR3,29.31355507,-19.68206288
SAP3Z2CR4,29.31360399,-19.68181397
SAP3Z3CR1,29.31384101,-19.68153861
SAP3Z3CR2,29.31404653,-19.68154516
SAP3Z3CR3,29.31399602,-19.68182101
SAP3Z4CR2,29.31399527,-19.68181796
SAP3Z4CR3,29.31393947,-19.68208806
SAP3Z4CR4,29.31375316,-19.68208701
SAP3ZCENTER,29.31378833,-19.68180634
SAP4Z1CR1,29.31300611,-19.68151742
SAP4Z1CR2,29.31317416,-19.68153824
SAP4Z1CR3,29.31301613,-19.68179113
SAP4Z2CR1,29.31302296,-19.68179201
SAP4Z2CR3,29.31320401,-19.68205101
SAP4Z2CR4,29.31301736,-19.6820504
SAP4Z3CR1,29.31319303,-19.68155002
SAP4Z3CR2,29.31337843,-19.6815504
SAP4Z3CR3,29.31337745,-19.68182762
SAP4Z4CR2,29.31338497,-19.68185403
SAP4Z4CR3,29.31335789,-19.68207905
SAP4Z4CR4,29.31319619,-19.68206503
SAP4ZCENTER,29.31320503,-19.68183702
SAP5Z1CR1,29.31432857,-19.68206141
SAP5Z1CR2,29.31452135,-19.68207109
SAP5Z1CR4,29.31430268,-19.68232974
SAP5Z2CR1,29.31430497,-19.68233398
SAP5Z2CR3,29.31451804,-19.68261796
SAP5Z2CR4,29.31426003,-19.68260071
SAP5Z3CR1,29.31450002,-19.68207196
SAP5Z3CR2,29.31474729,-19.6820913
SAP5Z3CR3,29.314726,-19.68236399
SAP5Z4CR2,29.31471264,-19.68236717
SAP5Z4CR3,29.31471182,-19.68265514
SAP5Z4CR4,29.31451828,-19.68262385
SAP5ZCENTER,29.31450814,-19.68234291
SBP1Z1CR1,29.32336496,-19.7127241
SBP1Z1CR2,29.32312922,-19.71261124
SBP1Z1CR4,29.32323203,-19.712869
SBP1Z2CR1,29.32311823,-19.71258321
SBP1Z2CR3,29.32285563,-19.71245864
SBP1Z2CR4,29.32274104,-19.71259959
SBP1Z3CR1,29.32326013,-19.71286903
SBP1Z3CR2,29.32314528,-19.71302647
SBP1Z3CR3,29.32289178,-19.7128836
SBP1Z4CR2,29.32275401,-19.71262098
SBP1Z4CR3,29.32262346,-19.71274504
SBP1Z4CR4,29.32288704,-19.712883
SBP1ZCENTER,29.32300311,-19.71272932
SBP2Z1CR1,29.32258268,-19.71221768
SBP2Z1CR2,29.32245503,-19.71235997
SBP2Z1CR4,29.32235403,-19.71210097
SBP2Z2CR1,29.32235135,-19.71205607
SBP2Z2CR3,29.32202474,-19.71203761
SBP2Z2CR4,29.32212233,-19.71187722
SBP2Z3CR1,29.32246633,-19.712355
SBP2Z3CR2,29.32234541,-19.71250412
SBP2Z3CR3,29.32211874,-19.71234795
SBP2Z4CR2,29.32212302,-19.71239702
SBP2Z4CR3,29.32188968,-19.71218721
SBP2Z4CR4,29.32199897,-19.712048
SBP2ZCENTER,29.32222239,-19.71218925
SBP3Z1CR1,29.32201009,-19.71318992
SBP3Z1CR2,29.32175641,-19.71304412
SBP3Z1CR4,29.32210828,-19.71303782
SBP3Z2CR1,29.32212001,-19.71306204
SBP3Z2CR3,29.32195994,-19.71272572
SBP3Z2CR4,29.32219646,-19.71285221
SBP3Z3CR1,29.32177803,-19.71304704
SBP3Z3CR2,29.32150976,-19.71289218
SBP3Z3CR3,29.32161355,-19.7127348
SBP3Z4CR2,29.321616,-19.71274202
SBP3Z4CR3,29.32170093,-19.71258792
SBP3Z4CR4,29.32196201,-19.71274202
SBP3ZCENTER,29.32185647,-19.71288108
SBP4Z1CR1,29.32115298,-19.71281151
SBP4Z1CR2,29.32085933,-19.71275978
SBP4Z1CR4,29.32122864,-19.71266336
SBP4Z2CR1,29.32125198,-19.71261696
SBP4Z2CR3,29.32101026,-19.71243368
SBP4Z2CR4,29.32131176,-19.7124705
SBP4Z3CR1,29.32086599,-19.71273799
SBP4Z3CR2,29.32061718,-19.71273181
SBP4Z3CR3,29.32063405,-19.71253493
SBP4Z4CR1,29.320982,-19.71247799
SBP4Z4CR2,29.32061302,-19.71256499
SBP4Z4CR3,29.3207396,-19.71238015
SBP4ZCENTER,29.32094084,-19.71259
SBP5Z1CR1,29.32086426,-19.71315803
SBP5Z1CR2,29.32080467,-19.71333745
SBP5Z1CR4,29.32058408,-19.71308745
SBP5Z2CR1,29.32058302,-19.71310403
SBP5Z2CR3,29.32020922,-19.71317923
SBP5Z2CR4,29.32030162,-19.71301167
SBP5Z3CR1,29.32079399,-19.71335599
SBP5Z3CR2,29.32071914,-19.71350733
SBP5Z3CR3,29.32042009,-19.71341789
SBP5Z4CR2,29.32042996,-19.71341198
SBP5Z4CR3,29.32012944,-19.71334536
SBP5Z4CR4,29.32020701,-19.71318802
SBP5ZCENTER,29.32050523,-19.71325218
SCP1Z1CR1,29.33219575,-19.66210065
SCP1Z1CR2,29.33194203,-19.66220027
SCP1Z1CR4,29.33188113,-19.66203357
SCP1Z2CR2,29.33187998,-19.66204299
