I.D.code,Latitude,Longitude,Elevation,Date,Time,,,,,,
SAP1Z1Q1,-19.680726,29.31357197,1340.790161,2024-04-20T08:45:13Z,NA,,,,,,
SAP1Z1Q2,-19.680956,29.31349997,1340.352783,2024-04-20T08:42:07Z,NA,,,,,,
SAP1Z1Q3,-19.68095197,29.31338103,1339.127075,2024-04-20T08:26:37Z,NA,,,,,,
SAP1Z1Q4,-19.68074896,29.31345102,1341.592773,2024-04-20T08:49:03Z,NA,,,,,,
SAP1Z1Q5,-19.68084997,29.31350098,1341.784912,2024-04-20T08:52:57Z,NA,,,,,,
SAP1Z2Q1,-19.68072801,29.31339696,1340.759033,2024-04-20T08:50:14Z,NA,,,,,,
SAP1Z2Q2,-19.68094502,29.31330501,1340.184937,2024-04-20T08:29:54Z,NA,,,,,,
SAP1Z2Q3,-19.68094996,29.31322597,1342.025757,2024-04-20T09:02:12Z,NA,,,,,,
SAP1Z2Q4,-19.68075701,29.31327098,1342.320068,2024-04-20T08:58:02Z,NA,,,,,,
SAP1Z2Q5,-19.68084502,29.31328196,1341.685425,2024-04-20T08:59:15Z,NA,,,,,,
SAP1Z3Q1,-19.68100998,29.31354197,1341.319824,2024-04-20T08:40:18Z,NA,,,,,,
SAP1Z3Q2,-19.68121399,29.31343904,1338.977539,2024-04-20T08:13:10Z,NA,,,,,,
SAP1Z3Q3,-19.68122296,29.31332404,1339.042725,2024-04-20T08:16:46Z,NA,,,,,,
SAP1Z3Q4,-19.68102599,29.313375,1338.859741,2024-04-20T08:24:55Z,NA,,,,,,
SAP1Z3Q5,-19.681114,29.313361,1341.292236,2024-04-20T08:35:11Z,NA,,,,,,
SAP1Z4Q1,-19.68102003,29.31331398,1340.345215,2024-04-20T08:31:20Z,NA,,,,,,
SAP1Z4Q2,-19.68121299,29.31325899,1339.761841,2024-04-20T08:18:48Z,NA,,,,,,
SAP1Z4Q3,-19.68120301,29.31316696,1343.583862,2024-04-20T09:10:32Z,NA,,,,,,
SAP1Z4Q4,-19.68100604,29.31321398,1343.06665,2024-04-20T09:02:56Z,NA,,,,,,
SAP1Z4Q5,-19.68111299,29.31322999,1342.499634,2024-04-20T09:07:25Z,NA,,,,,,
SAP2Z1Q1,-19.68076598,29.314122,1342.506348,2024-04-20T06:20:02Z,NA,,,,,,
SAP2Z1Q2,-19.68095399,29.31411403,1333.657227,2025-04-14T07:11:34Z,NA,,,,,,
SAP2Z1Q3,-19.68096497,29.31396802,1341.22229,2024-04-20T06:32:31Z,NA,,,,,,
SAP2Z1Q4,-19.68076698,29.31402904,1340.503662,2024-04-20T06:51:07Z,NA,,,,,,
SAP2Z1Q5,-19.68090302,29.31405201,1339.510742,2024-04-20T07:00:08Z,NA,,,,,,
SAP2Z2Q1,-19.68077998,29.31396701,1339.410889,2024-04-20T06:55:07Z,NA,,,,,,
SAP2Z2Q2,-19.68096698,29.31408503,1340.966919,2024-04-20T06:24:48Z,NA,,,,,,
SAP2Z2Q3,-19.68096597,29.31378102,1336.818604,2024-04-20T07:32:34Z,NA,,,,,,
