I.D_code,Latitude,Longitude,Elevation,
SAP1Z1CR1,-19.68070798,29.31360399,1341.426636,
SAP1Z1CR2,-19.68096698,29.31354197,1342.220215,
SAP1Z1CR4,-19.68070404,29.31343703,1341.073975,
SAP1Z2CR1,-19.68070404,29.31343703,1341.073975,
SAP1Z2CR3,-19.68096597,29.31318004,1342.546753,
SAP1Z2CR4,-19.68070596,29.31324298,1342.21167,
SAP1Z3CR1,-19.68096698,29.31354197,1342.220215,
SAP1Z3CR2,-19.68124098,29.31348103,1338.704834,
SAP1Z3CR3,-19.68124802,29.31329504,1339.302734,
SAP1Z4CR1,-19.68124802,29.31329504,1339.302734,
SAP1Z4CR3,-19.68096597,29.31318004,1342.546753,
SAP1Z4CR4,-19.68122598,29.31312698,1344.240723,
SAP1ZCENTER,-19.68098802,29.31335497,1339.143921,
SAP2Z1CR1,-19.68073798,29.31415997,1342.691406,
SAP2Z1CR2,-19.68100403,29.31413197,1341.706543,
SAP2Z1CR4,-19.68073698,29.31400096,1339.407227,
SAP2Z2CR1,-19.68073698,29.31400096,1339.407227,
SAP2Z2CR3,-19.68099003,29.313749,1337.457764,
SAP2Z2CR4,-19.68067604,29.31383701,1337.287964,
SAP2Z3CR1,-19.68100403,29.31413197,1341.706543,
SAP2Z3CR2,-19.68130804,29.31408796,1339.080444,
SAP2Z3CR4,-19.68126403,29.31389099,1338.55957,
SAP2Z4CR2,-19.68126403,29.31389099,1338.55957,
SAP2Z4CR3,-19.68126596,29.31371899,1337.369629,
SAP2Z4CR4,-19.68099003,29.313749,1337.457764,
SAP2ZCENTER,-19.68099003,29.31391496,1340.692749,
SAP3Z1CR1,-19.68154097,29.31365998,1334.425903,
SAP3Z1CR2,-19.68155002,29.31384799,1334.704346,
SAP3Z1CR4,-19.68181397,29.31360399,1335.172607,
SAP3Z2CR2,-19.68208797,29.31372796,1347.433594,
SAP3Z2CR3,-19.68206702,29.313533,1346.525024,
SAP3Z2CR4,-19.68181397,29.31360399,1335.172607,
SAP3Z3CR1,-19.68155002,29.31384799,1334.704346,
SAP3Z3CR2,-19.68154399,29.31404002,1337.376343,
SAP3Z3CR3,-19.68182101,29.31399602,1336.449463,
SAP3Z4CR2,-19.68182101,29.31399602,1336.449463,
SAP3Z4CR3,-19.68210096,29.31390801,1347.699463,
SAP3Z4CR4,-19.68208797,29.31372796,1347.433594,
SAP3ZCENTER,-19.68181103,29.31379301,1338.765869,
SAP4Z1CR1,-19.68152102,29.31301902,1346.617188,
SAP4Z1CR2,-19.68155002,29.31319303,1345.991821,
SAP4Z1CR3,-19.68179201,29.31302296,1348.026489,
SAP4Z2CR1,-19.68179201,29.31302296,1348.026489,
SAP4Z2CR3,-19.68205101,29.31320401,1349.212158,
SAP4Z2CR4,-19.68204296,29.31303302,1349.771973,
SAP4Z3CR1,-19.68155002,29.31319303,1345.991821,
SAP4Z3CR2,-19.68155597,29.31338103,1346.459473,
SAP4Z3CR3,-19.68185403,29.31338497,1347.923218,
SAP4Z4CR2,-19.68185403,29.31338497,1347.923218,
SAP4Z4CR3,-19.68206802,29.31337802,1349.005127,
SAP4Z4CR4,-19.68205101,29.31320401,1349.212158,
SAP4ZCENTER,-19.68185102,29.313231,1347.743164,
SAP5Z1CR1,-19.68205998,29.31433104,1339.867432,
SAP5Z1CR2,-19.68207196,29.31450002,1340.403687,
SAP5Z1CR4,-19.68233398,29.31430497,1341.228271,
SAP5Z2CR1,-19.68233398,29.31430497,1341.228271,
SAP5Z2CR3,-19.68261796,29.31451804,1341.061157,
SAP5Z2CR4,-19.68260396,29.31424798,1339.525635,
SAP5Z3CR1,-19.68207196,29.31450002,1340.403687,
SAP5Z3CR2,-19.68208102,29.31473496,1345.634644,
SAP5Z3CR3,-19.68236399,29.314726,1343.942383,
SAP5Z4CR2,-19.68236399,29.314726,1343.942383,
SAP5Z4CR3,-19.68264,29.31470898,1342.421387,
SAP5Z4CR4,-19.68261796,29.31451804,1341.061157,
SAP5ZCENTER,-19.68234999,29.31450597,1343.178589,
SBP1Z1CR1,-19.71275895,29.32340053,1326.446289,
SBP1Z1CR2,-19.71261124,29.32312922,1327.370361,
SBP1Z1CR4,-19.712869,29.32323203,1346.857056,
SBP1Z2CR1,-19.71261124,29.32312922,1327.370361,
SBP1Z2CR3,-19.71248201,29.32289902,1328.049927,
SBP1Z2CR4,-19.71262098,29.32275401,1332.604248,
SBP1Z3CR1,-19.712869,29.32323203,1346.857056,
SBP1Z3CR2,-19.71307696,29.32320303,1330.612549,
SBP1Z3CR3,-19.712883,29.32288704,1349.573486,
SBP1Z4CR2,-19.71262098,29.32275401,1332.604248,
SBP1Z4CR3,-19.71275702,29.32265997,1329.215332,
SBP1Z4CR4,-19.712883,29.32288704,1349.573486,
SBP1ZCENTER,-19.71275768,29.32300018,1340.627,
SBP2Z1CR1,-19.71223427,29.32258985,1331.962524,
SBP2Z1CR2,-19.71235997,29.32245503,1341.624512,
SBP2Z1CR4,-19.71210097,29.32235403,1331.942017,
SBP2Z2CR1,-19.71210097,29.32235403,1331.942017,
SBP2Z2CR3,-19.712048,29.32199897,1337.653931,
SBP2Z2CR4,-19.71190949,29.32213458,1332.983154,
SBP2Z3CR1,-19.71235997,29.32245503,1341.624512,
SBP2Z3CR2,-19.71253599,29.32236501,1296.68335,
SBP2Z3CR3,-19.71239702,29.32212302,1333.312378,
SBP2Z4CR2,-19.71239702,29.32212302,1333.312378,
SBP2Z4CR3,-19.71217297,29.321888,1340.180542,
SBP2Z4CR4,-19.712048,29.32199897,1337.653931,
SBP2ZCENTER,-19.71220499,29.322233,1347.056519,
SBP3Z1CR1,-19.71321099,29.32202697,1342.009644,
SBP3Z1CR2,-19.71304704,29.32177803,1341.851196,
SBP3Z1CR4,-19.71306204,29.32212001,1336.290039,
SBP3Z2CR1,-19.71306204,29.32212001,1336.290039,
SBP3Z2CR3,-19.71274202,29.32196201,1338.176514,
SBP3Z2CR4,-19.71288904,29.32220399,1336.88147,
SBP3Z3CR1,-19.71304704,29.32177803,1341.851196,
SBP3Z3CR2,-19.71289599,29.32151601,1336.292358,
SBP3Z3CR3,-19.71274202,29.321616,1336.545166,
SBP3Z4CR2,-19.71274202,29.321616,1336.545166,
SBP3Z4CR3,-19.71260397,29.321702,1337.332764,
SBP3Z4CR4,-19.71274202,29.32196201,1338.176514,
SBP3ZCENTER,-19.712912,29.32186503,1341.394165,
SBP4Z1CR1,-19.71279499,29.32116003,1344.035889,
SBP4Z1CR2,-19.71273799,29.32086599,1345.117676,
SBP4Z1CR4,-19.71261696,29.32125198,1346.699219,
SBP4Z2CR1,-19.71261696,29.32125198,1346.699219,
SBP4Z2CR3,-19.71247799,29.320982,1339.15686,
SBP4Z2CR4,-19.71252199,29.32128198,1338.651367,
SBP4Z3CR1,-19.71273799,29.32086599,1345.117676,
SBP4Z3CR2,-19.71268301,29.32056298,1337.476318,
SBP4Z3CR3,-19.71256499,29.32061302,1333.462158,
SBP4Z4CR1,-19.71247799,29.320982,1339.15686,
SBP4Z4CR2,-19.71256499,29.32061302,1333.462158,
SBP4Z4CR3,-19.71241001,29.32070397,1336.134888,
SBP4ZCENTER,-19.71256902,29.32095501,1346.829346,
SBP5Z1CR1,-19.71318802,29.32085803,1336.851685,
SBP5Z1CR2,-19.71335599,29.32079399,1338.618042,
SBP5Z1CR4,-19.71310403,29.32058302,1339.976196,
SBP5Z2CR1,-19.71310403,29.32058302,1339.976196,
SBP5Z2CR3,-19.71318802,29.32020701,1341.347534,
SBP5Z2CR4,-19.71303999,29.320293,1342.463257,
SBP5Z3CR1,-19.71335599,29.32079399,1338.618042,
SBP5Z3CR2,-19.71349203,29.32073096,1343.765015,
SBP5Z3CR3,-19.71341198,29.32042996,1341.189819,
SBP5Z4CR2,-19.71341198,29.32042996,1341.189819,
SBP5Z4CR3,-19.713358,29.32014003,1338.969727,
SBP5Z4CR4,-19.71318802,29.32020701,1341.347534,
SBP5ZCENTER,-19.71325398,29.32049199,1340.29834,
SCP1Z1CR1,-19.66209697,29.33220796,1318.29834,2024-04-14T07:20:49Z
SCP1Z1CR2,-19.66219503,29.33193002,1317.602905,2024-04-14T07:08:16Z
SCP1Z1CR4,-19.66204299,29.33187998,1318.597534,2024-04-14T07:48:03Z
SCP1Z2CR2,-19.66204299,29.33187998,1318.597534,2024-04-14T07:48:03Z
SCP1Z2CR3,-19.66189303,29.33180697,1314.239136,2024-04-14T08:16:20Z
SCP1Z2CR4,-19.66178801,29.332057,1312.945923,2024-04-14T08:07:41Z
SCP1Z3CR1,-19.66205296,29.332488,1317.802856,2024-04-14T09:08:34Z
SCP1Z3CR2,-19.661887,29.332402,1314.452515,2024-04-14T08:49:13Z
SCP1Z3CR4,-19.66209697,29.33220796,1318.29834,2024-04-14T07:20:49Z
SCP1Z4CR1,-19.661887,29.332402,1314.452515,2024-04-14T08:49:13Z
SCP1Z4CR2,-19.66171701,29.33231399,1314.55603,2024-04-14T08:38:13Z
SCP1Z4CR3,-19.66178801,29.332057,1312.945923,2024-04-14T08:07:41Z
SCP1ZCENTER,-19.66192204,29.33216597,1313.761353,2024-04-12T06:48:04Z
SCP2Z1CR1,-19.66222202,29.33280098,1313.976807,2024-04-12T06:51:38Z
SCP2Z1CR2,-19.66236804,29.33287198,1313.389771,2024-04-12T06:58:41Z
SCP2Z1CR4,-19.66225698,29.33253301,1316.421997,2024-04-12T07:29:16Z
SCP2Z2CR1,-19.66225698,29.33253301,1316.421997,2024-04-12T07:29:16Z
SCP2Z2CR3,-19.66251103,29.33230301,1317.937134,2024-04-12T08:29:03Z
SCP2Z2CR4,-19.66229302,29.33227804,1317.932861,2024-03-22T07:22:16Z
SCP2Z3CR2,-19.66236804,29.33287198,1313.389771,2024-04-12T06:58:41Z
SCP2Z3CR2,-19.66256199,29.33259504,1321.4646,2024-04-12T07:35:45Z
SCP2Z3CR3,-19.66262997,29.33287701,1311.277588,2024-04-12T07:43:47Z
SCP2Z4CR2,-19.66256199,29.33259504,1321.4646,2024-04-12T07:35:45Z
SCP2Z4CR3,-19.66267699,29.3323,1317.96936,2024-04-12T09:15:17Z
SCP2Z4CR4,-19.66251103,29.33230301,1317.937134,2024-04-12T08:29:03Z
SCP2ZCENTER,-19.66242998,29.33258104,1316.955688,2024-04-12T08:22:56Z
SCP3Z1CR1,-19.66222102,29.331366,1318.471191,2024-04-12T07:57:05Z
SCP3Z1CR3,-19.66192304,29.33154898,1315.436646,2024-04-12T13:26:37Z
SCP3Z1CR4,-19.66212404,29.33161302,1318.438232,2024-04-12T08:02:35Z
