I.D_code,Latitude,Longitude,Elevation,Date,Time
SAP1Z1CR1,-19.68070798,29.31360399,1341.426636,2024-04-20T08:44:18Z,
SAP1Z1CR4,-19.68070404,29.31343703,1341.073975,2024-04-20T08:47:07Z,
SAP1Z1Q1,-19.680726,29.31357197,1340.790161,2024-04-20T08:45:13Z,
SAP1Z1Q2,-19.680956,29.31349997,1340.352783,2024-04-20T08:42:07Z,
SAP1Z1Q3,-19.68095197,29.31338103,1339.127075,2024-04-20T08:26:37Z,
SAP1Z1Q4,-19.68074896,29.31345102,1341.592773,2024-04-20T08:49:03Z,
SAP1Z1Q5,-19.68084997,29.31350098,1341.784912,2024-04-20T08:52:57Z,
SAP1Z2CR4,-19.68070596,29.31324298,1342.21167,2024-04-20T08:56:03Z,
SAP1Z2Q1,-19.68072801,29.31339696,1340.759033,2024-04-20T08:50:14Z,
SAP1Z2Q2,-19.68094502,29.31330501,1340.184937,2024-04-20T08:29:54Z,
SAP1Z2Q3,-19.68094996,29.31322597,1342.025757,2024-04-20T09:02:12Z,
SAP1Z2Q4,-19.68075701,29.31327098,1342.320068,2024-04-20T08:58:02Z,
SAP1Z2Q5,-19.68084502,29.31328196,1341.685425,2024-04-20T08:59:15Z,
SAP1Z3CR1,-19.68096698,29.31354197,1342.220215,2024-04-20T08:38:43Z,
SAP1Z3CR2,-19.68124098,29.31348103,1338.704834,2024-04-20T08:12:09Z,
SAP1Z3CR3,-19.68124802,29.31329504,1339.302734,2024-04-20T08:15:50Z,
SAP1Z3Q1,-19.68100998,29.31354197,1341.319824,2024-04-20T08:40:18Z,
SAP1Z3Q2,-19.68121399,29.31343904,1338.977539,2024-04-20T08:13:10Z,
SAP1Z3Q3,-19.68122296,29.31332404,1339.042725,2024-04-20T08:16:46Z,
SAP1Z3Q4,-19.68102599,29.313375,1338.859741,2024-04-20T08:24:55Z,
SAP1Z3Q5,-19.681114,29.313361,1341.292236,2024-04-20T08:35:11Z,
SAP1Z4CR3,-19.68096597,29.31318004,1342.546753,2024-04-20T09:04:17Z,
SAP1Z4CR4,-19.68122598,29.31312698,1344.240723,2024-04-20T09:09:25Z,
SAP1Z4Q1,-19.68102003,29.31331398,1340.345215,2024-04-20T08:31:20Z,
SAP1Z4Q2,-19.68121299,29.31325899,1339.761841,2024-04-20T08:18:48Z,
SAP1Z4Q3,-19.68120301,29.31316696,1343.583862,2024-04-20T09:10:32Z,
SAP1Z4Q4,-19.68100604,29.31321398,1343.06665,2024-04-20T09:02:56Z,
SAP1Z4Q5,-19.68111299,29.31322999,1342.499634,2024-04-20T09:07:25Z,
SAP1ZCENTER,-19.68098802,29.31335497,1339.143921,2024-04-20T08:23:35Z,
SAP2Z1CR1,-19.68073798,29.31415997,1342.691406,2024-04-20T06:19:31Z,
SAP2Z1CR2,-19.68100403,29.31413197,1341.706543,2024-04-20T06:23:39Z,
SAP2Z1CR3,-19.68073698,29.31400096,1339.407227,2024-04-20T06:50:29Z,
SAP2Z1Q1,-19.68076598,29.314122,1342.506348,2024-04-20T06:20:02Z,
SAP2Z1Q3,-19.68096497,29.31396802,1341.22229,2024-04-20T06:32:31Z,
SAP2Z1Q4,-19.68076698,29.31402904,1340.503662,2024-04-20T06:51:07Z,
SAP2Z1Q5,-19.68090302,29.31405201,1339.510742,2024-04-20T07:00:08Z,
SAP2Z2CR2,-19.68067604,29.31383701,1337.287964,2024-04-20T07:38:18Z,
SAP2Z2Q1,-19.68077998,29.31396701,1339.410889,2024-04-20T06:55:07Z,
SAP2Z2Q2,-19.68096698,29.31408503,1340.966919,2024-04-20T06:24:48Z,
SAP2Z2Q3,-19.68096597,29.31378102,1336.818604,2024-04-20T07:32:34Z,
SAP2Z2Q4,-19.68075802,29.31384296,1337.291504,2024-04-20T07:39:30Z,
SAP2Z2Q5,-19.68086899,29.313864,1337.934448,2024-04-20T07:43:23Z,
SAP2Z3CR2,-19.68130804,29.31408796,1339.080444,2024-04-20T07:09:27Z,
SAP2Z3CR4,-19.68126403,29.31389099,1338.55957,2024-04-20T07:13:22Z,
SAP2Z3Q1,-19.68103697,29.31409299,1341.42981,2024-04-20T06:27:52Z,
SAP2Z3Q2,-19.68127501,29.31404899,1338.585327,2024-04-20T07:10:25Z,
SAP2Z3Q3,-19.68124199,29.31393298,1339.141968,2024-04-20T07:17:01Z,
SAP2Z3Q4,-19.68103504,29.313964,1340.65625,2024-04-20T06:42:46Z,
SAP2Z3Q5,-19.68112799,29.31400398,1338.537842,2024-04-20T07:05:49Z,
SAP2Z4CR3,-19.68126596,29.31371899,1337.369629,2024-04-20T07:24:22Z,
SAP2Z4CR4,-19.68099003,29.313749,1337.457764,2024-04-20T07:28:43Z,
SAP2Z4Q1,-19.68102699,29.31388001,1340.802734,2024-04-20T06:39:04Z,
SAP2Z4Q2,-19.68125196,29.313864,1337.828735,2024-04-20T07:18:40Z,
SAP2Z4Q3,-19.68123998,29.31375403,1337.370605,2024-04-20T07:25:19Z,
SAP2Z4Q4,-19.68102196,29.31376501,1336.190308,2024-04-20T07:29:39Z,
SAP2Z4Q5,-19.68112397,29.31381597,1338.400513,2024-04-20T07:50:42Z,
SAP2ZCENTER,-19.68099003,29.31391496,1340.692749,2024-04-20T06:31:46Z,
SAP3Z1CR1,-19.68154097,29.31365998,1334.425903,2024-04-19T13:04:25Z,
SAP3Z1CR4,-19.68181397,29.31360399,1335.172607,2024-04-19T13:08:59Z,
SAP3Z1Q1,-19.68157198,29.31368697,1334.094238,2024-04-19T13:05:03Z,
SAP3Z1Q2,-19.68155597,29.313778,1334.003052,2024-04-19T13:00:46Z,
SAP3Z1Q3,-19.68176703,29.31378203,1335.765015,2024-04-19T12:37:36Z,
SAP3Z1Q4,-19.68178798,29.31365202,1334.587158,2024-04-19T13:09:39Z,
SAP3Z1Q5,-19.681676,29.31375001,1333.330566,2024-04-19T13:12:37Z,
SAP3Z2CR1,-19.68155002,29.31365504,1336.952393,2024-03-25T06:53:44Z,
SAP3Z2CR3,-19.68206702,29.313533,1346.525024,2024-04-20T05:43:12Z,
SAP3Z2Q1,-19.68182302,29.31362403,1344.012573,2024-04-20T05:55:37Z,
SAP3Z2Q2,-19.681833,29.31373802,1336.209961,2024-04-19T12:40:28Z,
SAP3Z2Q4,-19.68205696,29.31359402,1345.670288,2024-04-20T05:44:05Z,
SAP3Z2Q4,-19.681949,29.31363903,1343.421997,2024-04-20T06:02:04Z,
SAP3Z3CR0,-19.68182403,29.31358304,1338.598022,2024-03-25T06:57:30Z,
SAP3Z3CR1,-19.68181103,29.31379301,1338.765869,2024-03-25T07:02:21Z,
SAP3Z3CR2,-19.68154399,29.31404002,1337.376343,2024-04-19T12:24:01Z,
SAP3Z3CR3,-19.68182101,29.31399602,1336.449463,2024-04-19T12:27:08Z,
SAP3Z3Q1,-19.68157601,29.31386199,1334.684326,2024-04-19T12:55:55Z,
SAP3Z3Q2,-19.68158799,29.31398101,1337.299683,2024-04-19T12:22:17Z,
SAP3Z3Q3,-19.68178103,29.31396903,1335.767212,2024-04-19T12:27:48Z,
SAP3Z3Q4,-19.68177198,29.31382201,1335.652832,2024-04-19T12:49:07Z,
SAP3Z3Q5,-19.68170098,29.31387104,1333.023071,2024-04-19T13:14:47Z,
SAP3Z4CR0,-19.68208102,29.31392997,1339.793701,2024-03-25T07:09:12Z,
SAP3Z4CR0,-19.68207397,29.31353501,1340.092773,2024-03-25T07:22:52Z,
SAP3Z4CR3,-19.68210096,29.31390801,1347.699463,2024-04-20T05:27:58Z,
SAP3Z4CR4,-19.68208797,29.31372796,1347.433594,2024-04-20T05:32:56Z,
SAP3Z4Q1,-19.68184699,29.31381698,1335.956665,2024-04-19T12:45:30Z,
SAP3Z4Q2,-19.681862,29.31395603,1336.216309,2024-04-19T12:30:43Z,
SAP3Z4Q3,-19.68205302,29.31389099,1347.213257,2024-04-20T05:29:09Z,
