Site,Plot,Subplot,Species,Total
A,1,Z1,D.cinerea,18
B,1,Z1,D.cinerea,0
C,1,Z1,D.cinerea,123
D,1,Z1,D.cinerea,31
E,1,Z1,D.cinerea,39
F,1,Z1,D.cinerea,17
A,1,Z2,D.cinerea,0
B,1,Z2,D.cinerea,0
C,1,Z2,D.cinerea,118
D,1,Z2,D.cinerea,34
E,1,Z2,D.cinerea,31
F,1,Z2,D.cinerea,12
A,1,Z3,D.cinerea,25
B,1,Z3,D.cinerea,0
C,1,Z3,D.cinerea,99
D,1,Z3,D.cinerea,56
E,1,Z3,D.cinerea,90
F,1,Z3,D.cinerea,10
A,1,Z4,D.cinerea,17
B,1,Z4,D.cinerea,0
C,1,Z4,D.cinerea,115
D,1,Z4,D.cinerea,60
E,1,Z4,D.cinerea,36
F,1,Z4,D.cinerea,7
A,2,Z1,D.cinerea,0
B,2,Z1,D.cinerea,0
C,2,Z1,D.cinerea,109
D,2,Z1,D.cinerea,54
E,2,Z1,D.cinerea,48
F,2,Z1,D.cinerea,17
A,2,Z2,D.cinerea,0
B,2,Z2,D.cinerea,0
C,2,Z2,D.cinerea,125
D,2,Z2,D.cinerea,39
E,2,Z2,D.cinerea,52
F,2,Z2,D.cinerea,40
A,2,Z3,D.cinerea,7
B,2,Z3,D.cinerea,0
C,2,Z3,D.cinerea,101
D,2,Z3,D.cinerea,86
E,2,Z3,D.cinerea,59
F,2,Z3,D.cinerea,15
A,2,Z4,D.cinerea,0
B,2,Z4,D.cinerea,12
C,2,Z4,D.cinerea,99
D,2,Z4,D.cinerea,25
E,2,Z4,D.cinerea,47
F,2,Z4,D.cinerea,29
A,3,Z1,D.cinerea,0
B,3,Z1,D.cinerea,0
C,3,Z1,D.cinerea,136
D,3,Z1,D.cinerea,49
E,3,Z1,D.cinerea,44
F,3,Z1,D.cinerea,45
A,3,Z2,D.cinerea,15
B,3,Z2,D.cinerea,0
C,3,Z2,D.cinerea,71
D,3,Z2,D.cinerea,37
E,3,Z2,D.cinerea,22
F,3,Z2,D.cinerea,44
A,3,Z3,D.cinerea,0
B,3,Z3,D.cinerea,0
C,3,Z3,D.cinerea,22
D,3,Z3,D.cinerea,37
E,3,Z3,D.cinerea,51
F,3,Z3,D.cinerea,27
A,3,Z4,D.cinerea,0
B,3,Z4,D.cinerea,0
C,3,Z4,D.cinerea,13
D,3,Z4,D.cinerea,42
E,3,Z4,D.cinerea,69
F,3,Z4,D.cinerea,32
A,4,Z1,D.cinerea,24
B,4,Z1,D.cinerea,0
C,4,Z1,D.cinerea,129
D,4,Z1,D.cinerea,44
E,4,Z1,D.cinerea,78
F,4,Z1,D.cinerea,47
A,4,Z2,D.cinerea,31
B,4,Z2,D.cinerea,0
C,4,Z2,D.cinerea,26
D,4,Z2,D.cinerea,37
E,4,Z2,D.cinerea,41
F,4,Z2,D.cinerea,31
A,4,Z3,D.cinerea,10
B,4,Z3,D.cinerea,9
C,4,Z3,D.cinerea,36
D,4,Z3,D.cinerea,42
E,4,Z3,D.cinerea,50
F,4,Z3,D.cinerea,12
A,4,Z4,D.cinerea,12
B,4,Z4,D.cinerea,4
C,4,Z4,D.cinerea,26
D,4,Z4,D.cinerea,33
E,4,Z4,D.cinerea,46
F,4,Z4,D.cinerea,41
A,5,Z1,D.cinerea,13
B,5,Z1,D.cinerea,0
C,5,Z1,D.cinerea,64
D,5,Z1,D.cinerea,38
E,5,Z1,D.cinerea,60
F,5,Z1,D.cinerea,18
A,5,Z2,D.cinerea,18
B,5,Z2,D.cinerea,0
C,5,Z2,D.cinerea,61
D,5,Z2,D.cinerea,33
E,5,Z2,D.cinerea,34
F,5,Z2,D.cinerea,32
A,5,Z3,D.cinerea,25
B,5,Z3,D.cinerea,0
C,5,Z3,D.cinerea,94
D,5,Z3,D.cinerea,49
E,5,Z3,D.cinerea,48
F,5,Z3,D.cinerea,10
A,5,Z1,D.cinerea,13
B,5,Z1,D.cinerea,0
C,5,Z1,D.cinerea,64
D,5,Z1,D.cinerea,38
E,5,Z1,D.cinerea,60
F,5,Z1,D.cinerea,18
A,5,Z2,D.cinerea,18
B,5,Z2,D.cinerea,0
C,5,Z2,D.cinerea,61
D,5,Z2,D.cinerea,33
E,5,Z2,D.cinerea,34
F,5,Z2,D.cinerea,32
A,5,Z3,D.cinerea,25
B,5,Z3,D.cinerea,0
C,5,Z3,D.cinerea,94
D,5,Z3,D.cinerea,49
E,5,Z3,D.cinerea,48
F,5,Z3,D.cinerea,10
A,5,Z4,D.cinerea,12
B,5,Z4,D.cinerea,0
C,5,Z4,D.cinerea,97
D,5,Z4,D.cinerea,52
E,5,Z4,D.cinerea,63
F,5,Z4,D.cinerea,44
