Site,DPH_Height,Weight
F33,3.3,7.7
F34,17.7,47.5
F21,2.8,3.4
F22,25,65.6
F23,11.9,14.7
F24,10.1,16.9
F11,16,30.2
F12,14,9.5
F13,6.9,3.8
F14,45.9,81.2
F15,8,22.8
A51,59.4,74.1
A52,25.5,29.6
A53,15.8,23.9
B11,28.5,65.8
D52,10.1,9.4
D54,25.7,30
D43,4.2,4.8
D31,22.1,52.9
D33,25.9,85.3
D34,8.9,11.6
D22,3,4.1
D23,11.3,8.8
D13,5,9.7
D14,32.3,29.6
B43,13,19.4
F51,16.4,29.9
F52,6.3,15.7
F54,22.1,30.7
F42,12.9,26.1
F43,11.6,15.4
F44,21.4,30.8
F31,16.6,13.4
F32,10,8.8
B32,36.7,61.7
B34,49.9,90
E42,1.6,1
C23,5,6.9
C24,7,12.8
C41,13,23.1
D11,7.8,10
C51,8.1,10
C52,12.4,18.7
B23,29.5,39.3
B22,14.9,17.8
A41,67.3,84.8
B13,16.5,32.7
A43,40.7,54.5
A11,39.5,84.7
D32,32.2,61.5
D21,2.3,1.4
D42,5.9,4.4
F41,8.1,12
E22,24.4,28.1
B24,21.5,28.9
E33,5.6,8
E34,1.9,1
B21,24.6,34.7
B54,1.8,0.7
E44,5.1,7.3
E23,28.5,43.7
B53,13.8,21.6
B14,12.2,16.6
B52,49.2,164.1
D44,42,97.4
D53,12.8,27.8
D51,17.2,19.7
D41,13.7,19.6
E24,9.3,17.2
E13,3.5,18.1
C33,18.8,29.3
C34,15.9,37.6
D24,23.4,16.9
A23,72.9,156.2
A24,35.3,110.9
D12,2.3,4.6
E12,9.5,14.2
A12,56.5,61.7
E14,6.9,28
E21,18.8,38.3
E11,33.9,34.3
E54,9.8,18.7
A34,31.9,35.9
C11,6.6,12
E43,2.9,1.9
C13,8.8,6.6
A22,39.3,43.4
C12,21,37.9
A13,28.9,55.3
A14,60.4,104.3
A54,27.3,24.6
C44,56.4,75.1
C21,26.7,57.7
A33,19.2,19.6
C43,26.8,37.9
C31,3.9,6.8
A31,28.8,44.2
C42,11.5,9.1
E53,2,1.3
E41,11.6,12.2
C54,22.8,48.7
E31,2.2,1.9
C53,25.2,42.1
B51,3.8,10.4
C22,48.3,71
A44,3.4,2.7
E32,7.2,8.6
A53,9.6,8.6
C14,10.6,15.6
