SITE,PLOT,SUBPLOT,Transect point,Fine,Coarse,Woody
A,2,Z1,1,1,NA,NA
A,2,Z1,2,1,NA,NA
A,2,Z1,3,1,NA,NA
A,2,Z1,4,1,NA,NA
A,2,Z1,5,1,NA,NA
A,2,Z1,6,1,NA,NA
A,2,Z1,7,1,1,NA
A,2,Z1,8,1,NA,NA
A,2,Z1,9,1,NA,NA
A,2,Z1,10,1,NA,NA
A,2,Z1,11,1,NA,NA
A,2,Z1,12,1,NA,NA
A,2,Z2,1,1,NA,NA
A,2,Z2,2,1,NA,NA
A,2,Z2,3,1,NA,NA
A,2,Z2,4,1,NA,NA
A,2,Z2,5,1,1,NA
A,2,Z2,6,1,1,NA
A,2,Z2,7,1,NA,NA
A,2,Z2,8,1,NA,NA
A,2,Z2,9,1,NA,NA
A,2,Z2,10,1,NA,NA
A,2,Z2,11,1,1,NA
A,2,Z2,12,1,1,NA
A,2,Z3,1,1,NA,NA
A,2,Z3,2,1,NA,NA
A,2,Z3,3,1,NA,NA
A,2,Z3,4,2,NA,NA
A,2,Z3,5,1,NA,NA
A,2,Z3,6,1,NA,NA
A,2,Z3,7,1,NA,NA
A,2,Z3,8,1,NA,NA
A,2,Z3,9,1,NA,NA
A,2,Z3,10,1,NA,1
A,2,Z3,11,1,NA,NA
A,2,Z3,12,2,NA,NA
A,2,Z4,1,1,NA,NA
A,2,Z4,2,1,NA,NA
A,2,Z4,3,1,NA,NA
A,2,Z4,4,1,1,NA
A,2,Z4,5,1,NA,NA
A,2,Z4,6,1,NA,NA
A,2,Z4,7,1,NA,NA
A,2,Z4,8,1,NA,NA
A,2,Z4,9,1,NA,NA
A,2,Z4,10,1,NA,NA
A,2,Z4,11,1,NA,NA
A,2,Z4,12,1,NA,NA
A,3,Z1,1,1,3,4
A,3,Z1,2,1,4,4
A,3,Z1,3,1,4,4
A,3,Z1,4,1,4,4
A,3,Z1,5,1,4,4
A,3,Z1,6,1,4,4
A,3,Z1,7,1,4,4
A,3,Z1,8,1,4,4
A,3,Z1,9,1,4,4
A,3,Z1,10,1,4,3
A,3,Z1,11,1,3,4
A,3,Z1,12,1,4,4
A,3,Z2,1,1,4,4
A,3,Z2,2,1,4,4
A,3,Z2,3,1,3,4
A,3,Z2,4,1,3,4
A,3,Z2,5,1,2,4
A,3,Z2,6,1,3,4
A,3,Z2,7,1,4,4
A,3,Z2,8,1,2,4
A,3,Z2,9,1,4,4
A,3,Z2,10,1,4,4
A,3,Z2,11,1,3,4
A,3,Z2,12,1,4,4
A,3,Z3,1,1,4,NA
A,3,Z3,2,1,4,4
A,3,Z3,3,1,4,4
A,3,Z3,4,2,4,NA
A,3,Z3,5,1,4,4
A,3,Z3,6,1,4,4
A,3,Z3,7,1,4,4
A,3,Z3,8,1,4,NA
A,3,Z3,9,1,4,NA
A,3,Z3,10,1,4,NA
A,3,Z3,11,1,4,NA
A,3,Z3,12,1,4,4
A,3,Z4,1,1,4,4
A,3,Z4,2,1,4,4
A,3,Z4,3,1,4,4
A,3,Z4,4,1,4,4
A,3,Z4,5,1,4,4
A,3,Z4,6,1,4,4
A,3,Z4,7,1,4,4
A,3,Z4,8,1,4,4
A,3,Z4,9,1,4,4
A,3,Z4,10,1,4,4
A,3,Z4,11,1,4,4
A,3,Z4,12,1,4,4
A,4,Z1,1,1,3,NA
A,4,Z1,2,1,4,4
A,4,Z1,3,1,3,4
A,4,Z1,4,1,2,4
A,4,Z1,5,1,2,4
A,4,Z1,6,1,3,2
A,4,Z1,7,1,3,4
A,4,Z1,8,1,3,4
A,4,Z1,9,1,4,4
A,4,Z1,10,1,2,4
A,4,Z1,11,1,4,4
A,4,Z1,12,1,3,4
A,4,Z2,1,1,4,4
A,4,Z2,2,1,4,4
A,4,Z2,3,1,4,4
A,4,Z2,4,1,4,NA
A,4,Z2,5,1,4,NA
A,4,Z2,6,1,4,4
A,4,Z2,7,1,4,4
A,4,Z2,8,1,4,4
A,4,Z2,9,1,4,4
A,4,Z2,10,1,4,NA
A,4,Z2,11,1,4,4
A,4,Z2,12,1,4,4
