Site,Plot,Subplot,Area,Area_ha,Code
A,1,Z1,605,0.0605,SAP1Z1
A,1,Z2,573,0.0573,SAP1Z2
A,1,Z3,605,0.0605,SAP1Z3
A,1,Z4,578,0.0578,SAP1Z4
A,2,Z1,613,0.0613,SAP2Z1
A,2,Z2,621,0.0621,SAP2Z2
A,2,Z3,621,0.0621,SAP2Z3
A,2,Z4,588,0.0588,SAP2Z4
A,3,Z1,582,0.0582,SAP3Z1
A,3,Z2,557,0.0557,SAP3Z2
A,3,Z3,660,0.066,SAP3Z3
A,3,Z4,634,0.0634,SAP3Z4
A,4,Z1,587,0.0587,SAP4Z1
A,4,Z2,508,0.0508,SAP4Z2
A,4,Z3,588,0.0588,SAP4Z3
A,4,Z4,454,0.0454,SAP4Z4
A,5,Z1,629,0.0629,SAP5Z1
A,5,Z2,730,0.073,SAP5Z2
A,5,Z3,738,0.0738,SAP5Z3
A,5,Z4,658,0.0658,SAP5Z4
B,1,Z1,546,0.0546,SBP1Z1
B,1,Z2,608,0.0608,SBP1Z2
B,1,Z3,649,0.0649,SBP1Z3
B,1,Z4,591,0.0591,SBP1Z4
B,2,Z1,526,0.0526,SBP2Z1
B,2,Z2,582,0.0582,SBP2Z2
B,2,Z3,632,0.0632,SBP2Z3
B,2,Z4,674,0.0674,SBP2Z4
B,3,Z1,638,0.0638,SBP3Z1
B,3,Z2,692,0.0692,SBP3Z2
B,3,Z3,641,0.0641,SBP3Z3
B,3,Z4,590,0.059,SBP3Z4
B,4,Z1,595,0.0595,SBP4Z1
B,4,Z2,564,0.0564,SBP4Z2
B,4,Z3,574,0.0574,SBP4Z3
B,4,Z4,553,0.0553,SBP4Z4
B,5,Z1,643,0.0643,SBP5Z1
B,5,Z2,612,0.0612,SBP5Z2
B,5,Z3,632,0.0632,SBP5Z3
B,5,Z4,611,0.0611,SBP5Z4
C,1,Z1,562,0.0562,SCP1Z1
C,1,Z2,652,0.0652,SCP1Z2
C,1,Z3,578,0.0578,SCP1Z3
C,1,Z4,577,0.0577,SCP1Z4
C,2,Z1,555,0.0555,SCP2Z1
C,2,Z2,630,0.063,SCP2Z2
C,2,Z3,636,0.0636,SCP2Z3
C,2,Z4,555,0.0555,SCP2Z4
C,3,Z1,586,0.0586,SCP3Z1
C,3,Z2,678,0.0678,SCP3Z2
C,3,Z3,743,0.0743,SCP3Z3
C,3,Z4,588,0.0588,SCP3Z4
C,4,Z1,656,0.0656,SCP4Z1
C,4,Z2,624,0.0624,SCP4Z2
C,4,Z3,591,0.0591,SCP4Z3
C,4,Z4,559,0.0559,SCP4Z4
C,5,Z1,572,0.0572,SCP5Z1
C,5,Z2,644,0.0644,SCP5Z2
C,5,Z3,556,0.0556,SCP5Z3
C,5,Z4,596,0.0596,SCP5Z4
D,1,Z1,616,0.0616,SDP1Z1
D,1,Z2,721,0.0721,SDP1Z2
D,1,Z3,601,0.0601,SDP1Z3
D,1,Z4,618,0.0618,SDP1Z4
D,2,Z1,631,0.0631,SDP2Z1
D,2,Z2,715,0.0715,SDP2Z2
D,2,Z3,702,0.0702,SDP2Z3
D,2,Z4,725,0.0725,SDP2Z4
D,3,Z1,658,0.0658,SDP3Z1
D,3,Z2,700,0.07,SDP3Z2
D,3,Z3,623,0.0623,SDP3Z3
D,3,Z4,644,0.0644,SDP3Z4
D,4,Z1,604,0.0604,SDP4Z1
D,4,Z2,762,0.0762,SDP4Z2
D,4,Z3,661,0.0661,SDP4Z3
D,4,Z4,704,0.0704,SDP4Z4
D,5,Z1,604,0.0604,SDP5Z1
D,5,Z2,732,0.0732,SDP5Z2
D,5,Z3,610,0.061,SDP5Z3
D,5,Z4,755,0.0755,SDP5Z4
E,1,Z1,599,0.0599,SEP1Z1
E,1,Z2,598,0.0598,SEP1Z2
E,1,Z3,733,0.0733,SEP1Z3
E,1,Z4,585,0.0585,SEP1Z4
E,2,Z1,533,0.0533,SEP2Z1
E,2,Z2,625,0.0625,SEP2Z2
E,2,Z3,581,0.0581,SEP2Z3
E,2,Z4,678,0.0678,SEP2Z4
E,3,Z1,610,0.061,SEP3Z1
E,3,Z2,654,0.0654,SEP3Z2
E,3,Z3,642,0.0642,SEP3Z3
E,3,Z4,580,0.058,SEP3Z4
E,4,Z1,564,0.0564,SEP4Z1
E,4,Z2,555,0.0555,SEP4Z2
E,4,Z3,586,0.0586,SEP4Z3
E,4,Z4,750,0.075,SEP4Z4
E,5,Z1,575,0.0575,SEP5Z1
E,5,Z2,648,0.0648,SEP5Z2
E,5,Z3,641,0.0641,SEP5Z3
E,5,Z4,581,0.0581,SEP5Z4
F,1,Z1,551,0.0551,SFP1Z1
F,1,Z2,555,0.0555,SFP1Z2
F,1,Z3,631,0.0631,SFP1Z3
F,1,Z4,606,0.0606,SFP1Z4
F,2,Z1,579,0.0579,SFP2Z1
F,2,Z2,636,0.0636,SFP2Z2
F,2,Z3,707,0.0707,SFP2Z3
F,2,Z4,773,0.0773,SFP2Z4
F,3,Z1,568,0.0568,SFP3Z1
F,3,Z2,529,0.0529,SFP3Z2
F,3,Z3,540,0.054,SFP3Z3
F,3,Z4,566,0.0566,SFP3Z4
F,4,Z1,583,0.0583,SFP4Z1
F,4,Z2,574,0.0574,SFP4Z2
F,4,Z3,566,0.0566,SFP4Z3
F,4,Z4,526,0.0526,SFP4Z4
F,5,Z1,551,0.0551,SFP5Z1
F,5,Z2,516,0.0516,SFP5Z2
F,5,Z3,559,0.0559,SFP5Z3
F,5,Z4,570,0.057,SFP5Z4
