Date,Site,Plot,Subplot,Quadrat,Spp_name,Number,Grazing_value,DPM Height,Grazing activity,Quadrat under canopy,Biomass intensity,Dung presence,Longest_grass(m),Fencing,Treatment,
07/04/2025,A,5,Z3,4,A. adscensions,1,,9.4,N,N,7,N,,Fenced,,
07/04/2025,A,5,Z3,4,Pinhole,22,,9.7,,,,,,Fenced,,
07/04/2025,A,5,Z3,4,Eragrostsis gummiflua,1,,11.1,,,,,,Fenced,,
07/04/2025,A,5,Z3,4,,,,12.1,,,,,,Fenced,,
07/04/2025,A,5,Z3,1,Pinhole,6,,17,N,Y,3,N,,Fenced,,
07/04/2025,A,5,Z3,1,,,,2.7,,,,,,Fenced,,
07/04/2025,A,5,Z3,1,,,,2.8,,,,,,Fenced,,
07/04/2025,A,5,Z3,1,,,,2.8,,,,,,Fenced,,
07/04/2025,A,5,Z3,2,Urochloa mosambicensis,1,,26.8,N,Y,7,N,,Fenced,,
07/04/2025,A,5,Z3,2,Hyperrhenia filipendula,1,,19.4,,,,,,Fenced,,
07/04/2025,A,5,Z3,2,Pinhole,11,,17.3,,,,,,Fenced,,
07/04/2025,A,5,Z3,2,E.gummiflua,1,,16.8,,,,,,Fenced,,
07/04/2025,A,5,Z3,5,Urochloa mosambicensis,1,,7.4,N,N,4,N,,Fenced,,
07/04/2025,A,5,Z3,5,A.excavatus,1,,9.8,,,,,,Fenced,,
07/04/2025,A,5,Z3,5,Pinhole,6,,13,,,,,,Fenced,,
07/04/2025,A,5,Z3,3,,,,14.3,,,,,,Fenced,,
07/04/2025,A,5,Z3,3,,,,,,,,,,Fenced,,
07/04/2025,A,5,Z3,3,,,,,,,,,,Fenced,,
07/04/2025,A,5,Z3,3,,,,,,,,,,Fenced,,
07/04/2025,A,5,Z1,3,Urochloa mosambicensis,3,,22.3,N,N,7.5,N,,Fenced,,
07/04/2025,A,5,Z1,3,Pinhole,10,,20.3,,,,,,Fenced,,
07/04/2025,A,5,Z1,3,,,,20.6,,,,,,Fenced,,
07/04/2025,A,5,Z1,3,,,,19.7,,,,,,Fenced,,
07/04/2025,A,5,Z1,4,Hyperrhenia filipendula,1,,18.7,N,N,3,N,,Fenced,,
07/04/2025,A,5,Z1,4,Urochloa mosambicensis,1,,16.1,,,,,,Fenced,,
07/04/2025,A,5,Z1,4,,,,19.2,,,,,,Fenced,,
07/04/2025,A,5,Z1,4,,,,14.8,,,,,,Fenced,,
07/04/2025,A,5,Z1,1,Hyperrhenia filipendula,1,,16,N,N,4,N,,Fenced,,
07/04/2025,A,5,Z1,1,Themeda triandra,2,,12,,,,,,Fenced,,
07/04/2025,A,5,Z1,1,Urochloa mosambicensis,2,,15,,,,,,Fenced,,
07/04/2025,A,5,Z1,1,Pinhole,4,,17.8,,,,,,Fenced,,
07/04/2025,A,5,Z1,5,Hyperrhenia filipendula,4,,,,,,,,Fenced,,
07/04/2025,A,5,Z1,5,Urochloa mosambicensis,2,,2.8,N,N,2,N,,Fenced,,
07/04/2025,A,5,Z1,5,,,,6.9,,,,,,Fenced,,
07/04/2025,A,5,Z1,5,,,,6.3,,,,,,Fenced,,
07/04/2025,A,5,Z1,5,,,,6.4,,,,,,Fenced,,
07/04/2025,A,5,Z1,2,Heteropogon  contortus,1,,24,N,N,2.5,N,,Fenced,,
07/04/2025,A,5,Z1,2,Urochloa mosambicensis,3,,16,,,,,,Fenced,,
07/04/2025,A,5,Z1,2,,,,14.7,,,,,,Fenced,,
07/04/2025,A,5,Z1,2,,,,14.8,,,,,,Fenced,,
08/04/2025,F,5,Z2,1,Aristida ads,1,,6.8,N,N,3,N,,Fenced,,
08/04/2025,F,5,Z2,1,Mopane grass,1,,3.4,,,,,,Fenced,,
08/04/2025,F,5,Z2,1,Setaria incressata,5,,5.7,,,,,,Fenced,,
08/04/2025,F,5,Z2,1,,,,7.3,,,,,,Fenced,,
08/04/2025,F,5,Z2,2,Digitaria erianthra,2,,8.5,,,,,,Fenced,,
08/04/2025,F,5,Z2,2,Pogonarthria squarrosa,4,,7.3,,,,,,Fenced,,
08/04/2025,F,5,Z2,2,Cynadon dactylon,5,,7.2,,,,,,Fenced,,
08/04/2025,F,5,Z2,2,,,,7,,,,,,Fenced,,
08/04/2025,F,5,Z2,3,Digitaria erianthra,8,,6.6,N,Y,3.5,N,,Fenced,,
08/04/2025,F,5,Z2,3,Heteropogon  contortus,1,,6.9,,,,,,Fenced,,
08/04/2025,F,5,Z2,3,Cynadon dactylon,5,,6.9,,,,,,Fenced,,
08/04/2025,F,5,Z2,3,,,,6.7,,,,,,Fenced,,
08/04/2025,F,5,Z2,4,Chloris virgata,4,,8.6,N,Y,3.5,N,,Fenced,,
