Site,DPM Height
A,19
A,18.9
A,11.6
A,11.3
A,18.7
A,18.5
A,19.2
A,19.5
A,19.3
A,18.3
A,18.9
A,19.6
A,9.1
A,9
A,9.1
A,8.1
A,14.2
A,20
A,19.7
A,19.6
A,19
A,18.9
A,11.6
A,11.3
A,44.6
A,39.6
A,38.2
A,32.5
A,18.2
A,20.2
A,26.8
A,29.9
A,18
A,19.9
A,19.9
A,21
A,21.1
A,21.1
A,20.4
A,20.2
A,23.7
A,23
A,22.4
A,21.7
A,0
A,28.9
A,30.7
A,31.7
A,30.9
A,16.3
A,18.7
A,18.1
A,19.9
A,27.1
A,27.8
A,28.6
A,30
A,17.4
A,12.9
A,16.6
A,18.5
A,21.7
A,20.8
A,13.5
A,13.3
A,17.6
A,17.4
A,15.4
A,17.2
A,30.6
A,29.7
A,29.4
A,28.4
A,28.1
A,26.8
A,26.2
A,25.1
A,21.7
A,18.7
A,15.9
A,17.6
A,23.3
A,18.9
A,21.1
A,22.4
A,29.3
A,32.5
A,32.4
A,31.1
A,14.6
A,14.2
A,15.3
A,16.7
A,20.2
A,22.4
A,23.3
A,21.5
A,17.6
A,18.6
A,17.2
A,19.4
A,41.4
A,41.4
A,33.5
A,25.5
A,23.3
A,18.8
A,23.7
A,27.4
A,14.1
A,20.5
A,15.5
A,13.9
A,11.8
A,17.9
A,23.4
A,22.1
A,21.1
A,22.1
A,23.6
A,22.3
A,13.7
A,10.5
A,10.3
A,10.7
A,29.3
A,32.5
A,32.4
A,31.1
A,23.4
A,23.8
A,22.7
A,23.7
A,10.2
A,13.9
A,11
A,10.9
A,12.5
A,12.3
A,17
A,16.3
A,17.2
A,9.6
A,27.7
A,34.9
A,13.1
A,16.9
A,18.2
A,21.2
A,39.1
A,43
A,34.6
A,30.8
A,29
A,31.6
A,32.6
A,33.3
A,38
A,29.8
A,22
A,23.9
A,11.8
A,17.1
A,15.3
A,15.7
A,15.4
A,16.8
A,16.7
A,16.7
A,21.9
A,21.8
A,20.9
A,18.4
A,17.6
A,15.9
A,15.3
A,15.4
A,31.7
A,31.7
A,28.7
A,25.3
A,3.6
A,11.2
A,12.5
A,12.7
A,51.3
A,36
A,43.7
A,46.1
A,5.9
A,8.7
A,12.6
A,12.7
A,11.8
A,15.7
A,18.6
A,20.6
A,10.7
A,16.9
A,13.6
A,13.5
A,31.8
A,29
A,26.4
A,25.9
A,26.8
A,19.2
A,17.8
A,16.9
A,6.8
A,11.5
A,17.8
A,14.2
A,31.7
A,19.9
A,18.7
A,18.5
A,14.9
A,17.3
A,19.4
A,16.1
A,8.5
A,9.7
A,11.6
A,10.6
A,6
A,10.9
A,11.4
A,13.2
A,42.7
A,41.3
A,37.6
A,36.9
A,6.4
A,18
A,21
A,23.8
A,19.7
A,22.4
A,22.6
A,25
A,21
A,20.5
A,20.4
A,20.5
A,22.5
A,22.5
A,22.5
A,22.5
A,24.1
A,32
A,34.3
A,32.5
A,35.6
A,27.9
A,33.3
A,37
A,20.5
A,21.7
A,22
A,21.4
A,18.7
A,19.2
A,18.9
A,18.5
A,20.5
A,20.7
A,20.5
A,21.4
A,36.4
A,36.6
A,32.1
A,30.6
A,23
A,23.1
A,21.7
A,21.1
A,20.2
A,20.1
A,20.1
A,20.4
A,20.2
A,20.3
A,20.6
A,20
A,12.7
A,17.2
A,16.1
A,17.3
A,3.7
A,9.5
A,13
A,11.4
A,19.6
A,20
A,20.1
A,20.1
A,18.3
A,18.9
A,19
A,18.9
A,17.9
A,19.1
A,19.4
A,19.4
A,23
A,22.2
A,21.3
A,20.8
A,19.9
A,19.9
A,19.5
A,19.2
A,25.7
A,17.1
A,17.8
A,22.1
A,12.1
A,13.8
A,13.7
A,14.2
A,25.6
A,20.8
A,22.3
A,22.7
A,28.2
A,28.8
A,31.2
A,28.8
A,21
A,17.1
A,21.7
A,23
A,17.1
A,14.7
A,21.1
A,21.4
A,22.6
A,16.8
A,14.9
A,13.6
A,10.6
A,14.8
A,17
A,19.8
A,10.8
A,9.2
A,11.4
A,10.3
A,17.7
A,17.5
A,17.4
A,16.4
A,15.1
A,17.3
A,20.1
A,22.7
A,29.8
A,26.7
A,22.3
A,22.3
A,36.3
A,34.5
A,34.2
A,34.5
A,20.4
A,17.1
A,19.3
A,18.6
A,17.1
A,17
A,20.2
A,22.5
A,8.7
A,11.6
A,11.3
A,10.3
A,13.2
A,17.8
A,18.3
A,17.6
A,19.1
A,16
A,17.5
A,18.1
A,20.8
A,18.1
A,23.3
A,24.5
A,35.3
A,24.2
A,19
A,23.6
A,18.8
A,15.6
A,18.3
A,18.6
B,6.4
B,2.8
B,5.8
B,2.6
B,5.1
B,4.2
B,6.7
B,6.2
B,6.1
B,3.7
B,3.2
B,2.4
B,8.5
B,3.1
B,4.4
B,4.2
B,6.7
B,6
B,6.7
B,5.3
B,2.2
B,8
B,14
B,20
B,7
B,8.2
B,5.9
B,6.6
B,2.6
B,6
B,7.6
B,6.6
B,11.4
B,22.9
B,6.3
B,31
B,5.6
B,7.2
B,5.2
B,7.5
B,4
B,4.7
B,4.7
B,10.5
B,10.7
B,11.9
B,10.6
B,9.7
B,7.3
B,8.8
B,12.3
B,5.6
B,5.3
B,5.9
B,5.3
B,5.2
B,5.1
B,5.5
B,5.9
B,6.5
B,2.8
B,5.7
B,8.2
B,7.1
B,3.8
B,7
B,5.8
B,5.8
B,16.4
B,17.6
B,14.9
B,13.4
B,4
B,3.4
B,4.8
B,4.9
B,1.9
B,4.2
B,6.7
B,7
B,7.9
B,8.2
B,8.9
B,9.8
B,18.5
B,18.5
B,16.1
B,17.4
B,10.7
B,11
B,14.8
B,14.9
B,9.5
B,10.4
B,13.2
B,12.3
B,17.1
B,17.2
B,18.8
B,15.6
B,16.8
B,13.3
B,11
B,22.9
B,3.4
B,5.7
B,7.4
B,12
B,9.6
B,9.4
B,9.7
B,9.4
B,9.3
B,8.3
B,7.8
B,7.5
B,9.3
B,15.3
B,11
B,6.1
B,6.3
B,5.7
B,10.9
B,11.1
B,2.1
B,4.6
B,6.9
B,10.6
B,25.2
B,24.3
B,24
B,28.7
B,6
B,4.5
B,4.7
B,3.8
B,10.6
B,13
