Site,Spp_name
A,Digitaria eriantha
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Aristida adscensionis
A,Urochloa mosambicensis
A,Heteropogon contortus
A,Digitaria eriantha
A,Sporobolus africanus
A,Setaria sphacelata
A,Heteropogon contortus
A,Cymbopogon excavatus
A,Aristida adscensionis
A,Urochloa mosambicensis
A,Heteropogon contortus
A,Hyperrhenia filipendula
A,Digitaria eriantha
A,Setaria sphacelata
A,Eragrostis superba
A,Themeda triandra 
A,Urochloa mosambicensis
A,Digitaria eriantha
A,Setaria sphacelata
A,Digitaria eriantha
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Hyperrhenia filipendula
A,Setaria sphacelata
A,Bothriochloa insculpta
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Setaria sphacelata
A,Heteropogon contortus
A,Eragrostis gummiflua
A,Hyperrhenia filipendula
A,Setaria sphacelata
A,Setaria sphacelata
A,Aristida adscensionis
A,Digitaria eriantha
A,Heteropogon contortus
A,Digitaria eriantha
A,Hyperrhenia filipendula
A,Pogonarthria squarrosa 
A,Cymbopogon excavatus
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Panicum maximum
A,Heteropogon contortus
A,Bothriochloa insculpta
A,Cymbopogon excavatus
A,Urochloa mosambicensis
A,Aristida adscensionis
A,Aristida diffusa
A,Hyperrhenia filipendula
A,Urochloa mosambicensis
A,Heteropogon contortus
A,Digitaria eriantha
A,Setaria sphacelata
A,Bothriochloa insculpta
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Heteropogon contortus
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Heteropogon contortus
A,Urochloa mosambicensis
A,Hyperrhenia hirta
A,Heteropogon contortus
A,Andropogon eucomus
A,Bothriochloa insculpta
A,Bothriochloa insculpta
A,Aristida adscensionis
A,Cymbopogon excavatus
A,Loudetia simplex
A,Cymbopogon plurinodis
A,Bothriochloa insculpta
A,Urochloa mosambicensis
A,Eragrostis gummiflua
A,Loudetia simplex
A,Bothriochloa insculpta
A,Eragrostis gummiflua
A,Hyperrhenia filipendula
A,Bothriochloa insculpta
A,Hyperrhenia filipendula
A,Setaria pumila 
A,Heteropogon contortus
A,Bothriochloa insculpta
A,Loudetia simplex
A,Eragrostis gummiflua
A,Hyperrhenia filipendula
A,Hyperrhenia filipendula
A,Heteropogon contortus
A,Hyperrhenia filipendula
A,Urochloa mosambicensis
A,Heteropogon contortus
A,Hyperrhenia filipendula
A,Hyperrhenia filipendula
A,Urochloa mosambicensis
A,Bothriochloa insculpta
A,Eragrostis gummiflua
A,Hyperrhenia filipendula
A,Heteropogon contortus
A,Bothriochloa insculpta
A,Bothriochloa insculpta
A,Eragrostis gummiflua
A,Urochloa mosambicensis
A,Bothriochloa insculpta
A,Urochloa mosambicensis
A,Heteropogon contortus
A,Eragrostis gummiflua
A,Bothriochloa insculpta
A,Cymbopogon excavatus
A,Eragrostis superba
A,Aristida adscensionis
A,Hyperrhenia filipendula
A,Setaria pumila 
A,Hyperrhenia filipendula
A,Urochloa mosambicensis
A,Heteropogon contortus
A,Cymbopogon excavatus
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Aristida diffusa
A,Aristida congesta C
A,Melinis repens
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Bothriochloa insculpta
A,Urochloa mosambicensis
A,Cymbopogon excavatus
A,Hyperrhenia filipendula
A,Bothriochloa insculpta
A,Urochloa mosambicensis
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Heteropogon contortus
A,Aristida adscensionis
A,Urochloa mosambicensis
A,Loudetia simplex
A,Bothriochloa insculpta
A,Bothriochloa insculpta
A,Cymbopogon excavatus
A,Aristida adscensionis
A,Bothriochloa insculpta
A,Hyperrhenia hirta
A,Bothriochloa insculpta
A,Hyperrhenia hirta
A,Digitaria eriantha
A,Eragrostis gummiflua
A,Urochloa mosambicensis
A,Bothriochloa insculpta
A,Eragrostis gummiflua
A,Heteropogon contortus
A,Aristida adscensionis
A,Melinis repens
A,Eragrostis rigidior
A,Cynodon dactylon
A,Urochloa mosambicensis
A,Setaria pumila 
A,Heteropogon contortus
A,Aristida adscensionis
A,Urochloa mosambicensis
A,Cymbopogon excavatus
A,Digitaria eriantha
A,Aristida adscensionis
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Setaria incrassata
A,Eragrostis superba
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Hyperrhenia hirta
A,Pogonarthria squarrosa 
A,Heteropogon contortus
A,Aristida adscensionis
A,Heteropogon contortus
A,Melinis repens
A,Digitaria eriantha
A,Setaria incrassata
A,Heteropogon contortus
A,Urochloa mosambicensis
A,Themeda triandra
A,Urochloa mosambicensis
A,Melinis repens
A,Cymbopogon excavatus
A,Heteropogon contortus
A,Aristida adscensionis
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Pogonarthria squarrosa 
A,Bothriochloa insculpta
A,Brachiaria serrata
A,Eragrostis gummiflua
A,Bothriochloa insculpta
A,Heteropogon contortus
A,Themeda triandra
A,Bothriochloa insculpta
A,Cymbopogon excavatus
A,Bothriochloa insculpta
A,Urochloa mosambicensis
A,Bothriochloa insculpta
A,Digitaria eriantha
A,Aristida adscensionis
A,Cymbopogon excavatus
A,Heteropogon contortus
A,Digitaria eriantha
A,Aristida adscensionis
A,Heteropogon contortus
A,Cymbopogon excavatus
A,Heteropogon contortus
A,Andropogon eucomus
A,Aristida adscensionis
A,Themeda triandra
A,Loudetia simplex
A,Bothriochloa insculpta
A,Bothriochloa insculpta
A,Aristida adscensionis
A,Bothriochloa insculpta
A,Andropogon eucomus
A,Urochloa mosambicensis
A,Digitaria eriantha
A,Andropogon eucomus
A,Bothriochloa insculpta
A,Bothriochloa insculpta
A,Aristida adscensionis
A,Bothriochloa insculpta
A,Heteropogon contortus
A,Melinis repens
A,Andropogon eucomus
A,Urochloa mosambicensis
A,Cymbopogon excavatus
A,Heteropogon contortus
A,Themeda triandra
A,Eragrostis superba
A,Bothriochloa insculpta
A,Heteropogon contortus
A,Digitaria eriantha
A,Heteropogon contortus
A,Themeda triandra
A,Eragrostis superba
A,Digitaria eriantha
A,Hyperrhenia hirta
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Bothriochloa insculpta
A,Heteropogon contortus
A,Aristida adscensionis
A,Urochloa mosambicensis
A,Aristida adscensionis
A,Cymbopogon excavatus
A,Bothriochloa insculpta
A,Urochloa mosambicensis
A,Hyperrhenia hirta
A,Heteropogon contortus
A,Urochloa mosambicensis
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Bothriochloa insculpta
A,Urochloa mosambicensis
A,Heteropogon contortus
A,Aristida adscensionis
A,Setaria sphacelata 
A,Urochloa mosambicensis
A,Bothriochloa insculpta
A,Heteropogon contortus
A,Aristida adscensionis
A,Melinis repens 
A,Panicum maximum
A,Hyperrhenia filipendula
A,Heteropogon contortus
A,Hyperrhenia filipendula
A,Cymbopogon excavatus
A,Urochloa mosambicensis
A,Cymbopogon excavatus
A,Bothriochloa insculpta
A,Urochloa mosambicensis
A,Bothriochloa insculpta
A,Heteropogon contortus
A,Eragrostis gummiflua
A,Andropogon eucomus
A,Aristida adscensionis
A,Bothriochloa insculpta
A,Bothriochloa insculpta
A,Aristida adscensionis
A,Cymbopogon excavatus
A,Eragrostis superba
A,Heteropogon contortus
A,Bothriochloa insculpta
A,Hyperrhenia hirta
A,Bothriochloa insculpta
A,Heteropogon contortus
A,Aristida adscensionis
A,Cymbopogon excavatus
A,Eragrostis gummiflua
A,Bothriochloa insculpta
A,Cymbopogon excavatus
A,Bothriochloa insculpta
A,Aristida adscensionis
A,Urochloa mosambicensis
A,Hyperrhenia filipendula
A,Bothriochloa insculpta
A,Cymbopogon excavatus
A,Heteropogon contortus
A,Bothriochloa insculpta
A,Urochloa mosambicensis
B,Eragrostis superba
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Eragrostis gummiflua
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Cymbopogon excavatus
B,Heteropogon contortus
B,Melinis repens
B,Aristida congesta C
B,Eragrostis gummiflua
B,Eragrostis rigidior
B,Melinis repens
B,Heteropogon contortus
B,Aristida congesta C
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Eragrostis rigidior
B,Heteropogon contortus
B,Aristida  canescens
B,Aristida congesta C
B,Eragrostis rigidior
B,Heteropogon contortus
B,Aristida  canescens
B,Bothriochloa insculpta
B,Melinis repens
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Bothriochloa insculpta
B,Heteropogon contortus
B,Melinis repens
B,Bothriochloa insculpta
B,Aristida congesta B
B,Eragrostis rigidior
B,Eragrostis superba
B,Cymbopogon excavatus
B,Hyperrhenia filipendula
B,Heteropogon contortus
B,Eragrostis gummiflua
B,Heteropogon contortus
B,Eragrostis superba
B,Aristida congesta B
B,Eragrostis superba
B,Heteropogon contortus
B,Eragrostis gummiflua
B,Aristida adscensionis
B,Bothriochloa insculpta
B,Aristida congesta B
B,Heteropogon contortus
B,Eragrostis gummiflua
B,Aristida adscensionis
B,Melinis repens
B,Themeda triandra
B,Setaria sphacelata
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Eragrostis gummiflua
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Melinis repens
B,Bothriochloa insculpta
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Cymbopogon excavatus
B,Eragrostis superba
B,Eragrostis gummiflua
B,Aristida congesta B
B,Heteropogon contortus
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Melinis repens
B,Bothriochloa insculpta
B,Heteropogon contortus
B,Eragrostis gummiflua
B,Eragrostis superba
B,Brachiaria serrata
B,Heteropogon contortus
B,Aristida adscensionis
B,Bothriochloa insculpta
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Aristida adscensionis
B,Themeda triandra
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Aristida adscensionis
B,Eragrostis rigidior
B,Cymbopogon excavatus
B,Aristida adscensionis
B,Melinis repens
B,Cymbopogon excavatus
B,Hyperrhenia filipendula
B,Heteropogon contortus
B,Melinis repens
B,Bothriochloa insculpta
B,Heteropogon contortus
B,Melinis repens
B,Panicum maximum
B,Eragrostis gummiflua
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Bothriochloa insculpta
B,Eragrostis gummiflua
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Bothriochloa insculpta
B,Eragrostis rigidior
B,Melinis repens
B,Cymbopogon excavatus
B,Eragrostis gummiflua
B,Heteropogon contortus
B,Urochloa mosambicensis
B,Heteropogon contortus
B,Aristida adscensionis
B,Bothriochloa insculpta
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Eragrostis gummiflua
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Aristida adscensionis
B,Melinis repens
B,Digitaria eriantha
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Setaria pumila 
B,Aristida adscensionis
B,Heteropogon contortus
B,Digitaria eriantha
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Heteropogon contortus
B,Cymbopogon excavatus
B,Eragrostis rigidior
B,Aristida  canescens
B,Setaria incrassata
B,Eragrostis gummiflua
B,Heteropogon contortus
B,Aristida congesta B
B,Heteropogon contortus
B,Aristida congesta B
B,Heteropogon contortus
B,Eragrostis gummiflua
B,Cymbopogon excavatus
B,Cynodon dactylon
B,Eragrostis superba
B,Themeda triandra
B,Bothriochloa insculpta
B,Cymbopogon plurinodis
B,Cymbopogon excavatus
B,Setaria incrassata
B,Eragrostis superba
B,Digitaria eriantha
B,Heteropogon contortus
B,Melinis repens
B,Heteropogon contortus
B,Melinis repens
B,Aristida adscensionis
B,Bothriochloa insculpta
B,Cynodon dactylon
B,Melinis repens
B,Aristida adscensionis
B,Cymbopogon excavatus
B,Cymbopogon plurinodis
B,Heteropogon contortus
B,Melinis repens
B,Aristida adscensionis
B,Bothriochloa insculpta
B,Cymbopogon plurinodis
B,Cynodon dactylon
B,Themeda triandra
B,Melinis repens
B,Eragrostis gummiflua
B,Themeda triandra
B,Hyperrhenia filipendula
B,Cymbopogon excavatus
B,Setaria pumila 
B,Sporobolus africanus
B,Heteropogon contortus
B,Melinis repens
B,Aristida adscensionis
B,Cymbopogon plurinodis
B,Cymbopogon excavatus
B,Heteropogon contortus
