Site,Plot,Subplot,Quadrat,Date_observed,Spp_name,Grazing_value,DPM Height,
A,1,Z1,Q1,2024-04-20,Digitaria eriantha,High,19,
A,1,Z1,Q1,2024-04-20,Urochloa mosambicensis,Moderate,18.9,
A,1,Z1,Q1,2024-04-20,Hyperrhenia filipendula,Moderate,11.6,
A,1,Z1,Q1,2024-04-20,,,11.3,
A,1,Z1,Q2,2024-04-20,Aristida adscensionis,Low,18.7,
A,1,Z1,Q2,2024-04-20,Urochloa mosambicensis,Moderate,18.5,
A,1,Z1,Q2,2024-04-20,Heteropogon contortus,Moderate,19.2,
A,1,Z1,Q2,2024-04-20,Digitaria eriantha,High,19.5,
A,1,Z1,Q2,2024-04-20,Sporobolus africanus,Low,,
A,1,Z1,Q3,2024-04-20,Setaria sphacelata,High,19.3,
A,1,Z1,Q3,2024-04-20,Heteropogon contortus,Moderate,18.3,
A,1,Z1,Q3,2024-04-20,Cymbopogon excavatus,Low,18.9,
A,1,Z1,Q3,2024-04-20,,,19.6,
A,1,Z1,Q4,2024-04-20,Aristida adscensionis,Low,9.1,
A,1,Z1,Q4,2024-04-20,Urochloa mosambicensis,Moderate,9,
A,1,Z1,Q4,2024-04-20,Heteropogon contortus,Moderate,9.1,
A,1,Z1,Q4,2024-04-20,Hyperrhenia filipendula,Moderate,8.1,
A,1,Z1,Q4,2024-04-20,Digitaria eriantha,High,,
A,1,Z1,Q4,2024-04-20,Setaria sphacelata,High,,
A,1,Z1,Q4,2024-04-20,Eragrostis superba,Moderate,,
A,1,Z1,Q5,2024-04-20,Themeda triandra ,High,14.2,
A,1,Z1,Q5,2024-04-20,Urochloa mosambicensis,Moderate,20,
A,1,Z1,Q5,2024-04-20,Digitaria eriantha,High,19.7,
A,1,Z1,Q5,2024-04-20,Setaria sphacelata,High,19.6,
A,1,Z2,Q1,2024-04-20,Digitaria eriantha,High,19,
A,1,Z2,Q1,2024-04-20,Urochloa mosambicensis,Moderate,18.9,
A,1,Z2,Q1,2024-04-20,Hyperrhenia filipendula,Moderate,11.6,
A,1,Z2,Q1,2024-04-20,,,11.3,
A,1,Z2,Q2,2024-04-20,Hyperrhenia filipendula,Moderate,44.6,
A,1,Z2,Q2,2024-04-20,Setaria sphacelata,High,39.6,
A,1,Z2,Q2,2024-04-20,,,38.2,
A,1,Z2,Q2,2024-04-20,,,32.5,
A,1,Z2,Q3,2024-04-20,Bothriochloa insculpta,Moderate,18.2,
A,1,Z2,Q3,2024-04-20,Urochloa mosambicensis,Moderate,20.2,
A,1,Z2,Q3,2024-04-20,Hyperrhenia filipendula,Moderate,26.8,
A,1,Z2,Q3,2024-04-20,,,29.9,
A,1,Z2,Q4,2024-04-20,Urochloa mosambicensis,Moderate,18,
A,1,Z2,Q4,2024-04-20,Hyperrhenia filipendula,Moderate,19.9,
A,1,Z2,Q4,2024-04-20,Setaria sphacelata,High,19.9,
A,1,Z2,Q4,2024-04-20,Heteropogon contortus,Moderate,21,
A,1,Z2,Q4,2024-04-20,Eragrostis gummiflua,Low,,
A,1,Z2,Q5,2024-04-20,Hyperrhenia filipendula,Moderate,21.1,
A,1,Z2,Q5,2024-04-20,Setaria sphacelata,High,21.1,
A,1,Z2,Q5,2024-04-20,,,20.4,
A,1,Z2,Q5,2024-04-20,,,20.2,
A,1,Z3,Q1,2024-04-20,Setaria sphacelata,High,23.7,
A,1,Z3,Q1,2024-04-20,Aristida adscensionis,Low,23,
A,1,Z3,Q1,2024-04-20,Digitaria eriantha,High,22.4,
A,1,Z3,Q1,2024-04-20,,,21.7,
A,1,Z3,Q2,2024-04-20,,,0,
A,1,Z3,Q2,2024-04-20,,,0,
A,1,Z3,Q2,2024-04-20,,,0,
A,1,Z3,Q2,2024-04-20,,,0,
A,1,Z3,Q3,2024-04-20,Heteropogon contortus,Moderate,28.9,
A,1,Z3,Q3,2024-04-20,Digitaria eriantha,High,30.7,
A,1,Z3,Q3,2024-04-20,Hyperrhenia filipendula,Moderate,31.7,
A,1,Z3,Q3,2024-04-20,,,30.9,
A,1,Z3,Q4,2024-04-20,Pogonarthria squarrosa ,Low,16.3,
A,1,Z3,Q4,2024-04-20,Cymbopogon excavatus,Low,18.7,
A,1,Z3,Q4,2024-04-20,Urochloa mosambicensis,Moderate,18.1,
A,1,Z3,Q4,2024-04-20,Hyperrhenia filipendula,Moderate,19.9,
A,1,Z3,Q5,2024-04-20,Panicum maximum,High,27.1,
A,1,Z3,Q5,2024-04-20,Heteropogon contortus,Moderate,27.8,
A,1,Z3,Q5,2024-04-20,,,28.6,
A,1,Z3,Q5,2024-04-20,,,30,
A,1,Z4,Q1,2024-04-20,Bothriochloa insculpta,Moderate,17.4,
A,1,Z4,Q1,2024-04-20,Cymbopogon excavatus,Low,12.9,
A,1,Z4,Q1,2024-04-20,Urochloa mosambicensis,Moderate,16.6,
A,1,Z4,Q1,2024-04-20,Aristida adscensionis,Low,18.5,
A,1,Z4,Q1,2024-04-20,Aristida diffusa,Low,,
A,1,Z4,Q2,2024-04-20,Hyperrhenia filipendula,Moderate,21.7,
A,1,Z4,Q2,2024-04-20,Urochloa mosambicensis,Moderate,20.8,
A,1,Z4,Q2,2024-04-20,Heteropogon contortus,Moderate,13.5,
A,1,Z4,Q2,2024-04-20,Digitaria eriantha,High,13.3,
A,1,Z4,Q3,2024-04-20,Setaria sphacelata,High,17.6,
A,1,Z4,Q3,2024-04-20,Bothriochloa insculpta,Moderate,17.4,
A,1,Z4,Q3,2024-04-20,Urochloa mosambicensis,Moderate,15.4,
A,1,Z4,Q3,2024-04-20,Hyperrhenia filipendula,Moderate,17.2,
A,1,Z4,Q4,2024-04-20,Heteropogon contortus,Moderate,30.6,
A,1,Z4,Q4,2024-04-20,Urochloa mosambicensis,Moderate,29.7,
A,1,Z4,Q4,2024-04-20,Hyperrhenia filipendula,Moderate,29.4,
A,1,Z4,Q4,2024-04-20,,,28.4,
A,1,Z4,Q5,2024-04-20,Heteropogon contortus,Moderate,28.1,
A,1,Z4,Q5,2024-04-20,Urochloa mosambicensis,Moderate,26.8,
A,1,Z4,Q5,2024-04-20,Hyperrhenia hirta,Moderate,26.2,
A,1,Z4,Q5,2024-04-20,,,25.1,
A,2,Z1,Q1,2024-04-20,Heteropogon contortus,Moderate,21.7,
A,2,Z1,Q1,2024-04-20,Andropogon eucomus,Low,18.7,
A,2,Z1,Q1,2024-04-20,Bothriochloa insculpta,Moderate,15.9,
A,2,Z1,Q1,2024-04-20,,,17.6,
A,2,Z1,Q2,2024-04-20,Bothriochloa insculpta,Moderate,23.3,
A,2,Z1,Q2,2024-04-20,Aristida adscensionis,Low,18.9,
A,2,Z1,Q2,2024-04-20,Cymbopogon excavatus,Low,21.1,
A,2,Z1,Q2,2024-04-20,Loudetia simplex,Moderate,22.4,
A,2,Z1,Q2,2024-04-20,Cymbopogon plurinodis,Low,,
A,2,Z1,Q3,2024-04-20,Bothriochloa insculpta,Moderate,29.3,
A,2,Z1,Q3,2024-04-20,Urochloa mosambicensis,Moderate,32.5,
A,2,Z1,Q3,2024-04-20,Eragrostis gummiflua,Low,32.4,
A,2,Z1,Q3,2024-04-20,,,31.1,
A,2,Z1,Q4,2024-04-20,Loudetia simplex,Moderate,14.6,
A,2,Z1,Q4,2024-04-20,Bothriochloa insculpta,Moderate,14.2,
A,2,Z1,Q4,2024-04-20,Eragrostis gummiflua,Low,15.3,
A,2,Z1,Q4,2024-04-20,Hyperrhenia filipendula,Moderate,16.7,
A,2,Z1,Q5,2024-04-20,Bothriochloa insculpta,Moderate,20.2,
A,2,Z1,Q5,2024-04-20,Hyperrhenia filipendula,Moderate,22.4,
A,2,Z1,Q5,2024-04-20,Setaria pumila ,Moderate,23.3,
A,2,Z1,Q5,2024-04-20,,,21.5,
A,2,Z2,Q1,2024-04-21,Heteropogon contortus,Moderate,17.6,
A,2,Z2,Q1,2024-04-21,Bothriochloa insculpta,Moderate,18.6,
A,2,Z2,Q1,2024-04-21,Loudetia simplex,Moderate,17.2,
A,2,Z2,Q1,2024-04-21,Eragrostis gummiflua,Low,19.4,
A,2,Z2,Q1,2024-04-21,Hyperrhenia filipendula,Moderate,,
A,2,Z2,Q2,2024-04-21,Hyperrhenia filipendula,Moderate,41.4,
A,2,Z2,Q2,2024-04-21,,,41.4,
A,2,Z2,Q2,2024-04-21,,,33.5,
A,2,Z2,Q2,2024-04-21,,,25.5,
A,2,Z2,Q3,2024-04-21,Heteropogon contortus,Moderate,23.3,
A,2,Z2,Q3,2024-04-21,Hyperrhenia filipendula,Moderate,18.8,
A,2,Z2,Q3,2024-04-21,Urochloa mosambicensis,Moderate,23.7,
A,2,Z2,Q3,2024-04-21,,,27.4,
A,2,Z2,Q4,2024-04-21,Heteropogon contortus,Moderate,14.1,
A,2,Z2,Q4,2024-04-21,Hyperrhenia filipendula,Moderate,20.5,
A,2,Z2,Q4,2024-04-21,,,15.5,
A,2,Z2,Q4,2024-04-21,,,13.9,
A,2,Z2,Q5,2024-04-21,Hyperrhenia filipendula,Moderate,11.8,
A,2,Z2,Q5,2024-04-21,Urochloa mosambicensis,Moderate,17.9,
A,2,Z2,Q5,2024-04-21,,,23.4,
A,2,Z2,Q5,2024-04-21,,,22.1,
A,2,Z3,Q1,2024-04-21,Bothriochloa insculpta,Moderate,21.1,
A,2,Z3,Q1,2024-04-21,Eragrostis gummiflua,Low,22.1,
A,2,Z3,Q1,2024-04-21,Hyperrhenia filipendula,Moderate,23.6,
A,2,Z3,Q1,2024-04-21,,,22.3,
A,2,Z3,Q2,2024-04-21,Heteropogon contortus,Moderate,13.7,
A,2,Z3,Q2,2024-04-21,Bothriochloa insculpta,Moderate,10.5,
A,2,Z3,Q2,2024-04-21,,,10.3,
A,2,Z3,Q2,2024-04-21,,,10.7,
A,2,Z3,Q3,2024-04-21,Bothriochloa insculpta,Moderate,29.3,
A,2,Z3,Q3,2024-04-21,Eragrostis gummiflua,Low,32.5,
A,2,Z3,Q3,2024-04-21,Urochloa mosambicensis,Moderate,32.4,
A,2,Z3,Q3,2024-04-21,,,31.1,
A,2,Z3,Q4,2024-04-21,Bothriochloa insculpta,Moderate,23.4,
A,2,Z3,Q4,2024-04-21,Urochloa mosambicensis,Moderate,23.8,
A,2,Z3,Q4,2024-04-21,Heteropogon contortus,Moderate,22.7,
A,2,Z3,Q4,2024-04-21,,,23.7,
A,2,Z3,Q5,2024-04-21,Eragrostis gummiflua,Low,10.2,
A,2,Z3,Q5,2024-04-21,Bothriochloa insculpta,Moderate,13.9,
A,2,Z3,Q5,2024-04-21,Cymbopogon excavatus,Low,11,
A,2,Z3,Q5,2024-04-21,Eragrostis superba,Moderate,10.9,
A,2,Z4,Q1,2024-04-21,Aristida adscensionis,Low,12.5,
A,2,Z4,Q1,2024-04-21,Hyperrhenia filipendula,Moderate,12.3,
A,2,Z4,Q1,2024-04-21,Setaria pumila ,Moderate,17,
A,2,Z4,Q1,2024-04-21,,,16.3,
A,2,Z4,Q2,2024-04-21,Hyperrhenia filipendula,Moderate,17.2,
A,2,Z4,Q2,2024-04-21,Urochloa mosambicensis,Moderate,9.6,
A,2,Z4,Q2,2024-04-21,,,27.7,
A,2,Z4,Q2,2024-04-21,,,34.9,
A,2,Z4,Q3,2024-04-21,Heteropogon contortus,Moderate,13.1,
A,2,Z4,Q3,2024-04-21,Cymbopogon excavatus,Low,16.9,
A,2,Z4,Q3,2024-04-21,Urochloa mosambicensis,Moderate,18.2,
A,2,Z4,Q3,2024-04-21,Hyperrhenia filipendula,Moderate,21.2,
A,2,Z4,Q4,2024-04-21,Urochloa mosambicensis,Moderate,39.1,
A,2,Z4,Q4,2024-04-21,Hyperrhenia filipendula,Moderate,43,
A,2,Z4,Q4,2024-04-21,,,34.6,
A,2,Z4,Q4,2024-04-21,,,30.8,
A,2,Z4,Q5,2024-04-21,Urochloa mosambicensis,Moderate,29,
A,2,Z4,Q5,2024-04-21,Hyperrhenia filipendula,Moderate,31.6,
A,2,Z4,Q5,2024-04-21,,,32.6,
A,2,Z4,Q5,2024-04-21,,,33.3,
A,3,Z1,Q1,2024-04-19,Aristida diffusa,Low,38,
A,3,Z1,Q1,2024-04-19,Aristida congesta C,Low,29.8,
A,3,Z1,Q1,2024-04-19,Melinis repens,Low,22,
A,3,Z1,Q1,2024-04-19,Urochloa mosambicensis,Moderate,23.9,
A,3,Z1,Q2,2024-04-19,Hyperrhenia filipendula,Moderate,11.8,
A,3,Z1,Q2,2024-04-19,,,17.1,
A,3,Z1,Q2,2024-04-19,,,15.3,
A,3,Z1,Q2,2024-04-19,,,15.7,
A,3,Z1,Q3,2024-04-19,Bothriochloa insculpta,Moderate,15.4,
A,3,Z1,Q3,2024-04-19,Urochloa mosambicensis,Moderate,16.8,
A,3,Z1,Q3,2024-04-19,Cymbopogon excavatus,Low,16.7,
A,3,Z1,Q3,2024-04-19,,,16.7,
A,3,Z1,Q4,2024-04-19,Hyperrhenia filipendula,Moderate,21.9,
A,3,Z1,Q4,2024-04-19,Bothriochloa insculpta,Moderate,21.8,
A,3,Z1,Q4,2024-04-19,Urochloa mosambicensis,Moderate,20.9,
A,3,Z1,Q4,2024-04-19,,,18.4,
A,3,Z1,Q5,2024-04-19,Urochloa mosambicensis,Moderate,17.6,
A,3,Z1,Q5,2024-04-19,Hyperrhenia filipendula,Moderate,15.9,
A,3,Z1,Q5,2024-04-19,Heteropogon contortus,Moderate,15.3,
A,3,Z1,Q5,2024-04-19,Aristida adscensionis,Low,15.4,
A,3,Z2,Q1,2024-04-19,Urochloa mosambicensis,Moderate,31.7,
A,3,Z2,Q1,2024-04-19,Loudetia simplex,Low,31.7,
A,3,Z2,Q1,2024-04-19,Bothriochloa insculpta,Moderate,28.7,
A,3,Z2,Q1,2024-04-19,,,25.3,
A,3,Z2,Q2,2024-04-19,Bothriochloa insculpta,Moderate,3.6,
A,3,Z2,Q2,2024-04-19,Cymbopogon excavatus,Low,11.2,
A,3,Z2,Q2,2024-04-19,Aristida adscensionis,Low,12.5,
A,3,Z2,Q2,2024-04-19,,,12.7,
A,3,Z2,Q3,2024-04-19,Bothriochloa insculpta,Moderate,51.3,
A,3,Z2,Q3,2024-04-19,Hyperrhenia hirta,Moderate,36,
A,3,Z2,Q3,2024-04-19,,,43.7,
