Site,Plot,Subplot,Quadrat,Spp_name,DPM Height
A,1,Z1,Q1,Digitaria eriantha,19
A,1,Z1,Q1,Urochloa mosambicensis,18.9
A,1,Z1,Q1,Hyperrhenia filipendula,11.6
A,1,Z1,Q1,,11.3
A,1,Z1,Q2,Aristida adscensionis,18.7
A,1,Z1,Q2,Urochloa mosambicensis,18.5
A,1,Z1,Q2,Heteropogon contortus,19.2
A,1,Z1,Q2,Digitaria eriantha,19.5
A,1,Z1,Q2,Sporobolus africanus,
A,1,Z1,Q3,Setaria sphacelata,19.3
A,1,Z1,Q3,Heteropogon contortus,18.3
A,1,Z1,Q3,Cymbopogon excavatus,18.9
A,1,Z1,Q3,,19.6
A,1,Z1,Q4,Aristida adscensionis,9.1
A,1,Z1,Q4,Urochloa mosambicensis,9
A,1,Z1,Q4,Heteropogon contortus,9.1
A,1,Z1,Q4,Hyperrhenia filipendula,8.1
A,1,Z1,Q4,Digitaria eriantha,
A,1,Z1,Q4,Setaria sphacelata,
A,1,Z1,Q4,Eragrostis superba,
A,1,Z1,Q5,Themeda triandra ,14.2
A,1,Z1,Q5,Urochloa mosambicensis,20
A,1,Z1,Q5,Digitaria eriantha,19.7
A,1,Z1,Q5,Setaria sphacelata,19.6
A,1,Z2,Q1,Digitaria eriantha,19
A,1,Z2,Q1,Urochloa mosambicensis,18.9
A,1,Z2,Q1,Hyperrhenia filipendula,11.6
A,1,Z2,Q1,,11.3
A,1,Z2,Q2,Hyperrhenia filipendula,44.6
A,1,Z2,Q2,Setaria sphacelata,39.6
A,1,Z2,Q2,,38.2
A,1,Z2,Q2,,32.5
A,1,Z2,Q3,Bothriochloa insculpta,18.2
A,1,Z2,Q3,Urochloa mosambicensis,20.2
A,1,Z2,Q3,Hyperrhenia filipendula,26.8
A,1,Z2,Q3,,29.9
A,1,Z2,Q4,Urochloa mosambicensis,18
A,1,Z2,Q4,Hyperrhenia filipendula,19.9
A,1,Z2,Q4,Setaria sphacelata,19.9
A,1,Z2,Q4,Heteropogon contortus,21
A,1,Z2,Q4,Eragrostis gummiflua,
A,1,Z2,Q5,Hyperrhenia filipendula,21.1
A,1,Z2,Q5,Setaria sphacelata,21.1
A,1,Z2,Q5,,20.4
A,1,Z2,Q5,,20.2
A,1,Z3,Q1,Setaria sphacelata,23.7
A,1,Z3,Q1,Aristida adscensionis,23
A,1,Z3,Q1,Digitaria eriantha,22.4
A,1,Z3,Q1,,21.7
A,1,Z3,Q2,,0
A,1,Z3,Q3,Heteropogon contortus,28.9
A,1,Z3,Q3,Digitaria eriantha,30.7
A,1,Z3,Q3,Hyperrhenia filipendula,31.7
A,1,Z3,Q3,,30.9
A,1,Z3,Q4,Pogonarthria squarrosa ,16.3
A,1,Z3,Q4,Cymbopogon excavatus,18.7
A,1,Z3,Q4,Urochloa mosambicensis,18.1
A,1,Z3,Q4,Hyperrhenia filipendula,19.9
A,1,Z3,Q5,Panicum maximum,27.1
A,1,Z3,Q5,Heteropogon contortus,27.8
A,1,Z3,Q5,,28.6
A,1,Z3,Q5,,30
A,1,Z4,Q1,Bothriochloa insculpta,17.4
A,1,Z4,Q1,Cymbopogon excavatus,12.9
A,1,Z4,Q1,Urochloa mosambicensis,16.6
A,1,Z4,Q1,Aristida adscensionis,18.5
A,1,Z4,Q1,Aristida diffusa,
A,1,Z4,Q2,Hyperrhenia filipendula,21.7
A,1,Z4,Q2,Urochloa mosambicensis,20.8
A,1,Z4,Q2,Heteropogon contortus,13.5
A,1,Z4,Q2,Digitaria eriantha,13.3
A,1,Z4,Q3,Setaria sphacelata,17.6
A,1,Z4,Q3,Bothriochloa insculpta,17.4
A,1,Z4,Q3,Urochloa mosambicensis,15.4
A,1,Z4,Q3,Hyperrhenia filipendula,17.2
A,1,Z4,Q4,Heteropogon contortus,30.6
A,1,Z4,Q4,Urochloa mosambicensis,29.7
A,1,Z4,Q4,Hyperrhenia filipendula,29.4
A,1,Z4,Q4,,28.4
A,1,Z4,Q5,Heteropogon contortus,28.1
A,1,Z4,Q5,Urochloa mosambicensis,26.8
A,1,Z4,Q5,Hyperrhenia hirta,26.2
A,1,Z4,Q5,,25.1
A,2,Z1,Q1,Heteropogon contortus,21.7
A,2,Z1,Q1,Andropogon eucomus,18.7
A,2,Z1,Q1,Bothriochloa insculpta,15.9
A,2,Z1,Q1,,17.6
A,2,Z1,Q2,Bothriochloa insculpta,23.3
A,2,Z1,Q2,Aristida adscensionis,18.9
A,2,Z1,Q2,Cymbopogon excavatus,21.1
A,2,Z1,Q2,Loudetia simplex,22.4
A,2,Z1,Q2,Cymbopogon plurinodis,
A,2,Z1,Q3,Bothriochloa insculpta,29.3
A,2,Z1,Q3,Urochloa mosambicensis,32.5
A,2,Z1,Q3,Eragrostis gummiflua,32.4
A,2,Z1,Q3,,31.1
A,2,Z1,Q4,Loudetia simplex,14.6
A,2,Z1,Q4,Bothriochloa insculpta,14.2
A,2,Z1,Q4,Eragrostis gummiflua,15.3
A,2,Z1,Q4,Hyperrhenia filipendula,16.7
A,2,Z1,Q5,Bothriochloa insculpta,20.2
A,2,Z1,Q5,Hyperrhenia filipendula,22.4
A,2,Z1,Q5,Setaria pumila ,23.3
A,2,Z1,Q5,,21.5
A,2,Z2,Q1,Heteropogon contortus,17.6
A,2,Z2,Q1,Bothriochloa insculpta,18.6
A,2,Z2,Q1,Loudetia simplex,17.2
A,2,Z2,Q1,Eragrostis gummiflua,19.4
A,2,Z2,Q1,Hyperrhenia filipendula,
A,2,Z2,Q2,Hyperrhenia filipendula,41.4
A,2,Z2,Q2,,41.4
A,2,Z2,Q2,,33.5
A,2,Z2,Q2,,25.5
A,2,Z2,Q3,Heteropogon contortus,23.3
A,2,Z2,Q3,Hyperrhenia filipendula,18.8
A,2,Z2,Q3,Urochloa mosambicensis,23.7
A,2,Z2,Q3,,27.4
A,2,Z2,Q4,Heteropogon contortus,14.1
A,2,Z2,Q4,Hyperrhenia filipendula,20.5
A,2,Z2,Q4,,15.5
A,2,Z2,Q4,,13.9
A,2,Z2,Q5,Hyperrhenia filipendula,11.8
A,2,Z2,Q5,Urochloa mosambicensis,17.9
A,2,Z2,Q5,,23.4
A,2,Z2,Q5,,22.1
A,2,Z3,Q1,Bothriochloa insculpta,21.1
A,2,Z3,Q1,Eragrostis gummiflua,22.1
A,2,Z3,Q1,Hyperrhenia filipendula,23.6
A,2,Z3,Q1,,22.3
A,2,Z3,Q2,Heteropogon contortus,13.7
A,2,Z3,Q2,Bothriochloa insculpta,10.5
A,2,Z3,Q2,,10.3
A,2,Z3,Q2,,10.7
A,2,Z3,Q3,Bothriochloa insculpta,29.3
A,2,Z3,Q3,Eragrostis gummiflua,32.5
A,2,Z3,Q3,Urochloa mosambicensis,32.4
A,2,Z3,Q3,,31.1
A,2,Z3,Q4,Bothriochloa insculpta,23.4
A,2,Z3,Q4,Urochloa mosambicensis,23.8
A,2,Z3,Q4,Heteropogon contortus,22.7
A,2,Z3,Q4,,23.7
A,2,Z3,Q5,Eragrostis gummiflua,10.2
A,2,Z3,Q5,Bothriochloa insculpta,13.9
A,2,Z3,Q5,Cymbopogon excavatus,11
A,2,Z3,Q5,Eragrostis superba,10.9
A,2,Z4,Q1,Aristida adscensionis,12.5
A,2,Z4,Q1,Hyperrhenia filipendula,12.3
A,2,Z4,Q1,Setaria pumila,17
A,2,Z4,Q1,,16.3
A,2,Z4,Q2,Hyperrhenia filipendula,17.2
A,2,Z4,Q2,Urochloa mosambicensis,9.6
A,2,Z4,Q2,,27.7
A,2,Z4,Q2,,34.9
A,2,Z4,Q3,Heteropogon contortus,13.1
A,2,Z4,Q3,Cymbopogon excavatus,16.9
A,2,Z4,Q3,Urochloa mosambicensis,18.2
A,2,Z4,Q3,Hyperrhenia filipendula,21.2
A,2,Z4,Q4,Urochloa mosambicensis,39.1
A,2,Z4,Q4,Hyperrhenia filipendula,43
A,2,Z4,Q4,,34.6
A,2,Z4,Q4,,30.8
A,2,Z4,Q5,Urochloa mosambicensis,29
A,2,Z4,Q5,Hyperrhenia filipendula,31.6
A,2,Z4,Q5,,32.6
A,2,Z4,Q5,,33.3
A,3,Z1,Q1,Aristida diffusa,38
A,3,Z1,Q1,Aristida congesta C,29.8
A,3,Z1,Q1,Melinis repens,22
A,3,Z1,Q1,Urochloa mosambicensis,23.9
A,3,Z1,Q2,Hyperrhenia filipendula,11.8
A,3,Z1,Q2,,17.1
A,3,Z1,Q2,,15.3
A,3,Z1,Q2,,15.7
A,3,Z1,Q3,Bothriochloa insculpta,15.4
A,3,Z1,Q3,Urochloa mosambicensis,16.8
A,3,Z1,Q3,Cymbopogon excavatus,16.7
A,3,Z1,Q3,,16.7
A,3,Z1,Q4,Hyperrhenia filipendula,21.9
A,3,Z1,Q4,Bothriochloa insculpta,21.8
A,3,Z1,Q4,Urochloa mosambicensis,20.9
A,3,Z1,Q4,,18.4
A,3,Z1,Q5,Urochloa mosambicensis,17.6
A,3,Z1,Q5,Hyperrhenia filipendula,15.9
A,3,Z1,Q5,Heteropogon contortus,15.3
A,3,Z1,Q5,Aristida adscensionis,15.4
A,3,Z2,Q1,Urochloa mosambicensis,31.7
A,3,Z2,Q1,Loudetia simplex,31.7
A,3,Z2,Q1,Bothriochloa insculpta,28.7
A,3,Z2,Q1,,25.3
A,3,Z2,Q2,Bothriochloa insculpta,3.6
A,3,Z2,Q2,Cymbopogon excavatus,11.2
A,3,Z2,Q2,Aristida adscensionis,12.5
A,3,Z2,Q2,,12.7
A,3,Z2,Q3,Bothriochloa insculpta,51.3
A,3,Z2,Q3,Hyperrhenia hirta,36
A,3,Z2,Q3,,43.7
A,3,Z2,Q3,,46.1
A,3,Z2,Q4,Bothriochloa insculpta,5.9
A,3,Z2,Q4,Hyperrhenia hirta,8.7
A,3,Z2,Q4,Digitaria eriantha,12.6
A,3,Z2,Q4,Eragrostis gummiflua,12.7
A,3,Z2,Q5,Urochloa mosambicensis,11.8
A,3,Z2,Q5,Bothriochloa insculpta,15.7
A,3,Z2,Q5,Eragrostis gummiflua,18.6
A,3,Z2,Q5,,20.6
A,3,Z3,Q1,Heteropogon contortus,10.7
A,3,Z3,Q1,Aristida adscensionis,16.9
A,3,Z3,Q1,Melinis repens,13.6
A,3,Z3,Q1,Eragrostis rigidior,13.5
A,3,Z3,Q2,Cynodon dactylon,31.8
A,3,Z3,Q2,Urochloa mosambicensis,29
A,3,Z3,Q2,Setaria pumila,26.4
A,3,Z3,Q2,,25.9
A,3,Z3,Q3,Heteropogon contortus,26.8
A,3,Z3,Q3,Aristida adscensionis,19.2
A,3,Z3,Q3,Urochloa mosambicensis,17.8
A,3,Z3,Q3,Cymbopogon excavatus,16.9
A,3,Z3,Q3,Digitaria eriantha,
A,3,Z3,Q4,Aristida adscensionis,6.8
A,3,Z3,Q4,Urochloa mosambicensis,11.5
A,3,Z3,Q4,Hyperrhenia filipendula,17.8
A,3,Z3,Q4,Setaria incrassata,14.2
A,3,Z3,Q4,Eragrostis superba,
A,3,Z3,Q5,Urochloa mosambicensis,31.7
A,3,Z3,Q5,Hyperrhenia filipendula,19.9
A,3,Z3,Q5,Hyperrhenia hirta,18.7
A,3,Z3,Q5,Pogonarthria squarrosa ,18.5
A,3,Z4,Q1,Heteropogon contortus,14.9
A,3,Z4,Q1,Aristida adscensionis,17.3
A,3,Z4,Q1,,19.4
A,3,Z4,Q1,,16.1
A,3,Z4,Q2,Heteropogon contortus,8.5
A,3,Z4,Q2,Melinis repens,9.7
A,3,Z4,Q2,Digitaria eriantha,11.6
A,3,Z4,Q2,Setaria incrassata,10.6
A,3,Z4,Q3,Heteropogon contortus,6
A,3,Z4,Q3,Urochloa mosambicensis,10.9
A,3,Z4,Q3,Themeda triandra,11.4
A,3,Z4,Q3,,13.2
A,3,Z4,Q4,Urochloa mosambicensis,42.7
A,3,Z4,Q4,Melinis repens,41.3
A,3,Z4,Q4,Cymbopogon excavatus,37.6
A,3,Z4,Q4,,36.9
A,3,Z4,Q5,Heteropogon contortus,6.4
A,3,Z4,Q5,Aristida adscensionis,18
A,3,Z4,Q5,Urochloa mosambicensis,21
A,3,Z4,Q5,Hyperrhenia filipendula,23.8
A,3,Z4,Q5,Pogonarthria squarrosa ,
A,4,Z1,Q1,Bothriochloa insculpta,19.7
A,4,Z1,Q1,,22.4
A,4,Z1,Q1,,22.6
A,4,Z1,Q1,,25
A,4,Z1,Q2,Brachiaria serrata,21
A,4,Z1,Q2,Eragrostis gummiflua,20.5
A,4,Z1,Q2,Bothriochloa insculpta,20.4
A,4,Z1,Q2,,20.5
A,4,Z1,Q3,Heteropogon contortus,22.5
A,4,Z1,Q3,Themeda triandra,22.5
A,4,Z1,Q3,,22.5
A,4,Z1,Q3,,22.5
A,4,Z1,Q4,Bothriochloa insculpta,24.1
A,4,Z1,Q4,Cymbopogon excavatus,32
A,4,Z1,Q4,,34.3
A,4,Z1,Q4,,32.5
A,4,Z1,Q5,Bothriochloa insculpta,35.6
A,4,Z1,Q5,Urochloa mosambicensis,27.9
A,4,Z1,Q5,,33.3
A,4,Z1,Q5,,37
A,4,Z2,Q1,Bothriochloa insculpta,20.5
A,4,Z2,Q1,Digitaria eriantha,21.7
A,4,Z2,Q1,,22
A,4,Z1,Q1,,21.4
A,4,Z2,Q2,Aristida adscensionis,18.7
A,4,Z2,Q2,Cymbopogon excavatus,19.2
A,4,Z2,Q2,Heteropogon contortus,18.9
A,4,Z2,Q2,Digitaria eriantha,18.5
A,4,Z2,Q3,Aristida adscensionis,20.5
A,4,Z2,Q3,Heteropogon contortus,20.7
A,4,Z2,Q3,,20.5
A,4,Z2,Q3,,21.4
A,4,Z2,Q4,Cymbopogon excavatus,36.4
A,4,Z2,Q4,Heteropogon contortus,36.6
A,4,Z2,Q4,Andropogon eucomus,32.1
A,4,Z2,Q4,,30.6
A,4,Z2,Q5,Aristida adscensionis,23
A,4,Z2,Q5,Themeda triandra,23.1
A,4,Z2,Q5,,21.7
A,4,Z2,Q5,,21.1
A,4,Z3,Q1,Loudetia simplex,20.2
A,4,Z3,Q1,Bothriochloa insculpta,20.1
A,4,Z3,Q1,,20.1
A,4,Z3,Q1,,20.4
A,4,Z3,Q2,Bothriochloa insculpta,20.2
A,4,Z3,Q2,Aristida adscensionis,20.3
A,4,Z3,Q2,,20.6
A,4,Z3,Q2,,20
A,4,Z3,Q3,Bothriochloa insculpta,12.7
A,4,Z3,Q3,Andropogon eucomus,17.2
A,4,Z3,Q3,,16.1
A,4,Z3,Q3,,17.3
A,4,Z3,Q4,Urochloa mosambicensis,3.7
A,4,Z3,Q4,Digitaria eriantha,9.5
A,4,Z3,Q4,Andropogon eucomus,13
A,4,Z3,Q4,Bothriochloa insculpta,11.4
A,4,Z3,Q5,Bothriochloa insculpta,19.6
A,4,Z3,Q5,Aristida adscensionis,20
A,4,Z3,Q5,,20.1
A,4,Z3,Q5,,20.1
A,4,Z4,Q1,Bothriochloa insculpta,18.3
A,4,Z4,Q1,Heteropogon contortus,18.9
A,4,Z4,Q1,Melinis repens,19
A,4,Z4,Q1,,18.9
A,4,Z4,Q2,Andropogon eucomus,17.9
A,4,Z4,Q2,Urochloa mosambicensis,19.1
A,4,Z4,Q2,Cymbopogon excavatus,19.4
A,4,Z4,Q2,,19.4
A,4,Z4,Q3,Heteropogon contortus,23
A,4,Z4,Q3,Themeda triandra,22.2
A,4,Z4,Q3,Eragrostis superba,21.3
