Site,Plot,Subplot,Quadrat,Spp_name,Rank_dominant_grass,Grazing_value,DPM_Height,Grazing_activity,Quadrat_under_canopy,Dung_presence
A,1,Z1,Q1,Digitaria eriantha,1,High,19,N,N,N
A,1,Z1,Q1,Urochloa mosambicensis,3,Moderate,18.9,NA,NA,NA
A,1,Z1,Q1,Hyperrhenia filipendula,2,Moderate,11.6,NA,NA,NA
A,1,Z1,Q1,NA,NA,NA,11.3,NA,NA,NA
A,1,Z1,Q2,Aristida adscensionis,2,Low,18.7,N,Y,N
A,1,Z1,Q2,Urochloa mosambicensis,NA,Moderate,18.5,NA,NA,NA
A,1,Z1,Q2,Heteropogon contortus,3,Moderate,19.2,NA,NA,NA
A,1,Z1,Q2,Digitaria eriantha,NA,High,19.5,NA,NA,NA
A,1,Z1,Q2,Sporobolus africanus,1,Low,NA,NA,NA,NA
A,1,Z1,Q3,Setaria sphacelata,3,High,19.3,N,N,N
A,1,Z1,Q3,Heteropogon contortus,1,Moderate,18.3,NA,NA,NA
A,1,Z1,Q3,Cymbopogon excavatus,2,Low,18.9,NA,NA,NA
A,1,Z1,Q3,NA,NA,NA,19.6,NA,NA,NA
A,1,Z1,Q4,Aristida adscensionis,2,Low,9.1,N,N,N
A,1,Z1,Q4,Urochloa mosambicensis,NA,Moderate,9,NA,NA,NA
A,1,Z1,Q4,Heteropogon contortus,1,Moderate,9.1,NA,NA,NA
A,1,Z1,Q4,Hyperrhenia filipendula,3,Moderate,8.1,NA,NA,NA
A,1,Z1,Q4,Digitaria eriantha,NA,High,NA,NA,NA,NA
A,1,Z1,Q4,Setaria sphacelata,NA,High,NA,NA,NA,NA
A,1,Z1,Q4,Eragrostis superba,NA,Moderate,NA,NA,NA,NA
A,1,Z1,Q5,Themeda triandra,2,High,14.2,N,N,N
A,1,Z1,Q5,Urochloa mosambicensis,1,Moderate,20,NA,NA,NA
A,1,Z1,Q5,Digitaria eriantha,3,High,19.7,NA,NA,NA
A,1,Z1,Q5,Setaria sphacelata,NA,High,19.6,NA,NA,NA
A,1,Z2,Q1,Digitaria eriantha,1,High,19,N,N,N
A,1,Z2,Q1,Urochloa mosambicensis,3,Moderate,18.9,NA,NA,NA
A,1,Z2,Q1,Hyperrhenia filipendula,2,Moderate,11.6,NA,NA,NA
A,1,Z2,Q1,NA,NA,NA,11.3,NA,NA,NA
A,1,Z2,Q2,Hyperrhenia filipendula,1,Moderate,NA,N,N,N
A,1,Z2,Q2,Setaria sphacelata,2,High,NA,NA,NA,NA
A,1,Z2,Q2,NA,NA,NA,NA,NA,NA,NA
A,1,Z2,Q2,NA,NA,NA,NA,NA,NA,NA
A,1,Z2,Q3,Bothriochloa insculpta,3,Moderate,18.2,N,Y,N
A,1,Z2,Q3,Urochloa mosambicensis,1,Moderate,20.2,NA,NA,NA
A,1,Z2,Q3,Hyperrhenia filipendula,2,Moderate,NA,NA,NA,NA
A,1,Z2,Q3,NA,NA,NA,NA,NA,NA,NA
A,1,Z2,Q4,Urochloa mosambicensis,NA,Moderate,18,N,Y,N
A,1,Z2,Q4,Hyperrhenia filipendula,2,Moderate,19.9,NA,NA,NA
A,1,Z2,Q4,Setaria sphacelata,1,High,19.9,NA,NA,NA
A,1,Z2,Q4,Heteropogon contortus,3,Moderate,21,NA,NA,NA
A,1,Z2,Q4,Eragrostis gummiflua,NA,Low,NA,NA,NA,NA
A,1,Z2,Q5,Hyperrhenia filipendula,2,Moderate,21.1,N,Y,N
