Species_name,scientificName,taxonomicStatus,New.accepted
Digitaria eriantha,Digitaria eriantha,Accepted,FALSE
Urochloa mosambicensis,Urochloa trichopus,Accepted,TRUE
Hyperrhenia filipendula,Hyparrhenia filipendula,Accepted,FALSE
Aristida adscensionis,Aristida adscensionis,Accepted,FALSE
Heteropogon contortus,Heteropogon contortus,Accepted,FALSE
Sporobolus africanus,Sporobolus africanus,Accepted,FALSE
Setaria sphacelata,Setaria sphacelata,Accepted,FALSE
Cymbopogon excavatus,Cymbopogon caesius,Accepted,TRUE
Eragrostis superba,Eragrostis superba,Accepted,FALSE
Themeda triandra,Themeda triandra,Accepted,FALSE
Bothriochloa insculpta,Bothriochloa insculpta,Accepted,FALSE
Eragrostis gummiflua,Eragrostis gummiflua,Accepted,FALSE
Pogonarthria squarrosa,Pogonarthria squarrosa,Accepted,FALSE
Panicum maximum,Megathyrsus maximus,Accepted,TRUE
Aristida diffusa,Aristida diffusa,Accepted,FALSE
Hyparrhenia hirta,Hyparrhenia hirta,Accepted,FALSE
Andropogon eucomus,Andropogon eucomus,Accepted,FALSE
Loudetia simplex,Loudetia simplex,Accepted,FALSE
Cymbopogon plurinodis,Cymbopogon pospischilii,Accepted,TRUE
Setaria pumila,Setaria pumila,Accepted,FALSE
Aristida congesta c,Aristida congesta,Accepted,FALSE
Melinis repens,Melinis repens,Accepted,FALSE
Eragrostis rigidior,Eragrostis cylindriflora,Accepted,TRUE
Cynodon dactylon,Cynodon dactylon,Accepted,FALSE
Setaria incrassata,Setaria incrassata,Accepted,FALSE
Brachiaria serrata,Urochloa serrata,Accepted,TRUE
Aristida  canescens,Aristida nemorivaga,Accepted,TRUE
Aristida congesta b,Aristida congesta,Accepted,FALSE
Brachiaria brizantha,Urochloa brizantha,Accepted,TRUE
Eragrostis viscosa,Eragrostis viscosa,Accepted,FALSE
Chloris virgata,Chloris virgata,Accepted,FALSE
Perotis patens,Perotis patens,Accepted,FALSE
Diheteropogon amplectens,Diheteropogon amplectens,Accepted,FALSE
Brachiaria nigropedata,Urochloa nigropedata,Accepted,TRUE
Sporobolus ioclados,Sporobolus ioclados,Accepted,FALSE
Enteropogon macrostachyus,Enteropogon macrostachyus,Accepted,FALSE
Eragrostis cylindriflora,Eragrostis cylindriflora,Accepted,FALSE
Aristida junciformis,Aristida junciformis,Accepted,FALSE
Urochloa panicoides,Urochloa panicoides,Accepted,FALSE
