Species_name,,Species_name,WFO scientificName
Digitaria eriantha,,Digitaria eriantha,Digitaria eriantha
Urochloa mosambicensis,,Urochloa mosambicensis,Urochloa trichopus
Hyparrhenia filipendula,,Hyparrhenia filipendula,Hyparrhenia filipendula
Aristida adscensionis,,Aristida adscensionis,Aristida adscensionis
Heteropogon contortus,,Heteropogon contortus,Heteropogon contortus
Setaria sphacelata,,Setaria sphacelata,Setaria sphacelata
Cymbopogon excavatus,,Cymbopogon excavatus,Cymbopogon caesius
Themeda triandra,,Themeda triandra,Themeda triandra
Bothriochloa insculpta,,Bothriochloa insculpta,Bothriochloa insculpta
Pogonarthria squarrosa,,Pogonarthria squarrosa,Pogonarthria squarrosa
Panicum maximum,,Panicum maximum,Megathyrsus maximus
Hyparrhenia hirta,,Hyparrhenia hirta,Hyparrhenia hirta
Andropogon eucomus,,Andropogon eucomus,Andropogon eucomus
Loudetia simplex,,Loudetia simplex,Loudetia simplex
Eragrostis gummiflua,,Eragrostis gummiflua,Eragrostis gummiflua
Setaria pumila,,Setaria pumila,Setaria pumila
Eragrostis superba,,Eragrostis superba,Eragrostis superba
Aristida diffusa,,Aristida diffusa,Aristida diffusa
Aristida congesta congesta,,Aristida congesta congesta,Aristida congesta
Melinis repens,,Melinis repens,Melinis repens
Eragrostis rigidior,,Eragrostis rigidior,Eragrostis cylindriflora
Cynodon dactylon,,Cynodon dactylon,Cynodon dactylon
Setaria incrassata,,Setaria incrassata,Setaria incrassata
Brachiaria serrata,,Brachiaria serrata,Urochloa serrata
Aristida canescens,,Aristida canescens,Aristida nemorivaga
Aristida congesta barbicollis,,Aristida congesta barbicollis,Aristida congesta
Cymbopogon plurinodis,,Cymbopogon plurinodis,Cymbopogon pospischilii
Sporobolus africanus,,Sporobolus africanus,Sporobolus africanus
Brachiaria brizantha,,Brachiaria brizantha,Urochloa brizantha
Eragrostis viscosa,,Eragrostis viscosa,Eragrostis viscosa
Chloris virgata,,Chloris virgata,Chloris virgata
Perotis patens,,Perotis patens,Perotis patens
Diheteropogon amplectens,,Diheteropogon amplectens,Diheteropogon amplectens
Brachiaria nigropedata,,Brachiaria nigropedata,Urochloa nigropedata
Sporobolus ioclados,,Sporobolus ioclados,Sporobolus ioclados
Enteropogon macrostachyus,,Enteropogon macrostachyus,Enteropogon macrostachyus
Eragrostis cylindriflora,,Eragrostis cylindriflora,Eragrostis cylindriflora
Urochloa panicoides,,Urochloa panicoides,Urochloa panicoides
Eragrostis curvula,,Eragrostis curvula,Eragrostis curvula
Perotis patens,,Perotis patens,Perotis patens
Digitaria velutina,,Digitaria velutina,Digitaria velutina
Hyperthelia dissoluta,,Hyperthelia dissoluta,Hyperthelia dissoluta
Miscanthus junceus,,Miscanthus junceus,Miscanthidium junceum
Sorghum bicolor,,Sorghum bicolor,Sorghum bicolor
Hyperthelia dissoluta,,Hyperthelia dissoluta,Hyperthelia dissoluta
Cymbopogon nardus,,Cymbopogon nardus,Cymbopogon nardus
Tragus berteronianus,,Tragus berteronianus,Tragus berteronianus
Dactyloctenium aegyptium,,Dactyloctenium aegyptium,Dactyloctenium aegyptium
Eragrostis cylindiflora,,Eragrostis cylindiflora,Eragrostis cylindriflora
Aristida congesta barbicollis,,Aristida congesta barbicollis,Aristida congesta
Urochloa oligotricha,,Urochloa oligotricha,Urochloa oligotricha
Dactyloctenium giganteum,,Dactyloctenium giganteum,Dactyloctenium giganteum
Melinis nerviglumis,,Melinis nerviglumis,Melinis nerviglumis
Eragrostis racemosa,,Eragrostis racemosa,Eragrostis racemosa
Aristida congesta congesta,,Aristida congesta congesta,Aristida congesta
