Species_name
Digitaria eriantha
Urochloa mosambicensis
Hyperrhenia filipendula
Aristida adscensionis
Heteropogon contortus
Sporobolus africanus
Setaria sphacelata
Cymbopogon excavatus
Eragrostis superba
Themeda triandra
Bothriochloa insculpta
Eragrostis gummiflua
Pogonarthria squarrosa
Panicum maximum
Aristida diffusa
Hyparrhenia hirta
Andropogon eucomus
Loudetia simplex
Cymbopogon plurinodis
Setaria pumila
Aristida congesta c
Melinis repens
Eragrostis rigidior
Cynodon dactylon
Setaria incrassata
Brachiaria serrata
Aristida  canescens
Aristida congesta b
Brachiaria brizantha
Eragrostis viscosa
Chloris virgata
Perotis patens
Diheteropogon amplectens
Brachiaria nigropedata
Sporobolus ioclados
Enteropogon macrostachyus
Eragrostis cylindriflora
Aristida junciformis
Urochloa panicoides
Dactyloctenium giganteum
Eragrostis curvula
Cymbopogon nardus
Miscanthus junceus
Hyperthelia dissoluta
Digitaria velutina
