Species_name,spec.name,scientificName,taxonomicStatus,New.accepted,scientificNameAuthorship,genus,taxonRank,family,taxonID,references,source
Digitaria eriantha,Digitaria eriantha,Digitaria eriantha,Accepted,FALSE,Steud.,Digitaria,species,Poaceae,wfo-0000863931,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:398792-1,The Poaceae TEN
Urochloa mosambicensis,Urochloa mosambicensis,Urochloa trichopus,Accepted,TRUE,(Hochst.) Stapf,Urochloa,species,Poaceae,wfo-0000906914,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:426289-1,The Poaceae TEN
Hyparrhenia filipendula,Hyparrhenia filipendula,Hyparrhenia filipendula,Accepted,FALSE,(Hochst.) Stapf,Hyparrhenia,species,Poaceae,wfo-0000875247,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:405519-1,The Poaceae TEN
Aristida adscensionis,Aristida adscensionis,Aristida adscensionis,Accepted,FALSE,L.,Aristida,species,Poaceae,wfo-0000848473,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319759-2,The Poaceae TEN
Heteropogon contortus,Heteropogon contortus,Heteropogon contortus,Accepted,FALSE,(L.) P.Beauv. ex Roem. & Schult.,Heteropogon,species,Poaceae,wfo-0000874166,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:404772-1,The Poaceae TEN
Setaria sphacelata,Setaria sphacelata,Setaria sphacelata,Accepted,FALSE,(Schumach.) Stapf & C.E.Hubb. ex Moss,Setaria,species,Poaceae,wfo-0000899566,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:421814-1,The Poaceae TEN
Cymbopogon excavatus,Cymbopogon excavatus,Cymbopogon caesius,Accepted,TRUE,(Hook. & Arn.) Stapf,Cymbopogon,species,Poaceae,wfo-0000860945,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:396888-1,The Poaceae TEN
Themeda triandra,Themeda triandra,Themeda triandra,Accepted,FALSE,Forssk.,Themeda,species,Poaceae,wfo-0000903590,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:424213-1,The Poaceae TEN
Bothriochloa insculpta,Bothriochloa insculpta,Bothriochloa insculpta,Accepted,FALSE,(Hochst. ex A.Rich.) A.Camus,Bothriochloa,species,Poaceae,wfo-0000853792,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:392721-1,The Poaceae TEN
Pogonarthria squarrosa,Pogonarthria squarrosa,Pogonarthria squarrosa,Accepted,FALSE,(Licht.) Pilg.,Pogonarthria,species,Poaceae,wfo-0000894422,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1080583-2,The Poaceae TEN
Panicum maximum,Panicum maximum,Megathyrsus maximus,Accepted,TRUE,(Jacq.) B.K.Simon & S.W.L.Jacobs,Megathyrsus,species,Poaceae,wfo-0000878966,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60426565-2,The Poaceae TEN
Hyparrhenia hirta,Hyparrhenia hirta,Hyparrhenia hirta,Accepted,FALSE,(L.) Stapf,Hyparrhenia,species,Poaceae,wfo-0000875263,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:405537-1,The Poaceae TEN
Andropogon eucomus,Andropogon eucomus,Andropogon eucomus,Accepted,FALSE,Nees,Andropogon,species,Poaceae,wfo-0000846524,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:387840-1,The Poaceae TEN
Loudetia simplex,Loudetia simplex,Loudetia simplex,Accepted,FALSE,(Nees) C.E.Hubb.,Loudetia,species,Poaceae,wfo-0000878679,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:407627-1,The Poaceae TEN
Eragrostis gummiflua,Eragrostis gummiflua,Eragrostis gummiflua,Accepted,FALSE,Nees,Eragrostis,species,Poaceae,wfo-0000867806,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:401130-1,The Poaceae TEN
