species,scientificName,taxonomicStatus,New.accepted,scientificNameAuthorship,genus,taxonRank,family,taxonID,references,source
Albizia gummifera,Albizia gummifera,Accepted,FALSE,(J.F.Gmel.) C.A.Sm.,Albizia,species,Fabaceae,wfo-0000183535,https://www.legumedata.org/taxonomy/taxon/2627355,The Fabaceae TEN - Legume Taxonomy Working Group
Albizia harveyi,Albizia harveyi,Accepted,FALSE,E.Fourn.,Albizia,species,Fabaceae,wfo-0000183848,https://www.legumedata.org/taxonomy/taxon/2627358,The Fabaceae TEN - Legume Taxonomy Working Group
Albizia versicolor,Albizia versicolor,Accepted,FALSE,Welw. ex Oliv.,Albizia,species,Fabaceae,wfo-0000187086,https://www.legumedata.org/taxonomy/taxon/2627582,The Fabaceae TEN - Legume Taxonomy Working Group
Allophylus africanus,Allophylus africanus,Accepted,FALSE,P.Beauv.,Allophylus,species,Sapindaceae,wfo-0000526543,,The Sapindaceae TEN
Annona senegalensis,Annona senegalensis,Accepted,FALSE,Pers.,Annona,species,Annonaceae,wfo-0000537928,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:72309-1,The Annonaceae TEN
Azanza garckeana,Thespesia garckeana,Accepted,TRUE,F.Hoffm.,Thespesia,species,Malvaceae,wfo-0000455942,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:564703-1,The Malvaceae TEN
Balanites maughamii,Balanites maughamii,Accepted,FALSE,Sprague,Balanites,species,Zygophyllaceae,wfo-0000313543,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:873111-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Berchemia zeyheri,Berchemia zeyheri,Accepted,FALSE,(Sond.) Grubov,Berchemia,species,Rhamnaceae,wfo-0000564199,,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Bolusanthus speciosus,Bolusanthus speciosus,Accepted,FALSE,(Bolus) Harms,Bolusanthus,species,Fabaceae,wfo-0000212048,https://www.legumedata.org/taxonomy/taxon/2679003,The Fabaceae TEN - Legume Taxonomy Working Group
Boscia angustifolia,Maerua gilgii,Accepted,TRUE,Schinz,Maerua,species,Capparaceae,wfo-0000375739,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:147702-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Brachystegia spiciformis,Brachystegia spiciformis,Accepted,FALSE,Benth.,Brachystegia,species,Fabaceae,wfo-0000213969,https://www.legumedata.org/taxonomy/taxon/2681474,The Fabaceae TEN - Legume Taxonomy Working Group
Burkea africana,Burkea africana,Accepted,FALSE,Hook.,Burkea,species,Fabaceae,wfo-0000214110,https://www.legumedata.org/taxonomy/taxon/2687338,The Fabaceae TEN - Legume Taxonomy Working Group
Canthium inerme,Canthium inerme,Accepted,FALSE,(L.f.) Kuntze,Canthium,species,Rubiaceae,wfo-0000797971,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:745470-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Carissa bispinosa,Carissa bispinosa,Accepted,FALSE,Desf.,Carissa,species,Apocynaceae,wfo-0000802966,,The Apocynaceae TEN
