Species_name,spec.name,scientificName,taxonomicStatus,New.accepted,scientificNameAuthorship,genus,taxonRank,family,taxonID,references,source
Vachellia karroo,Vachellia karroo,Vachellia karroo,Accepted,FALSE,(Hayne) Banfi & Galasso,Vachellia,species,Fabaceae,wfo-0000510579,https://www.legumedata.org/taxonomy/taxon/2609116,The Fabaceae TEN - Legume Taxonomy Working Group
Fluegga virosa,Fluegga virosa,Flueggea virosa,Accepted,FALSE,(Roxb. ex Willd.) Royle,Flueggea,species,Phyllanthaceae,wfo-0000967255,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1013601-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Peltophorum africanum,Peltophorum africanum,Peltophorum africanum,Accepted,FALSE,Sond.,Peltophorum,species,Fabaceae,wfo-0000194865,https://www.legumedata.org/taxonomy/taxon/2538309,The Fabaceae TEN - Legume Taxonomy Working Group
Combretum hereroense,Combretum hereroense,Combretum hereroense,Accepted,FALSE,Schinz,Combretum,species,Combretaceae,wfo-0000616365,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:170145-1,The Combretaceae TEN
Vachellia nilotica,Vachellia nilotica,Vachellia nilotica,Accepted,FALSE,(L.) P.J.H.Hurter & Mabb.,Vachellia,species,Fabaceae,wfo-0001284776,https://www.legumedata.org/taxonomy/taxon/2609117,The Fabaceae TEN - Legume Taxonomy Working Group
Warburgia salutaris,Warburgia salutaris,Warburgia salutaris,Accepted,FALSE,(G.Bertol.) Chiov.,Warburgia,species,Canellaceae,wfo-0000427579,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:146036-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Berchemia zeyheri,Berchemia zeyheri,Berchemia zeyheri,Accepted,FALSE,(Sond.) Grubov,Berchemia,species,Rhamnaceae,wfo-0000564199,,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Senegalia rehmanniana,Senegalia rehmanniana,Senegalia,Accepted,FALSE,Raf.,Senegalia,genus,Fabaceae,wfo-4000035067,https://www.legumedata.org/taxonomy/taxon/2590638,The Fabaceae TEN - Legume Taxonomy Working Group
Ziziphus mucronata,Ziziphus mucronata,Ziziphus mucronata,Accepted,FALSE,Willd.,Ziziphus,species,Rhamnaceae,wfo-0000430319,,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Gardenia spathulifolia,Gardenia spathulifolia,Gardenia volkensii subsp. spatulifolia,Accepted,TRUE,(Stapf & Hutch.) Verdc.,Gardenia,subspecies,Rubiaceae,wfo-0000971258,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:890353-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Gymnosporia senegalensis,Gymnosporia senegalensis,Gymnosporia senegalensis,Accepted,FALSE,(Lam.) Loes.,Gymnosporia,species,Celastraceae,wfo-0000713049,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161441-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Dichrostachys cinerea,Dichrostachys cinerea,Dichrostachys cinerea,Accepted,FALSE,(L.) Wight & Arn.,Dichrostachys,species,Fabaceae,wfo-0000176871,https://www.legumedata.org/taxonomy/taxon/2766297,The Fabaceae TEN - Legume Taxonomy Working Group
Combretum imberbe,Combretum imberbe,Combretum imberbe,Accepted,FALSE,Wawra,Combretum,species,Combretaceae,wfo-0000616388,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:170163-1,The Combretaceae TEN
Vachellia gerrardii,Vachellia gerrardii,Vachellia gerrardii,Accepted,FALSE,(Benth.) P.J.H.Hurter,Vachellia,species,Fabaceae,wfo-0001284775,https://www.legumedata.org/taxonomy/taxon/2609115,The Fabaceae TEN - Legume Taxonomy Working Group
Piliostigma thonningii,Piliostigma thonningii,Piliostigma thonningii,Accepted,FALSE,(Schumach.) Milne-Redh.,Piliostigma,species,Fabaceae,wfo-0000170413,https://www.legumedata.org/taxonomy/taxon/2539801,The Fabaceae TEN - Legume Taxonomy Working Group
Carissa bispinosa,Carissa bispinosa,Carissa bispinosa,Accepted,FALSE,Desf.,Carissa,species,Apocynaceae,wfo-0000802966,,The Apocynaceae TEN
Bolusanthus speciosus,Bolusanthus speciosus,Bolusanthus speciosus,Accepted,FALSE,(Bolus) Harms,Bolusanthus,species,Fabaceae,wfo-0000212048,https://www.legumedata.org/taxonomy/taxon/2679003,The Fabaceae TEN - Legume Taxonomy Working Group
Diplorhynchus condylocarpon,Diplorhynchus condylocarpon,Diplorhynchus condylocarpon,Accepted,FALSE,(Müll.Arg.) Pichon,Diplorhynchus,species,Apocynaceae,wfo-0000944083,,The Apocynaceae TEN
Rhus lancea,Rhus lancea,Searsia lancea,Accepted,TRUE,(L.f.) F.A.Barkley,Searsia,species,Anacardiaceae,wfo-0000434904,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:71177-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Euclea divinorum,Euclea divinorum,Euclea divinorum,Accepted,FALSE,Hiern,Euclea,species,Ebenaceae,wfo-0000681081,,The Ebenaceae TEN
Diospyros lycioides,Diospyros lycioides,Diospyros lycioides,Accepted,FALSE,Desf.,Diospyros,species,Ebenaceae,wfo-0000649257,,The Ebenaceae TEN
Allophylus africanus,Allophylus africanus,Allophylus africanus,Accepted,FALSE,P.Beauv.,Allophylus,species,Sapindaceae,wfo-0000526543,,The Sapindaceae TEN
Zanthoxylum capense,Zanthoxylum capense,Zanthoxylum capense,Accepted,FALSE,(Thunb.) Harv.,Zanthoxylum,species,Rutaceae,wfo-0001132959,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:775632-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Rhus leptodictya,Rhus leptodictya,Searsia leptodictya,Accepted,TRUE,"(Diels) T.S.Yi, A.J.Mill. & J.Wen",Searsia,species,Anacardiaceae,wfo-0000434886,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77063303-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Combretum apiculatum,Combretum apiculatum,Combretum apiculatum,Accepted,FALSE,Sond.,Combretum,species,Combretaceae,wfo-0000616083,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:169913-1,The Combretaceae TEN
Grewia decomovulata,Grewia decomovulata,Grewia decemovulata,Accepted,FALSE,Merxm.,Grewia,species,Malvaceae,wfo-0000709876,,The Malvaceae TEN
Grewia monticola,Grewia monticola,Grewia monticola,Accepted,FALSE,Sond.,Grewia,species,Malvaceae,wfo-0000710115,,The Malvaceae TEN
Senegalia ataxacantha,Senegalia ataxacantha,Senegalia ataxacantha,Accepted,FALSE,(DC.) Kyal. & Boatwr.,Senegalia,species,Fabaceae,wfo-0001336544,https://www.legumedata.org/taxonomy/taxon/2998828,The Fabaceae TEN - Legume Taxonomy Working Group
Ozoroa insignis,Ozoroa insignis,Ozoroa insignis,Accepted,FALSE,Delile,Ozoroa,species,Anacardiaceae,wfo-0000385517,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:70169-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Elaeodendron papillosum,Elaeodendron papillosum,Elaeodendron papillosum,Accepted,FALSE,Hochst.,Elaeodendron,species,Celastraceae,wfo-0000664999,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:160715-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Lippia javanica,Lippia javanica,Lippia javanica,Accepted,FALSE,(Burm.f.) Spreng.,Lippia,species,Verbenaceae,wfo-0000228924,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:863680-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Dovyalis caffra,Dovyalis caffra,Dovyalis afra,Accepted,FALSE,(Hook.f. & Harv.) Sim,Dovyalis,species,Salicaceae,wfo-0000925143,,The Salicaceae & Lacistemataceae TEN
Combretum zeyheri,Combretum zeyheri,Combretum zeyheri,Accepted,FALSE,Sond.,Combretum,species,Combretaceae,wfo-0000616927,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:170592-1,The Combretaceae TEN
Lantana rugosa,Lantana rugosa,Lantana rugosa,Accepted,FALSE,Thunb.,Lantana,species,Verbenaceae,wfo-0000223367,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:863429-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Terminalia sericea,Terminalia sericea,Terminalia sericea,Accepted,FALSE,Burch. ex DC.,Terminalia,species,Combretaceae,wfo-0000408491,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:171387-1,The Combretaceae TEN
Lannea discolor,Lannea discolor,Lannea discolor,Accepted,FALSE,(Sond.) Engl.,Lannea,species,Anacardiaceae,wfo-0000360303,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:69764-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Rhus longipes,Rhus longipes,Searsia longipes,Accepted,TRUE,(Engl.) Moffett,Searsia,species,Anacardiaceae,wfo-0000510261,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77088456-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Azanza garckeana,Azanza garckeana,Thespesia garckeana,Accepted,TRUE,F.Hoffm.,Thespesia,species,Malvaceae,wfo-0000455942,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:564703-1,The Malvaceae TEN
Albizia harveyi,Albizia harveyi,Albizia harveyi,Accepted,FALSE,E.Fourn.,Albizia,species,Fabaceae,wfo-0000183848,https://www.legumedata.org/taxonomy/taxon/2627358,The Fabaceae TEN - Legume Taxonomy Working Group
Grewia flavescens,Grewia flavescens,Grewia flavescens,Accepted,FALSE,Juss.,Grewia,species,Malvaceae,wfo-0000709930,,The Malvaceae TEN
Dalbergia melanoxylon,Dalbergia melanoxylon,Dalbergia melanoxylon,Accepted,FALSE,Guill. & Perr.,Dalbergia,species,Fabaceae,wfo-0000172325,https://www.legumedata.org/taxonomy/taxon/2755721,The Fabaceae TEN - Legume Taxonomy Working Group
