Species_name
Vachellia karroo
Fluegga virosa
Peltophorum africanum
Combretum hereroense
Vachellia nilotica
Warburgia salutaris
Berchemia zeyheri
Senegalia rehmanniana
Ziziphus mucronata
Gardenia spathulifolia
Gymnosporia senegalensis
Dichrostachys cinerea
Combretum imberbe
Vachellia gerrardii
Piliostigma thonningii
Carissa bispinosa
Bolusanthus speciosus
Diplorhynchus condylocarpon
Rhus lancea
Euclea divinorum
Diospyros lycioides
Allophylus africanus
Zanthoxylum capense
Rhus leptodictya
Combretum apiculatum
Grewia decomovulata
Grewia monticola
Senegalia ataxacantha
Ozoroa insignis
Elaeodendron papillosum
Lippia javanica
Dovyalis caffra
Combretum zeyheri
Lantana rugosa
Terminalia sericea
Lannea discolor
Rhus longipes
Azanza garckeana
Albizia harveyi
Grewia flavescens
Dalbergia melanoxylon
Terminalia prunioides
Ormocarpum trichocarpum
Cassia abbreviata
Commiphora africana
Pterocarpus rotundifolius
Pappea capensis
Sclerocarya birrea
Albizia versicolor
Lannea schweinfurthii
Ximenia caffra
Indigofera ormocarpoides
Nuxia oppositifolia
Canthium inerme
Albizia gummifera
Volkameria eriophylla
Boscia angustifolia
Balanites maughamii
Clerodendrum glabrum
Senegalia nigrescens
Clematopsis scabiossifolia
Cordia monoicaroxb
Annona senegalensis
Colophospermum mopane
Lannea edulis
Combretum molle
Strychnos spinosa
Grewia bicolor
Burkea africana
Carissa edulis
Ochna serrulata
Pouzolzia mixta
Steganotaenia araliacea
Vangueria randii
Carissa spinarum
Kirkia acuminata
Brachystegia spiciformis
Ormocarpum kirkii
Pavetta schumanniana
Tarchonanthus camphoratus
Combretum mossambicense
Dalbergia nitidula
Dombeya rotundifolia
Flacourtia indica
Jacaranda mimosifolia
Philenoptera violacea
Gymnosporia putterlickioides
Pseudolachnostylis maprouneifolia
Viscum combreticola
Vitex payos
Vitex mombasa
Strychnos cocculoides
Boscia foetida
Erythrina abyssinica
Julbernardia globiflora
