spec.name,spec.name.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason
Digitaria eriantha,Digitaria eriantha,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1,1,wfo-0000863931,urn:lsid:ipni.org:names:398793-1,408965,Digitaria eriantha,species,wfo-4000011700,Steud.,Poaceae,,,,Digitaria,,eriantha,,species,Valid,Flora 12: 468 (1829),Accepted,,,NA,"Source in seed data: wcs Updated namepublishedIn from Flora 12: 468 1829 to Flora 12(2): 468. 1829 , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-408965 >The Pl",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:398792-1,The Poaceae TEN,A,kew-408965,,FALSE,,,,
Urochloa mosambicensis,Urochloa mosambicensis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2,1,wfo-0000906914,urn:lsid:ipni.org:names:426289-1,449558,Urochloa trichopus,species,wfo-4000039845,(Hochst.) Stapf,Poaceae,,,,Urochloa,,trichopus,,species,Valid,Fl. Trop. Afr. 9: 589 (1920),Accepted,,wfo-0000886678,NA,"Source in seed data: wcs Updated scientificnameAuthorship from (Hochst.) Stapf to Stapf, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-449558 >The Plant List v.1",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:426289-1,The Poaceae TEN,A,kew-449558,,TRUE,Synonym,wfo-0000906861,Urochloa mosambicensis,
Hyperrhenia filipendula,Hyperrhenia filipendula,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,3,1,wfo-0000875247,urn:lsid:ipni.org:names:405519-1,419757,Hyparrhenia filipendula,species,wfo-4000018737,(Hochst.) Stapf,Poaceae,,,,Hyparrhenia,,filipendula,,species,Valid,Fl. Trop. Afr. 9: 322 (1919),Accepted,,wfo-0000846564,NA,"Source in seed data: wcs Updated scientificnameAuthorship from (Hochst.) Stapf to Stapf, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-419757 >The Plant List v.1",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:405519-1,The Poaceae TEN,A,kew-419757,,FALSE,,,,
Aristida adscensionis,Aristida adscensionis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,4,1,wfo-0000848473,urn:lsid:ipni.org:names:319759-2,394312,Aristida adscensionis,species,wfo-4000003057,L.,Poaceae,,,,Aristida,,adscensionis,,species,Valid,Sp. Pl. : 82 (1753),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 82 1753 to Sp. Pl. : 82 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-394312 >The Plant List",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319759-2,The Poaceae TEN,A,kew-394312,,FALSE,,,,Accepted
Heteropogon contortus,Heteropogon contortus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,5,1,wfo-0000874166,urn:lsid:ipni.org:names:404773-1,418712,Heteropogon contortus,species,wfo-4000017757,(L.) P.Beauv. ex Roem. & Schult.,Poaceae,,,,Heteropogon,,contortus,,species,Valid,"Syst. Veg., ed. 15[bis]. 2: 836 (1817)",Accepted,,wfo-0000846392,NA,"Source in seed data: wcs Updated scientificnameAuthorship from (L.) P.Beauv. ex Roem. & Schult. to Beauv. ex Roem. & Schult., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:404772-1,The Poaceae TEN,A,kew-418712,,FALSE,,,,
Sporobolus africanus,Sporobolus africanus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,6,1,wfo-0000900931,urn:lsid:ipni.org:names:422594-1,444004,Sporobolus africanus,species,wfo-4000036182,(Poir.) Robyns & Tournay,Poaceae,,,,Sporobolus,,africanus,,species,Valid,Bull. Jard. Bot. État Bruxelles 25: 242 (1955),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Bull. Jard. Bot. État 25: 242 1955 to Bull. Jard. Bot. État Bruxelles 25: 242 (1955), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantl",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:422594-1,The Poaceae TEN,A,kew-444004,,FALSE,,,,
Setaria sphacelata,Setaria sphacelata,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,7,1,wfo-0000899566,urn:lsid:ipni.org:names:421814-1,442714,Setaria sphacelata,species,wfo-4000035199,(Schumach.) Stapf & C.E.Hubb. ex Moss,Poaceae,,,,Setaria,,sphacelata,,species,Valid,Bull. Misc. Inform. Kew 1929: 195 (1929),Accepted,,wfo-0000886420,NA,"Source in seed data: wcs Updated scientificnameAuthorship from (Schumach.) Stapf & C.E.Hubb. ex Moss to Stapf & C.E.Hubb. ex M.B.Moss, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.or",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:421814-1,The Poaceae TEN,A,kew-442714,,FALSE,,,,
Cymbopogon excavatus,Cymbopogon excavatus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,8,1,wfo-0000860945,urn:lsid:ipni.org:names:396888-1,406124,Cymbopogon caesius,species,wfo-4000010376,(Hook. & Arn.) Stapf,Poaceae,,,,Cymbopogon,,caesius,,species,Valid,Bull. Misc. Inform. Kew 1906: 341 (1906),Accepted,,wfo-0000846277,NA,"Source in seed data: wcs Update namepublishedIn from Bull. Misc. Inform. Kew 1906(8): 341, 360. to Bull. Misc. Inform. Kew 1906: 341 (1906), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantl",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:396888-1,The Poaceae TEN,A,kew-406124,,TRUE,Synonym,wfo-0000860987,Cymbopogon excavatus,
Eragrostis superba,Eragrostis superba,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,9,1,wfo-0000868497,urn:lsid:ipni.org:names:401614-1,413256,Eragrostis superba,species,wfo-4000013668,Peyr.,Poaceae,,,,Eragrostis,,superba,,species,Valid,"Sitzungsber. Kaiserl. Akad. Wiss., Wien, Math.-Naturwiss. Cl. 38: 584 (1860)",Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Sitzungsber. Kaiserl. Akad. Wiss., Wien, Math.-Naturwiss. Cl. 38: 584 1860 to Sitzungsber. Kaiserl. Akad. Wiss., Wien, Math.-Naturwiss. Cl. 38: 584 (1860), information provided by Alan E. on email Jun.",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:401614-1,The Poaceae TEN,A,kew-413256,,FALSE,,,,
Themeda triandra,Themeda triandra,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,10,1,wfo-0000903590,urn:lsid:ipni.org:names:424214-1,446468,Themeda triandra,species,wfo-4000038151,Forssk.,Poaceae,,,,Themeda,,triandra,,species,Valid,Fl. Aegypt.-Arab. : 178 (1775),Accepted,,,NA,"Source in seed data: wcs Updated namepublishedIn from Fl. Aegypt.-Arab. 178 1775 to Fl. Aegypt.-Arab. 178. 1775 [1 Oct 1775] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:424213-1,The Poaceae TEN,A,kew-446468,,FALSE,,,,
