"spec.name","spec.name.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"Albizia gummifera","Albizia gummifera",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1,1,"wfo-0000183535","urn:lsid:ipni.org:names:473259-1","296","Albizia gummifera","species","wfo-4000001104","(J.F.Gmel.) C.A.Sm.","Fabaceae","Caesalpinioideae","","","Albizia","","gummifera","","species","Valid","Bull. Misc. Inform. Kew 1930: 218 (1930)","Accepted","","wfo-0000196054",NA,"Source in seed data: ildis Update namepublishedIn from Bull. Misc. Inform. Kew 1930(5): 218. [23 Jun 1930] to Bull. Misc. Inform. Kew 1930: 218 (1930), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://ww","https://www.legumedata.org/taxonomy/taxon/2627355","The Fabaceae TEN - Legume Taxonomy Working Group","A","ild-296","",FALSE,"","","",""
"Albizia harveyi","Albizia harveyi",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2,1,"wfo-0000183848","urn:lsid:ipni.org:names:473260-1","299","Albizia harveyi","species","wfo-4000001104","E.Fourn.","Fabaceae","Caesalpinioideae","","","Albizia","","harveyi","","species","Valid","Bull. Soc. Bot. France 12: 399 (1865)","Accepted","","",NA,"Source in seed data: ildis Update namepublishedIn from Bull. Soc. Bot. France 12: 399. 1866 [1865 publ. 1866] to Bull. Soc. Bot. France 12: 399 (1865), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://ww","https://www.legumedata.org/taxonomy/taxon/2627358","The Fabaceae TEN - Legume Taxonomy Working Group","A","ild-299","",FALSE,"","","",""
"Albizia versicolor","Albizia versicolor",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,3,1,"wfo-0000187086","urn:lsid:ipni.org:names:473423-1","336","Albizia versicolor","species","wfo-4000001104","Welw. ex Oliv.","Fabaceae","Caesalpinioideae","","","Albizia","","versicolor","","species","Valid","Fl. Trop. Afr. 2: 359 (1871)","Accepted","","",NA,"Source in seed data: ildis Update namepublishedIn from Fl. Trop. Afr. [Oliver et al.] 2: 359. 1871 to Fl. Trop. Afr. 2: 359 (1871), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/t","https://www.legumedata.org/taxonomy/taxon/2627582","The Fabaceae TEN - Legume Taxonomy Working Group","A","ild-336","",FALSE,"","","",""
"Allophylus africanus","Allophylus africanus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,4,1,"wfo-0000526543","urn:lsid:ipni.org:names:781676-1","761384","Allophylus africanus","species","wfo-4000001292","P.Beauv.","Sapindaceae","Sapindoideae","","","Allophylus","","africanus","","species","Valid","Fl. Oware 2: 54 (1818)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Fl. Oware 2: 54 1818 to Fl. Oware 2: 54 (1818), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2629217 >The P","","The Sapindaceae TEN","A","kew-2629217","",FALSE,"","","",""
"Annona senegalensis","Annona senegalensis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,5,1,"wfo-0000537928","urn:lsid:ipni.org:names:72309-1","773120","Annona senegalensis","species","wfo-4000002240","Pers.","Annonaceae","Annonoideae","Annoneae","Annoninae","Annona","","senegalensis","","species","Valid","Syn. Pl. 2: 95 (1806)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Syn. Pl. [Persoon] 2(1): 95. 1806 [Nov 1806] to Syn. Pl. 2: 95 (1806), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:72309-1","The Annonaceae TEN","A","kew-2641016","",FALSE,"","","",""
"Azanza garckeana","Azanza garckeana",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,6,1,"wfo-0000455942","urn:lsid:ipni.org:names:564703-1","652116","Thespesia garckeana","species","wfo-4000038191","F.Hoffm.","Malvaceae","","","","Thespesia","","garckeana","","species","Valid","Beitr. Fl. Centr.-Ost-Afr. : 12 (1889)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Beitr. Kenntn. Fl. Centr.-Ost-Afr. (1889) 12. to Beitr. Fl. Centr.-Ost-Afr. : 12 (1889), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplant","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:564703-1","The Malvaceae TEN","A","kew-2515873","",TRUE,"Synonym","wfo-0000557987","Azanza garckeana",""
"Balanites maughamii","Balanites maughamii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,7,1,"wfo-0000313543","urn:lsid:ipni.org:names:873111-1","19462","Balanites maughamii","species","wfo-4000003927","Sprague","Zygophyllaceae","","","","Balanites","","maughamii","","species","Valid","Bull. Misc. Inform. Kew 1913: 136 (1913)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Bull. Misc. Inform. Kew 1913: 136 1913 to Bull. Misc. Inform. Kew 1913: 136 (1913), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:873111-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-19462","",FALSE,"","","",""
"Berchemia zeyheri","Berchemia zeyheri",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,8,1,"wfo-0000564199","urn:lsid:ipni.org:names:716733-1","806604","Berchemia zeyheri","species","wfo-4000004459","(Sond.) Grubov","Rhamnaceae","","","","Berchemia","","zeyheri","","species","Valid","Trudy Bot. Inst. Akad. Nauk S.S.S.R., Ser. 1, Fl. Sist. Vyssh. Rast. 8: 374 (1949)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Trudy Bot. Inst. Akad. Nauk S.S.S.R., Ser. 1, Fl. Sist. Vyssh. Rast. 8: 374 (1949). to Trudy Bot. Inst. Akad. Nauk S.S.S.R., Ser. 1, Fl. Sist. Vyssh. Rast. 8: 374 (1949), information provided by Alan E","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2674774","",FALSE,"","","",""
"Bolusanthus speciosus","Bolusanthus speciosus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,9,1,"wfo-0000212048","urn:lsid:ipni.org:names:481946-1","7127","Bolusanthus speciosus","species","wfo-4000004935","(Bolus) Harms","Fabaceae","Papilionoideae","","","Bolusanthus","","speciosus","","species","Valid","Repert. Spec. Nov. Regni Veg. 2: 15 (1906)","Accepted","","wfo-0000203575",NA,"Source in seed data: ildis Update namepublishedIn from Repert. Spec. Nov. Regni Veg. 2: 15. 1906 to Repert. Spec. Nov. Regni Veg. 2: 15 (1906), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thepla","https://www.legumedata.org/taxonomy/taxon/2679003","The Fabaceae TEN - Legume Taxonomy Working Group","A","ild-7127","",FALSE,"","","",""
"Boscia angustifolia","Boscia angustifolia",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,10,2,"wfo-0000375739","urn:lsid:ipni.org:names:147702-1","510383","Maerua gilgii","species","wfo-4000022838","Schinz","Capparaceae","","","","Maerua","","gilgii","","species","Valid","Bull. Herb. Boissier , sér. 2, 3: 668 (1903)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Bull. Herb. Boissier Ser. II. iii. 668. to Bull. Herb. Boissier , sér. 2, 3: 668 (1903), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplan","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:147702-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2371135","",TRUE,"Synonym","wfo-0000569496","Boscia angustifolia","smallest ID"
