Year,Site,Plot,Subplot,Spp_name,Grazing_value,DPM_Height,Biomass,Treatment
2024,A,1,Z1,Digitaria eriantha,High,19,4738,C
2024,A,1,Z1,Urochloa mosambicensis,Moderate,18.9,4721,C
2024,A,1,Z1,Hyperrhenia filipendula,Moderate,11.6,3319,C
2024,A,1,Z1,,,11.3,3253,C
2024,A,1,Z1,Aristida adscensionis,Low,18.7,4686,C
2024,A,1,Z1,Urochloa mosambicensis,Moderate,18.5,4652,C
2024,A,1,Z1,Heteropogon contortus,Moderate,19.2,4772,C
2024,A,1,Z1,Digitaria eriantha,High,19.5,4823,C
2024,A,1,Z1,Sporobolus africanus,Low,0,0,C
2024,A,1,Z1,Setaria sphacelata,High,19.3,4789,C
2024,A,1,Z1,Heteropogon contortus,Moderate,18.3,4617,C
2024,A,1,Z1,Cymbopogon excavatus,Low,18.9,4721,C
2024,A,1,Z1,,,19.6,4840,C
2024,A,1,Z1,Aristida adscensionis,Low,9.1,2741,C
2024,A,1,Z1,Urochloa mosambicensis,Moderate,9,2717,C
2024,A,1,Z1,Heteropogon contortus,Moderate,9.1,2741,C
2024,A,1,Z1,Hyperrhenia filipendula,Moderate,8.1,2489,C
2024,A,1,Z1,Digitaria eriantha,High,0,0,C
2024,A,1,Z1,Setaria sphacelata,High,0,0,C
2024,A,1,Z1,Eragrostis superba,Moderate,0,0,C
2024,A,1,Z1,Themeda triandra ,High,14.2,3858,C
2024,A,1,Z1,Urochloa mosambicensis,Moderate,20,4907,C
2024,A,1,Z1,Digitaria eriantha,High,19.7,4856,C
2024,A,1,Z1,Setaria sphacelata,High,19.6,4840,C
2024,A,1,Z2,Digitaria eriantha,High,19,4738,C
2024,A,1,Z2,Urochloa mosambicensis,Moderate,18.9,4721,C
2024,A,1,Z2,Hyperrhenia filipendula,Moderate,11.6,3319,C
2024,A,1,Z2,,,11.3,3253,C
2024,A,1,Z2,Hyperrhenia filipendula,Moderate,44.6,7041,C
2024,A,1,Z2,Setaria sphacelata,High,39.6,6894,C
2024,A,1,Z2,,,38.2,6833,C
2024,A,1,Z2,,,32.5,6485,C
2024,A,1,Z2,Bothriochloa insculpta,Moderate,18.2,4599,C
2024,A,1,Z2,Urochloa mosambicensis,Moderate,20.2,4940,C
2024,A,1,Z2,Hyperrhenia filipendula,Moderate,26.8,5950,C
2024,A,1,Z2,,,29.9,6266,C
2024,A,1,Z2,Urochloa mosambicensis,Moderate,18,4564,C
2024,A,1,Z2,Hyperrhenia filipendula,Moderate,19.9,4890,C
2024,A,1,Z2,Setaria sphacelata,High,19.9,4890,C
2024,A,1,Z2,Heteropogon contortus,Moderate,21,5072,C
2024,A,1,Z2,Eragrostis gummiflua,Low,0,0,C
2024,A,1,Z2,Hyperrhenia filipendula,Moderate,21.1,5088,C
2024,A,1,Z2,Setaria sphacelata,High,21.1,5088,C
2024,A,1,Z2,,,20.4,4973,C
2024,A,1,Z2,,,20.2,4940,C
2024,A,1,Z3,Setaria sphacelata,High,23.7,5499,C
2024,A,1,Z3,Aristida adscensionis,Low,23,5390,C
2024,A,1,Z3,Digitaria eriantha,High,22.4,5296,C
2024,A,1,Z3,,,21.7,5185,C
2024,A,1,Z3,,,0,0,C
2024,A,1,Z3,,,0,0,C
2024,A,1,Z3,,,0,0,C
2024,A,1,Z3,,,0,0,C
2024,A,1,Z3,Heteropogon contortus,Moderate,28.9,6171,C
2024,A,1,Z3,Digitaria eriantha,High,30.7,6338,C
2024,A,1,Z3,Hyperrhenia filipendula,Moderate,31.7,6422,C
2024,A,1,Z3,,,30.9,6355,C
2024,A,1,Z3,Pogonarthria squarrosa ,Low,16.3,4259,C
2024,A,1,Z3,Cymbopogon excavatus,Low,18.7,4686,C
2024,A,1,Z3,Urochloa mosambicensis,Moderate,18.1,4582,C
2024,A,1,Z3,Hyperrhenia filipendula,Moderate,19.9,4890,C
2024,A,1,Z3,Panicum maximum,High,27.1,5983,C
2024,A,1,Z3,Heteropogon contortus,Moderate,27.8,6059,C
2024,A,1,Z3,,,28.6,6141,C
2024,A,1,Z3,,,30,6275,C
2024,A,1,Z4,Bothriochloa insculpta,Moderate,17.4,4458,C
2024,A,1,Z4,Cymbopogon excavatus,Low,12.9,3595,C
2024,A,1,Z4,Urochloa mosambicensis,Moderate,16.6,4314,C
2024,A,1,Z4,Aristida adscensionis,Low,18.5,4652,C
2024,A,1,Z4,Aristida diffusa,Low,0,0,C
2024,A,1,Z4,Hyperrhenia filipendula,Moderate,21.7,5185,C
2024,A,1,Z4,Urochloa mosambicensis,Moderate,20.8,5039,C
2024,A,1,Z4,Heteropogon contortus,Moderate,13.5,3718,C
2024,A,1,Z4,Digitaria eriantha,High,13.3,3678,C
2024,A,1,Z4,Setaria sphacelata,High,17.6,4494,C
2024,A,1,Z4,Bothriochloa insculpta,Moderate,17.4,4458,C
2024,A,1,Z4,Urochloa mosambicensis,Moderate,15.4,4090,C
2024,A,1,Z4,Hyperrhenia filipendula,Moderate,17.2,4422,C
2024,A,1,Z4,Heteropogon contortus,Moderate,30.6,6329,C
2024,A,1,Z4,Urochloa mosambicensis,Moderate,29.7,6247,C
2024,A,1,Z4,Hyperrhenia filipendula,Moderate,29.4,6219,C
2024,A,1,Z4,,,28.4,6121,C
2024,A,1,Z4,Heteropogon contortus,Moderate,28.1,6090,C
2024,A,1,Z4,Urochloa mosambicensis,Moderate,26.8,5950,C
2024,A,1,Z4,Hyperrhenia hirta,Moderate,26.2,5881,C
2024,A,1,Z4,,,25.1,5711,C
2024,A,2,Z1,Heteropogon contortus,Moderate,21.7,5185,F
2024,A,2,Z1,Andropogon eucomus,Low,18.7,4686,F
2024,A,2,Z1,Bothriochloa insculpta,Moderate,15.9,4184,F
2024,A,2,Z1,,,17.6,4494,F
2024,A,2,Z1,Bothriochloa insculpta,Moderate,23.3,5437,F
2024,A,2,Z1,Aristida adscensionis,Low,18.9,4721,F
2024,A,2,Z1,Cymbopogon excavatus,Low,21.1,5088,F
2024,A,2,Z1,Loudetia simplex,Moderate,22.4,5296,F
2024,A,2,Z1,Cymbopogon plurinodis,Low,0,0,F
2024,A,2,Z1,Bothriochloa insculpta,Moderate,29.3,6210,F
2024,A,2,Z1,Urochloa mosambicensis,Moderate,32.5,6485,F
2024,A,2,Z1,Eragrostis gummiflua,Low,32.4,6477,F
2024,A,2,Z1,,,31.1,6372,F
2024,A,2,Z1,Loudetia simplex,Moderate,14.6,3937,F
2024,A,2,Z1,Bothriochloa insculpta,Moderate,14.2,3858,F
2024,A,2,Z1,Eragrostis gummiflua,Low,15.3,4071,F
2024,A,2,Z1,Hyperrhenia filipendula,Moderate,16.7,4332,F
2024,A,2,Z1,Bothriochloa insculpta,Moderate,20.2,4940,F
2024,A,2,Z1,Hyperrhenia filipendula,Moderate,22.4,5296,F
2024,A,2,Z1,Setaria pumila ,Moderate,23.3,5437,F
2024,A,2,Z1,,,21.5,5153,F
2024,A,2,Z2,Heteropogon contortus,Moderate,17.6,4494,F
2024,A,2,Z2,Bothriochloa insculpta,Moderate,18.6,4669,F
2024,A,2,Z2,Loudetia simplex,Moderate,17.2,4422,F
2024,A,2,Z2,Eragrostis gummiflua,Low,19.4,4806,F
2024,A,2,Z2,Hyperrhenia filipendula,Moderate,0,0,F
2024,A,2,Z2,Hyperrhenia filipendula,Moderate,41.4,6959,F
2024,A,2,Z2,,,41.4,6959,F
2024,A,2,Z2,,,33.5,6558,F
2024,A,2,Z2,,,25.5,5770,F
2024,A,2,Z2,Heteropogon contortus,Moderate,23.3,5437,F
2024,A,2,Z2,Hyperrhenia filipendula,Moderate,18.8,4703,F
2024,A,2,Z2,Urochloa mosambicensis,Moderate,23.7,5499,F
2024,A,2,Z2,,,27.4,6016,F
2024,A,2,Z2,Heteropogon contortus,Moderate,14.1,3838,F
2024,A,2,Z2,Hyperrhenia filipendula,Moderate,20.5,4990,F
2024,A,2,Z2,,,15.5,4109,F
2024,A,2,Z2,,,13.9,3799,F
2024,A,2,Z2,Hyperrhenia filipendula,Moderate,11.8,3363,F
2024,A,2,Z2,Urochloa mosambicensis,Moderate,17.9,4547,F
2024,A,2,Z2,,,23.4,5452,F
2024,A,2,Z2,,,22.1,5249,F
2024,A,2,Z3,Bothriochloa insculpta,Moderate,21.1,5088,F
2024,A,2,Z3,Eragrostis gummiflua,Low,22.1,5249,F
2024,A,2,Z3,Hyperrhenia filipendula,Moderate,23.6,5483,F
2024,A,2,Z3,,,22.3,5280,F
2024,A,2,Z3,Heteropogon contortus,Moderate,13.7,3759,F
2024,A,2,Z3,Bothriochloa insculpta,Moderate,10.5,3073,F
2024,A,2,Z3,,,10.3,3027,F
2024,A,2,Z3,,,10.7,3119,F
2024,A,2,Z3,Bothriochloa insculpta,Moderate,29.3,6210,F
2024,A,2,Z3,Eragrostis gummiflua,Low,32.5,6485,F
2024,A,2,Z3,Urochloa mosambicensis,Moderate,32.4,6477,F
2024,A,2,Z3,,,31.1,6372,F
2024,A,2,Z3,Bothriochloa insculpta,Moderate,23.4,5452,F
2024,A,2,Z3,Urochloa mosambicensis,Moderate,23.8,5514,F
2024,A,2,Z3,Heteropogon contortus,Moderate,22.7,5343,F
2024,A,2,Z3,,,23.7,5499,F
2024,A,2,Z3,Eragrostis gummiflua,Low,10.2,3004,F
2024,A,2,Z3,Bothriochloa insculpta,Moderate,13.9,3799,F
2024,A,2,Z3,Cymbopogon excavatus,Low,11,3187,F
2024,A,2,Z3,Eragrostis superba,Moderate,10.9,3164,F
2024,A,2,Z4,Aristida adscensionis,Low,12.5,3512,F
2024,A,2,Z4,Hyperrhenia filipendula,Moderate,12.3,3470,F
2024,A,2,Z4,Setaria pumila ,Moderate,17,4386,F
2024,A,2,Z4,,,16.3,4259,F
2024,A,2,Z4,Hyperrhenia filipendula,Moderate,17.2,4422,F
2024,A,2,Z4,Urochloa mosambicensis,Moderate,9.6,2863,F
2024,A,2,Z4,,,27.7,6048,F
2024,A,2,Z4,,,34.9,6652,F
2024,A,2,Z4,Heteropogon contortus,Moderate,13.1,3637,F
2024,A,2,Z4,Cymbopogon excavatus,Low,16.9,4368,F
2024,A,2,Z4,Urochloa mosambicensis,Moderate,18.2,4599,F
2024,A,2,Z4,Hyperrhenia filipendula,Moderate,21.2,5104,F
2024,A,2,Z4,Urochloa mosambicensis,Moderate,39.1,6873,F
2024,A,2,Z4,Hyperrhenia filipendula,Moderate,43,7005,F
2024,A,2,Z4,,,34.6,6633,F
2024,A,2,Z4,,,30.8,6346,F
2024,A,2,Z4,Urochloa mosambicensis,Moderate,29,6181,F
2024,A,2,Z4,Hyperrhenia filipendula,Moderate,31.6,6414,F
2024,A,2,Z4,,,32.6,6492,F
2024,A,2,Z4,,,33.3,6544,F
2024,A,3,Z1,Aristida diffusa,Low,38,6824,TFB
2024,A,3,Z1,Aristida congesta C,Low,29.8,6257,TFB
2024,A,3,Z1,Melinis repens,Low,22,5233,TFB
2024,A,3,Z1,Urochloa mosambicensis,Moderate,23.9,5529,TFB
2024,A,3,Z1,Hyperrhenia filipendula,Moderate,11.8,3363,TFB
2024,A,3,Z1,,,17.1,4404,TFB
2024,A,3,Z1,,,15.3,4071,TFB
2024,A,3,Z1,,,15.7,4147,TFB
2024,A,3,Z1,Bothriochloa insculpta,Moderate,15.4,4090,TFB
2024,A,3,Z1,Urochloa mosambicensis,Moderate,16.8,4350,TFB
2024,A,3,Z1,Cymbopogon excavatus,Low,16.7,4332,TFB
2024,A,3,Z1,,,16.7,4332,TFB
2024,A,3,Z1,Hyperrhenia filipendula,Moderate,21.9,5217,TFB
2024,A,3,Z1,Bothriochloa insculpta,Moderate,21.8,5201,TFB
2024,A,3,Z1,Urochloa mosambicensis,Moderate,20.9,5055,TFB
2024,A,3,Z1,,,18.4,4634,TFB
2024,A,3,Z1,Urochloa mosambicensis,Moderate,17.6,4494,TFB
2024,A,3,Z1,Hyperrhenia filipendula,Moderate,15.9,4184,TFB
2024,A,3,Z1,Heteropogon contortus,Moderate,15.3,4071,TFB
2024,A,3,Z1,Aristida adscensionis,Low,15.4,4090,TFB
2024,A,3,Z2,Urochloa mosambicensis,Moderate,31.7,6422,TFB
2024,A,3,Z2,Loudetia simplex,Low,31.7,6422,TFB
2024,A,3,Z2,Bothriochloa insculpta,Moderate,28.7,6151,TFB
2024,A,3,Z2,,,25.3,5741,TFB
2024,A,3,Z2,Bothriochloa insculpta,Moderate,3.6,1108,TFB
2024,A,3,Z2,Cymbopogon excavatus,Low,11.2,3231,TFB
2024,A,3,Z2,Aristida adscensionis,Low,12.5,3512,TFB
2024,A,3,Z2,,,12.7,3554,TFB
2024,A,3,Z2,Bothriochloa insculpta,Moderate,51.3,7093,TFB
2024,A,3,Z2,Hyperrhenia hirta,Moderate,36,6719,TFB
