Site,DPH_Height (cm),Oven-dried mass (g)
A11,39.5,
A12,56.5,
A13,28.9,
A14,60.4,
A21,7.1,
A22,39.3,
A23,72.9,
A24,35.5,
A31,28.8,
A32,53.2,
A33,19.2,
A34,31.9,
A41,67.3,
A41,67.3,
A42,3.7,
A43,40.7,
A43,40.7,
A44,3.4,
A5,9.6,
A51,59.4,
A52,25.5,
A53,15.8,
A54,27.3,
B11,28.5,
B13,16.5,
B14,12.2,
B21,24.6,
B22,14.9,
B23,29.5,
B24,21.5,
B31,9.3,
B32,36.7,
B33,66.3,
B34,49.9,
B41,19.3,
B42,42.7,
B43,13,
B43,13,
B44,58.7,
B51,3.8,
B52,49.2,
B53,13.8,
B54,1.8,
C11,6.6,
C12,21,
C13,8.8,
C14,10.6,
C21,26.7,
C22,48.3,
C23,5,
C23,5,
C24,7,
C24,7,
C31,3.9,
C32,2.7,
C33,18.8,
C34,15.9,
C41,13,
C41,13,
C42,11.5,
C43,26.8,
C44,56.4,
C51,8.1,
C51,8.1,
C52,12.4,
C52,12.4,
C53,25.2,
C54,22.8,
D11,7.8,
D12,2.3,
D13,5,
D14,32.3,
D21,2.3,
D22,3,
D23,11.3,
D24,23.4,
D31,22.1,
D32,32.2,
D33,25.9,
D34,8.9,
D41,13.7,
D42,5.9,
D43,4.2,
D44,42,
D51,17.2,
D52,10.1,
D52,10.1,
D53,12.8,
D54,25.7,
E11,33.9,
E12,9.5,
E13,3.5,
E14,6.9,
E21,18.8,
E22,24.4,
E23,28.5,
E24,9.3,
E31,2.2,
E32,7.2,
E33,5.6,
E34,1.9,
E41,11.6,
E42,1.6,
E42,1.6,
E43,2.9,
E44,5.1,
E51,2.7,
E52,28.4,
E53,2,
E54,9.8,
F11,16,
F12,14,
F13,6.9,
F14,45.9,
F15,8,
F21,2.8,
F22,25,
F23,11.9,
F24,10.1,
F31,16.6,
F32,10,
F33,3.3,
F34,17.7,
F41,8.1,
F42,12.9,
F43,11.6,
F44,21.4,
F51,16.4,
F52,6.3,
F53,9.2,
F54,22.1,
