Year,Site,Plot,Subplot,Species_name,DPM_Height,Fencing,Treatment,Encroachment_level,Biomass
2024,A,1,Z1,Digitaria eriantha,19,Fenced,C,Moderate,3352
2024,A,1,Z1,Urochloa mosambicensis,18.9,Fenced,C,Moderate,3330
2024,A,1,Z1,Hyperrhenia filipendula,11.6,Fenced,C,Moderate,1761
2024,A,1,Z1,NA,11.3,Fenced,C,Moderate,1700
2024,A,1,Z1,Aristida adscensionis,18.7,Fenced,C,Moderate,3285
2024,A,1,Z1,Urochloa mosambicensis,18.5,Fenced,C,Moderate,3241
2024,A,1,Z1,Heteropogon contortus,19.2,Fenced,C,Moderate,3396
2024,A,1,Z1,Digitaria eriantha,19.5,Fenced,C,Moderate,3463
2024,A,1,Z1,Setaria sphacelata,19.3,Fenced,C,Moderate,3419
2024,A,1,Z1,Heteropogon contortus,18.3,Fenced,C,Moderate,3197
2024,A,1,Z1,Cymbopogon excavatus,18.9,Fenced,C,Moderate,3330
2024,A,1,Z1,NA,19.6,Fenced,C,Moderate,3485
2024,A,1,Z1,Aristida adscensionis,9.1,Fenced,C,Moderate,1258
2024,A,1,Z1,Urochloa mosambicensis,9,Fenced,C,Moderate,1238
2024,A,1,Z1,Heteropogon contortus,9.1,Fenced,C,Moderate,1258
2024,A,1,Z1,Hyperrhenia filipendula,8.1,Fenced,C,Moderate,1064
2024,A,1,Z1,Themeda triandra,14.2,Fenced,C,Moderate,2306
2024,A,1,Z1,Urochloa mosambicensis,20,Fenced,C,Moderate,3575
2024,A,1,Z1,Digitaria eriantha,19.7,Fenced,C,Moderate,3508
2024,A,1,Z1,Setaria sphacelata,19.6,Fenced,C,Moderate,3485
2024,A,1,Z2,Digitaria eriantha,19,Fenced,C,Moderate,3352
2024,A,1,Z2,Urochloa mosambicensis,18.9,Fenced,C,Moderate,3330
2024,A,1,Z2,Hyperrhenia filipendula,11.6,Fenced,C,Moderate,1761
2024,A,1,Z2,NA,11.3,Fenced,C,Moderate,1700
2024,A,1,Z2,Hyperrhenia filipendula,44.6,Fenced,C,Moderate,9343
2024,A,1,Z2,Setaria sphacelata,39.6,Fenced,C,Moderate,8139
2024,A,1,Z2,NA,38.2,Fenced,C,Moderate,7804
2024,A,1,Z2,NA,32.5,Fenced,C,Moderate,6452
2024,A,1,Z2,Bothriochloa insculpta,18.2,Fenced,C,Moderate,3175
2024,A,1,Z2,Urochloa mosambicensis,20.2,Fenced,C,Moderate,3619
2024,A,1,Z2,Hyperrhenia filipendula,26.8,Fenced,C,Moderate,5122
2024,A,1,Z2,NA,29.9,Fenced,C,Moderate,5842
2024,A,1,Z2,Urochloa mosambicensis,18,Fenced,C,Moderate,3131
2024,A,1,Z2,Hyperrhenia filipendula,19.9,Fenced,C,Moderate,3552
2024,A,1,Z2,Setaria sphacelata,19.9,Fenced,C,Moderate,3552
2024,A,1,Z2,Heteropogon contortus,21,Fenced,C,Moderate,3799
2024,A,1,Z2,Hyperrhenia filipendula,21.1,Fenced,C,Moderate,3821
2024,A,1,Z2,Setaria sphacelata,21.1,Fenced,C,Moderate,3821
2024,A,1,Z2,NA,20.4,Fenced,C,Moderate,3664
2024,A,1,Z2,NA,20.2,Fenced,C,Moderate,3619
2024,A,1,Z3,Setaria sphacelata,23.7,Unfenced,C,Moderate,4410
2024,A,1,Z3,Aristida adscensionis,23,Unfenced,C,Moderate,4251
2024,A,1,Z3,Digitaria eriantha,22.4,Unfenced,C,Moderate,4115
2024,A,1,Z3,NA,21.7,Unfenced,C,Moderate,3956
2024,A,1,Z3,NA,0,Unfenced,C,Moderate,0
