Date,Site,Plot,Subplot,Quadrat,Species_name,Number,DPM_Height,Fencing,Treatment,
07/04/2025,A,5,Z3,4,Aristida adscensionis,1,9.4,Fenced,THF,
07/04/2025,A,5,Z3,4,Bothriochloa insculpta,22,9.7,Fenced,THF,
07/04/2025,A,5,Z3,4,Eragrostsis gummiflua,1,11.1,Fenced,THF,
07/04/2025,A,5,Z3,4,,,12.1,Fenced,THF,
07/04/2025,A,5,Z3,1,Bothriochloa insculpta,6,17,Fenced,THF,
07/04/2025,A,5,Z3,1,,,2.7,Fenced,THF,
07/04/2025,A,5,Z3,1,,,2.8,Fenced,THF,
07/04/2025,A,5,Z3,1,,,2.8,Fenced,THF,
07/04/2025,A,5,Z3,2,Urochloa mosambicensis,1,26.8,Fenced,THF,
07/04/2025,A,5,Z3,2,Hyperrhenia filipendula,1,19.4,Fenced,THF,
07/04/2025,A,5,Z3,2,Bothriochloa insculpta,11,17.3,Fenced,THF,
07/04/2025,A,5,Z3,2,Eragrostis gummiflua,1,16.8,Fenced,THF,
07/04/2025,A,5,Z3,5,Urochloa mosambicensis,1,7.4,Fenced,THF,
07/04/2025,A,5,Z3,5,Cymbopogon excavatus,1,9.8,Fenced,THF,
07/04/2025,A,5,Z3,5,Bothriochloa insculpta,6,13,Fenced,THF,
07/04/2025,A,5,Z3,3,,,14.3,Fenced,THF,
07/04/2025,A,5,Z3,3,,,,Fenced,THF,
07/04/2025,A,5,Z3,3,,,,Fenced,THF,
07/04/2025,A,5,Z3,3,,,,Fenced,THF,
07/04/2025,A,5,Z1,3,Urochloa mosambicensis,3,22.3,Fenced,THF,
07/04/2025,A,5,Z1,3,Bothriochloa insculpta,10,20.3,Fenced,THF,
07/04/2025,A,5,Z1,3,,,20.6,Fenced,THF,
07/04/2025,A,5,Z1,3,,,19.7,Fenced,THF,
07/04/2025,A,5,Z1,4,Hyperrhenia filipendula,1,18.7,Fenced,THF,
07/04/2025,A,5,Z1,4,Urochloa mosambicensis,1,16.1,Fenced,THF,
07/04/2025,A,5,Z1,4,,,19.2,Fenced,THF,
07/04/2025,A,5,Z1,4,,,14.8,Fenced,THF,
07/04/2025,A,5,Z1,1,Hyperrhenia filipendula,1,16,Fenced,THF,
07/04/2025,A,5,Z1,1,Themeda triandra,2,12,Fenced,THF,
07/04/2025,A,5,Z1,1,Urochloa mosambicensis,2,15,Fenced,THF,
07/04/2025,A,5,Z1,1,Bothriochloa insculpta,4,17.8,Fenced,THF,
07/04/2025,A,5,Z1,5,Hyperrhenia filipendula,4,,Fenced,THF,
07/04/2025,A,5,Z1,5,Urochloa mosambicensis,2,2.8,Fenced,THF,
07/04/2025,A,5,Z1,5,,,6.9,Fenced,THF,
07/04/2025,A,5,Z1,5,,,6.3,Fenced,THF,
07/04/2025,A,5,Z1,5,,,6.4,Fenced,THF,
07/04/2025,A,5,Z1,2,Heteropogon contortus,1,24,Fenced,THF,
07/04/2025,A,5,Z1,2,Urochloa mosambicensis,3,16,Fenced,THF,
07/04/2025,A,5,Z1,2,,,14.7,Fenced,THF,
07/04/2025,A,5,Z1,2,,,14.8,Fenced,THF,
08/04/2025,F,5,Z2,1,Aristida adscensionis,1,6.8,Fenced,THF,
08/04/2025,F,5,Z2,1,Enteropogon macrostachyus,1,3.4,Fenced,THF,
08/04/2025,F,5,Z2,1,Setaria incressata,5,5.7,Fenced,THF,
08/04/2025,F,5,Z2,1,,,7.3,Fenced,THF,
08/04/2025,F,5,Z2,2,Digitaria erianthra,2,8.5,Fenced,THF,
08/04/2025,F,5,Z2,2,Pogonarthria squarrosa ,4,7.3,Fenced,THF,
08/04/2025,F,5,Z2,2,Cynodon dactylon,5,7.2,Fenced,THF,
08/04/2025,F,5,Z2,2,,,7,Fenced,THF,
