Year,Site,Plot,Subplot,Spp_name,Grazing_value,DPM_Height,Treatment
2024,A,1,Z1,Digitaria eriantha,High,19,C
2024,A,1,Z1,Urochloa mosambicensis,Moderate,18.9,C
2024,A,1,Z1,Hyperrhenia filipendula,Moderate,11.6,C
2024,A,1,Z1,,,11.3,C
2024,A,1,Z1,Aristida adscensionis,Low,18.7,C
2024,A,1,Z1,Urochloa mosambicensis,Moderate,18.5,C
2024,A,1,Z1,Heteropogon contortus,Moderate,19.2,C
2024,A,1,Z1,Digitaria eriantha,High,19.5,C
2024,A,1,Z1,Sporobolus africanus,Low,NA,C
2024,A,1,Z1,Setaria sphacelata,High,19.3,C
2024,A,1,Z1,Heteropogon contortus,Moderate,18.3,C
2024,A,1,Z1,Cymbopogon excavatus,Low,18.9,C
2024,A,1,Z1,,,19.6,C
2024,A,1,Z1,Aristida adscensionis,Low,9.1,C
2024,A,1,Z1,Urochloa mosambicensis,Moderate,9,C
2024,A,1,Z1,Heteropogon contortus,Moderate,9.1,C
2024,A,1,Z1,Hyperrhenia filipendula,Moderate,8.1,C
2024,A,1,Z1,Digitaria eriantha,High,NA,C
2024,A,1,Z1,Setaria sphacelata,High,NA,C
2024,A,1,Z1,Eragrostis superba,Moderate,NA,C
2024,A,1,Z1,Themeda triandra ,High,14.2,C
2024,A,1,Z1,Urochloa mosambicensis,Moderate,20,C
2024,A,1,Z1,Digitaria eriantha,High,19.7,C
2024,A,1,Z1,Setaria sphacelata,High,19.6,C
2024,A,1,Z2,Digitaria eriantha,High,19,C
2024,A,1,Z2,Urochloa mosambicensis,Moderate,18.9,C
2024,A,1,Z2,Hyperrhenia filipendula,Moderate,11.6,C
2024,A,1,Z2,,,11.3,C
2024,A,1,Z2,Hyperrhenia filipendula,Moderate,44.6,C
2024,A,1,Z2,Setaria sphacelata,High,39.6,C
2024,A,1,Z2,,,38.2,C
2024,A,1,Z2,,,32.5,C
2024,A,1,Z2,Bothriochloa insculpta,Moderate,18.2,C
2024,A,1,Z2,Urochloa mosambicensis,Moderate,20.2,C
2024,A,1,Z2,Hyperrhenia filipendula,Moderate,26.8,C
2024,A,1,Z2,,,29.9,C
2024,A,1,Z2,Urochloa mosambicensis,Moderate,18,C
2024,A,1,Z2,Hyperrhenia filipendula,Moderate,19.9,C
2024,A,1,Z2,Setaria sphacelata,High,19.9,C
2024,A,1,Z2,Heteropogon contortus,Moderate,21,C
2024,A,1,Z2,Eragrostis gummiflua,Low,NA,C
2024,A,1,Z2,Hyperrhenia filipendula,Moderate,21.1,C
2024,A,1,Z2,Setaria sphacelata,High,21.1,C
2024,A,1,Z2,,,20.4,C
2024,A,1,Z2,,,20.2,C
2024,A,1,Z3,Setaria sphacelata,High,23.7,C
2024,A,1,Z3,Aristida adscensionis,Low,23,C
2024,A,1,Z3,Digitaria eriantha,High,22.4,C
2024,A,1,Z3,,,21.7,C
2024,A,1,Z3,,,0,C
2024,A,1,Z3,,,0,C
2024,A,1,Z3,,,0,C
2024,A,1,Z3,,,0,C
2024,A,1,Z3,Heteropogon contortus,Moderate,28.9,C
2024,A,1,Z3,Digitaria eriantha,High,30.7,C
2024,A,1,Z3,Hyperrhenia filipendula,Moderate,31.7,C
2024,A,1,Z3,,,30.9,C
2024,A,1,Z3,Pogonarthria squarrosa ,Low,16.3,C
2024,A,1,Z3,Cymbopogon excavatus,Low,18.7,C
2024,A,1,Z3,Urochloa mosambicensis,Moderate,18.1,C
2024,A,1,Z3,Hyperrhenia filipendula,Moderate,19.9,C
2024,A,1,Z3,Panicum maximum,High,27.1,C
2024,A,1,Z3,Heteropogon contortus,Moderate,27.8,C
2024,A,1,Z3,,,28.6,C
2024,A,1,Z3,,,30,C
2024,A,1,Z4,Bothriochloa insculpta,Moderate,17.4,C
2024,A,1,Z4,Cymbopogon excavatus,Low,12.9,C
2024,A,1,Z4,Urochloa mosambicensis,Moderate,16.6,C
2024,A,1,Z4,Aristida adscensionis,Low,18.5,C
2024,A,1,Z4,Aristida diffusa,Low,NA,C
2024,A,1,Z4,Hyperrhenia filipendula,Moderate,21.7,C
2024,A,1,Z4,Urochloa mosambicensis,Moderate,20.8,C
2024,A,1,Z4,Heteropogon contortus,Moderate,13.5,C
2024,A,1,Z4,Digitaria eriantha,High,13.3,C
2024,A,1,Z4,Setaria sphacelata,High,17.6,C
2024,A,1,Z4,Bothriochloa insculpta,Moderate,17.4,C
2024,A,1,Z4,Urochloa mosambicensis,Moderate,15.4,C
2024,A,1,Z4,Hyperrhenia filipendula,Moderate,17.2,C
2024,A,1,Z4,Heteropogon contortus,Moderate,30.6,C
2024,A,1,Z4,Urochloa mosambicensis,Moderate,29.7,C
2024,A,1,Z4,Hyperrhenia filipendula,Moderate,29.4,C
2024,A,1,Z4,,,28.4,C
2024,A,1,Z4,Heteropogon contortus,Moderate,28.1,C
2024,A,1,Z4,Urochloa mosambicensis,Moderate,26.8,C
2024,A,1,Z4,Hyperrhenia hirta,Moderate,26.2,C
2024,A,1,Z4,,,25.1,C
2024,A,2,Z1,Heteropogon contortus,Moderate,21.7,F
2024,A,2,Z1,Andropogon eucomus,Low,18.7,F
2024,A,2,Z1,Bothriochloa insculpta,Moderate,15.9,F
2024,A,2,Z1,,,17.6,F
2024,A,2,Z1,Bothriochloa insculpta,Moderate,23.3,F
2024,A,2,Z1,Aristida adscensionis,Low,18.9,F
2024,A,2,Z1,Cymbopogon excavatus,Low,21.1,F
2024,A,2,Z1,Loudetia simplex,Moderate,22.4,F
2024,A,2,Z1,Cymbopogon plurinodis,Low,NA,F
2024,A,2,Z1,Bothriochloa insculpta,Moderate,29.3,F
2024,A,2,Z1,Urochloa mosambicensis,Moderate,32.5,F
2024,A,2,Z1,Eragrostis gummiflua,Low,32.4,F
2024,A,2,Z1,,,31.1,F
2024,A,2,Z1,Loudetia simplex,Moderate,14.6,F
2024,A,2,Z1,Bothriochloa insculpta,Moderate,14.2,F
2024,A,2,Z1,Eragrostis gummiflua,Low,15.3,F
2024,A,2,Z1,Hyperrhenia filipendula,Moderate,16.7,F
2024,A,2,Z1,Bothriochloa insculpta,Moderate,20.2,F
2024,A,2,Z1,Hyperrhenia filipendula,Moderate,22.4,F
2024,A,2,Z1,Setaria pumila ,Moderate,23.3,F
2024,A,2,Z1,,,21.5,F
2024,A,2,Z2,Heteropogon contortus,Moderate,17.6,F
2024,A,2,Z2,Bothriochloa insculpta,Moderate,18.6,F
2024,A,2,Z2,Loudetia simplex,Moderate,17.2,F
2024,A,2,Z2,Eragrostis gummiflua,Low,19.4,F
2024,A,2,Z2,Hyperrhenia filipendula,Moderate,NA,F
2024,A,2,Z2,Hyperrhenia filipendula,Moderate,41.4,F
2024,A,2,Z2,,,41.4,F
2024,A,2,Z2,,,33.5,F
2024,A,2,Z2,,,25.5,F
2024,A,2,Z2,Heteropogon contortus,Moderate,23.3,F
2024,A,2,Z2,Hyperrhenia filipendula,Moderate,18.8,F
2024,A,2,Z2,Urochloa mosambicensis,Moderate,23.7,F
2024,A,2,Z2,,,27.4,F
2024,A,2,Z2,Heteropogon contortus,Moderate,14.1,F
2024,A,2,Z2,Hyperrhenia filipendula,Moderate,20.5,F
2024,A,2,Z2,,,15.5,F
2024,A,2,Z2,,,13.9,F
2024,A,2,Z2,Hyperrhenia filipendula,Moderate,11.8,F
2024,A,2,Z2,Urochloa mosambicensis,Moderate,17.9,F
2024,A,2,Z2,,,23.4,F
2024,A,2,Z2,,,22.1,F
2024,A,2,Z3,Bothriochloa insculpta,Moderate,21.1,F
2024,A,2,Z3,Eragrostis gummiflua,Low,22.1,F
2024,A,2,Z3,Hyperrhenia filipendula,Moderate,23.6,F
2024,A,2,Z3,,,22.3,F
2024,A,2,Z3,Heteropogon contortus,Moderate,13.7,F
2024,A,2,Z3,Bothriochloa insculpta,Moderate,10.5,F
2024,A,2,Z3,,,10.3,F
2024,A,2,Z3,,,10.7,F
2024,A,2,Z3,Bothriochloa insculpta,Moderate,29.3,F
2024,A,2,Z3,Eragrostis gummiflua,Low,32.5,F
2024,A,2,Z3,Urochloa mosambicensis,Moderate,32.4,F
2024,A,2,Z3,,,31.1,F
2024,A,2,Z3,Bothriochloa insculpta,Moderate,23.4,F
2024,A,2,Z3,Urochloa mosambicensis,Moderate,23.8,F
2024,A,2,Z3,Heteropogon contortus,Moderate,22.7,F
2024,A,2,Z3,,,23.7,F
2024,A,2,Z3,Eragrostis gummiflua,Low,10.2,F
2024,A,2,Z3,Bothriochloa insculpta,Moderate,13.9,F
2024,A,2,Z3,Cymbopogon excavatus,Low,11,F
2024,A,2,Z3,Eragrostis superba,Moderate,10.9,F
2024,A,2,Z4,Aristida adscensionis,Low,12.5,F
2024,A,2,Z4,Hyperrhenia filipendula,Moderate,12.3,F
2024,A,2,Z4,Setaria pumila ,Moderate,17,F
2024,A,2,Z4,,,16.3,F
2024,A,2,Z4,Hyperrhenia filipendula,Moderate,17.2,F
2024,A,2,Z4,Urochloa mosambicensis,Moderate,9.6,F
2024,A,2,Z4,,,27.7,F
2024,A,2,Z4,,,34.9,F
2024,A,2,Z4,Heteropogon contortus,Moderate,13.1,F
2024,A,2,Z4,Cymbopogon excavatus,Low,16.9,F
2024,A,2,Z4,Urochloa mosambicensis,Moderate,18.2,F
2024,A,2,Z4,Hyperrhenia filipendula,Moderate,21.2,F
2024,A,2,Z4,Urochloa mosambicensis,Moderate,39.1,F
2024,A,2,Z4,Hyperrhenia filipendula,Moderate,43,F
2024,A,2,Z4,,,34.6,F
2024,A,2,Z4,,,30.8,F
2024,A,2,Z4,Urochloa mosambicensis,Moderate,29,F
2024,A,2,Z4,Hyperrhenia filipendula,Moderate,31.6,F
2024,A,2,Z4,,,32.6,F
2024,A,2,Z4,,,33.3,F
2024,A,3,Z1,Aristida diffusa,Low,38,TFB
2024,A,3,Z1,Aristida congesta C,Low,29.8,TFB
2024,A,3,Z1,Melinis repens,Low,22,TFB
2024,A,3,Z1,Urochloa mosambicensis,Moderate,23.9,TFB
2024,A,3,Z1,Hyperrhenia filipendula,Moderate,11.8,TFB
2024,A,3,Z1,,,17.1,TFB
2024,A,3,Z1,,,15.3,TFB
2024,A,3,Z1,,,15.7,TFB
2024,A,3,Z1,Bothriochloa insculpta,Moderate,15.4,TFB
2024,A,3,Z1,Urochloa mosambicensis,Moderate,16.8,TFB
2024,A,3,Z1,Cymbopogon excavatus,Low,16.7,TFB
2024,A,3,Z1,,,16.7,TFB
2024,A,3,Z1,Hyperrhenia filipendula,Moderate,21.9,TFB
2024,A,3,Z1,Bothriochloa insculpta,Moderate,21.8,TFB
2024,A,3,Z1,Urochloa mosambicensis,Moderate,20.9,TFB
2024,A,3,Z1,,,18.4,TFB
2024,A,3,Z1,Urochloa mosambicensis,Moderate,17.6,TFB
2024,A,3,Z1,Hyperrhenia filipendula,Moderate,15.9,TFB
2024,A,3,Z1,Heteropogon contortus,Moderate,15.3,TFB
2024,A,3,Z1,Aristida adscensionis,Low,15.4,TFB
2024,A,3,Z2,Urochloa mosambicensis,Moderate,31.7,TFB
2024,A,3,Z2,Loudetia simplex,Low,31.7,TFB
2024,A,3,Z2,Bothriochloa insculpta,Moderate,28.7,TFB
2024,A,3,Z2,,,25.3,TFB
2024,A,3,Z2,Bothriochloa insculpta,Moderate,3.6,TFB
2024,A,3,Z2,Cymbopogon excavatus,Low,11.2,TFB
2024,A,3,Z2,Aristida adscensionis,Low,12.5,TFB
2024,A,3,Z2,,,12.7,TFB
2024,A,3,Z2,Bothriochloa insculpta,Moderate,51.3,TFB
2024,A,3,Z2,Hyperrhenia hirta,Moderate,36,TFB
2024,A,3,Z2,,,43.7,TFB
2024,A,3,Z2,,,46.1,TFB
2024,A,3,Z2,Bothriochloa insculpta,Moderate,5.9,TFB
2024,A,3,Z2,Hyperrhenia hirta,Moderate,8.7,TFB
