Year,Site,Plot,Subplot,Species_name,DPM_Height,Fencing,Treatment
2024,A,1,Z1,Digitaria eriantha,19,Fenced,C
2024,A,1,Z1,Urochloa mosambicensis,18.9,Fenced,C
2024,A,1,Z1,Hyperrhenia filipendula,11.6,Fenced,C
2024,A,1,Z1,NA,11.3,Fenced,C
2024,A,1,Z1,Aristida adscensionis,18.7,Fenced,C
2024,A,1,Z1,Urochloa mosambicensis,18.5,Fenced,C
2024,A,1,Z1,Heteropogon contortus,19.2,Fenced,C
2024,A,1,Z1,Digitaria eriantha,19.5,Fenced,C
2024,A,1,Z1,Sporobolus africanus,NA,Fenced,C
2024,A,1,Z1,Setaria sphacelata,19.3,Fenced,C
2024,A,1,Z1,Heteropogon contortus,18.3,Fenced,C
2024,A,1,Z1,Cymbopogon excavatus,18.9,Fenced,C
2024,A,1,Z1,NA,19.6,Fenced,C
2024,A,1,Z1,Aristida adscensionis,9.1,Fenced,C
2024,A,1,Z1,Urochloa mosambicensis,9,Fenced,C
2024,A,1,Z1,Heteropogon contortus,9.1,Fenced,C
2024,A,1,Z1,Hyperrhenia filipendula,8.1,Fenced,C
2024,A,1,Z1,Digitaria eriantha,NA,Fenced,C
2024,A,1,Z1,Setaria sphacelata,NA,Fenced,C
2024,A,1,Z1,Eragrostis superba,NA,Fenced,C
2024,A,1,Z1,Themeda triandra,14.2,Fenced,C
2024,A,1,Z1,Urochloa mosambicensis,20,Fenced,C
2024,A,1,Z1,Digitaria eriantha,19.7,Fenced,C
2024,A,1,Z1,Setaria sphacelata,19.6,Fenced,C
2024,A,1,Z2,Digitaria eriantha,19,Fenced,C
2024,A,1,Z2,Urochloa mosambicensis,18.9,Fenced,C
2024,A,1,Z2,Hyperrhenia filipendula,11.6,Fenced,C
2024,A,1,Z2,NA,11.3,Fenced,C
2024,A,1,Z2,Hyperrhenia filipendula,44.6,Fenced,C
2024,A,1,Z2,Setaria sphacelata,39.6,Fenced,C
2024,A,1,Z2,NA,38.2,Fenced,C
2024,A,1,Z2,NA,32.5,Fenced,C
2024,A,1,Z2,Bothriochloa insculpta,18.2,Fenced,C
2024,A,1,Z2,Urochloa mosambicensis,20.2,Fenced,C
2024,A,1,Z2,Hyperrhenia filipendula,26.8,Fenced,C
2024,A,1,Z2,NA,29.9,Fenced,C
2024,A,1,Z2,Urochloa mosambicensis,18,Fenced,C
2024,A,1,Z2,Hyperrhenia filipendula,19.9,Fenced,C
2024,A,1,Z2,Setaria sphacelata,19.9,Fenced,C
2024,A,1,Z2,Heteropogon contortus,21,Fenced,C
2024,A,1,Z2,Eragrostis gummiflua,NA,Fenced,C
2024,A,1,Z2,Hyperrhenia filipendula,21.1,Fenced,C
2024,A,1,Z2,Setaria sphacelata,21.1,Fenced,C
2024,A,1,Z2,NA,20.4,Fenced,C
2024,A,1,Z2,NA,20.2,Fenced,C
2024,A,1,Z3,Setaria sphacelata,23.7,Unfenced,C
2024,A,1,Z3,Aristida adscensionis,23,Unfenced,C
2024,A,1,Z3,Digitaria eriantha,22.4,Unfenced,C
2024,A,1,Z3,NA,21.7,Unfenced,C
2024,A,1,Z3,NA,0,Unfenced,C
2024,A,1,Z3,NA,0,Unfenced,C
2024,A,1,Z3,NA,0,Unfenced,C
2024,A,1,Z3,NA,0,Unfenced,C
2024,A,1,Z3,Heteropogon contortus,28.9,Unfenced,C
2024,A,1,Z3,Digitaria eriantha,30.7,Unfenced,C
2024,A,1,Z3,Hyperrhenia filipendula,31.7,Unfenced,C
2024,A,1,Z3,NA,30.9,Unfenced,C
2024,A,1,Z3,Pogonarthria squarrosa,16.3,Unfenced,C
2024,A,1,Z3,Cymbopogon excavatus,18.7,Unfenced,C
2024,A,1,Z3,Urochloa mosambicensis,18.1,Unfenced,C
2024,A,1,Z3,Hyperrhenia filipendula,19.9,Unfenced,C
2024,A,1,Z3,Panicum maximum,27.1,Unfenced,C
2024,A,1,Z3,Heteropogon contortus,27.8,Unfenced,C
2024,A,1,Z3,NA,28.6,Unfenced,C
2024,A,1,Z3,NA,30,Unfenced,C
2024,A,1,Z4,Bothriochloa insculpta,17.4,Unfenced,C
2024,A,1,Z4,Cymbopogon excavatus,12.9,Unfenced,C
2024,A,1,Z4,Urochloa mosambicensis,16.6,Unfenced,C
2024,A,1,Z4,Aristida adscensionis,18.5,Unfenced,C
2024,A,1,Z4,Aristida diffusa,NA,Unfenced,C
2024,A,1,Z4,Hyperrhenia filipendula,21.7,Unfenced,C
2024,A,1,Z4,Urochloa mosambicensis,20.8,Unfenced,C
2024,A,1,Z4,Heteropogon contortus,13.5,Unfenced,C
2024,A,1,Z4,Digitaria eriantha,13.3,Unfenced,C
2024,A,1,Z4,Setaria sphacelata,17.6,Unfenced,C
2024,A,1,Z4,Bothriochloa insculpta,17.4,Unfenced,C
2024,A,1,Z4,Urochloa mosambicensis,15.4,Unfenced,C
2024,A,1,Z4,Hyperrhenia filipendula,17.2,Unfenced,C
2024,A,1,Z4,Heteropogon contortus,30.6,Unfenced,C
2024,A,1,Z4,Urochloa mosambicensis,29.7,Unfenced,C
2024,A,1,Z4,Hyperrhenia filipendula,29.4,Unfenced,C
2024,A,1,Z4,NA,28.4,Unfenced,C
2024,A,1,Z4,Heteropogon contortus,28.1,Unfenced,C
2024,A,1,Z4,Urochloa mosambicensis,26.8,Unfenced,C
2024,A,1,Z4,Hyparrhenia hirta,26.2,Unfenced,C
2024,A,1,Z4,NA,25.1,Unfenced,C
2024,A,2,Z1,Heteropogon contortus,21.7,Fenced,F
2024,A,2,Z1,Andropogon eucomus,18.7,Fenced,F
2024,A,2,Z1,Bothriochloa insculpta,15.9,Fenced,F
2024,A,2,Z1,NA,17.6,Fenced,F
2024,A,2,Z1,Bothriochloa insculpta,23.3,Fenced,F
2024,A,2,Z1,Aristida adscensionis,18.9,Fenced,F
2024,A,2,Z1,Cymbopogon excavatus,21.1,Fenced,F
2024,A,2,Z1,Loudetia simplex,22.4,Fenced,F
2024,A,2,Z1,Cymbopogon plurinodis,NA,Fenced,F
2024,A,2,Z1,Bothriochloa insculpta,29.3,Fenced,F
2024,A,2,Z1,Urochloa mosambicensis,32.5,Fenced,F
2024,A,2,Z1,Eragrostis gummiflua,32.4,Fenced,F
2024,A,2,Z1,NA,31.1,Fenced,F
2024,A,2,Z1,Loudetia simplex,14.6,Fenced,F
2024,A,2,Z1,Bothriochloa insculpta,14.2,Fenced,F
2024,A,2,Z1,Eragrostis gummiflua,15.3,Fenced,F
2024,A,2,Z1,Hyperrhenia filipendula,16.7,Fenced,F
