,Year,Site,Plot,Subplot,Spp_name,Grazing_value,DPM_Height,Treatment,Fencing
1,2024,A,1,Z1,Digitaria eriantha,High,19,C,Fenced
2,2024,A,1,Z1,Urochloa mosambicensis,Moderate,18.9,C,Fenced
3,2024,A,1,Z1,Hyperrhenia filipendula,Moderate,11.6,C,Fenced
4,2024,A,1,Z1,NA,NA,11.3,C,Fenced
5,2024,A,1,Z1,Aristida adscensionis,Low,18.7,C,Fenced
6,2024,A,1,Z1,Urochloa mosambicensis,Moderate,18.5,C,Fenced
7,2024,A,1,Z1,Heteropogon contortus,Moderate,19.2,C,Fenced
8,2024,A,1,Z1,Digitaria eriantha,High,19.5,C,Fenced
9,2024,A,1,Z1,Sporobolus africanus,Low,NA,C,Fenced
10,2024,A,1,Z1,Setaria sphacelata,High,19.3,C,Fenced
11,2024,A,1,Z1,Heteropogon contortus,Moderate,18.3,C,Fenced
12,2024,A,1,Z1,Cymbopogon excavatus,Low,18.9,C,Fenced
13,2024,A,1,Z1,NA,NA,19.6,C,Fenced
14,2024,A,1,Z1,Aristida adscensionis,Low,9.1,C,Fenced
15,2024,A,1,Z1,Urochloa mosambicensis,Moderate,9,C,Fenced
16,2024,A,1,Z1,Heteropogon contortus,Moderate,9.1,C,Fenced
17,2024,A,1,Z1,Hyperrhenia filipendula,Moderate,8.1,C,Fenced
18,2024,A,1,Z1,Digitaria eriantha,High,NA,C,Fenced
19,2024,A,1,Z1,Setaria sphacelata,High,NA,C,Fenced
20,2024,A,1,Z1,Eragrostis superba,Moderate,NA,C,Fenced
21,2024,A,1,Z1,Themeda triandra,High,14.2,C,Fenced
22,2024,A,1,Z1,Urochloa mosambicensis,Moderate,20,C,Fenced
23,2024,A,1,Z1,Digitaria eriantha,High,19.7,C,Fenced
24,2024,A,1,Z1,Setaria sphacelata,High,19.6,C,Fenced
25,2024,A,1,Z2,Digitaria eriantha,High,19,C,Fenced
26,2024,A,1,Z2,Urochloa mosambicensis,Moderate,18.9,C,Fenced
27,2024,A,1,Z2,Hyperrhenia filipendula,Moderate,11.6,C,Fenced
28,2024,A,1,Z2,NA,NA,11.3,C,Fenced
29,2024,A,1,Z2,Hyperrhenia filipendula,Moderate,44.6,C,Fenced
30,2024,A,1,Z2,Setaria sphacelata,High,39.6,C,Fenced
31,2024,A,1,Z2,NA,NA,38.2,C,Fenced
32,2024,A,1,Z2,NA,NA,32.5,C,Fenced
33,2024,A,1,Z2,Bothriochloa insculpta,Moderate,18.2,C,Fenced
34,2024,A,1,Z2,Urochloa mosambicensis,Moderate,20.2,C,Fenced
35,2024,A,1,Z2,Hyperrhenia filipendula,Moderate,26.8,C,Fenced
36,2024,A,1,Z2,NA,NA,29.9,C,Fenced
37,2024,A,1,Z2,Urochloa mosambicensis,Moderate,18,C,Fenced
38,2024,A,1,Z2,Hyperrhenia filipendula,Moderate,19.9,C,Fenced
39,2024,A,1,Z2,Setaria sphacelata,High,19.9,C,Fenced
40,2024,A,1,Z2,Heteropogon contortus,Moderate,21,C,Fenced
41,2024,A,1,Z2,Eragrostis gummiflua,Low,NA,C,Fenced
42,2024,A,1,Z2,Hyperrhenia filipendula,Moderate,21.1,C,Fenced
43,2024,A,1,Z2,Setaria sphacelata,High,21.1,C,Fenced
44,2024,A,1,Z2,NA,NA,20.4,C,Fenced
45,2024,A,1,Z2,NA,NA,20.2,C,Fenced
46,2024,A,1,Z3,Setaria sphacelata,High,23.7,C,Unfenced
47,2024,A,1,Z3,Aristida adscensionis,Low,23,C,Unfenced
48,2024,A,1,Z3,Digitaria eriantha,High,22.4,C,Unfenced
49,2024,A,1,Z3,NA,NA,21.7,C,Unfenced
50,2024,A,1,Z3,NA,NA,0,C,Unfenced
51,2024,A,1,Z3,NA,NA,0,C,Unfenced
52,2024,A,1,Z3,NA,NA,0,C,Unfenced
53,2024,A,1,Z3,NA,NA,0,C,Unfenced
54,2024,A,1,Z3,Heteropogon contortus,Moderate,28.9,C,Unfenced
55,2024,A,1,Z3,Digitaria eriantha,High,30.7,C,Unfenced
56,2024,A,1,Z3,Hyperrhenia filipendula,Moderate,31.7,C,Unfenced
57,2024,A,1,Z3,NA,NA,30.9,C,Unfenced
58,2024,A,1,Z3,Pogonarthria squarrosa,Low,16.3,C,Unfenced
59,2024,A,1,Z3,Cymbopogon excavatus,Low,18.7,C,Unfenced
60,2024,A,1,Z3,Urochloa mosambicensis,Moderate,18.1,C,Unfenced
61,2024,A,1,Z3,Hyperrhenia filipendula,Moderate,19.9,C,Unfenced
62,2024,A,1,Z3,Panicum maximum,High,27.1,C,Unfenced
63,2024,A,1,Z3,Heteropogon contortus,Moderate,27.8,C,Unfenced
64,2024,A,1,Z3,NA,NA,28.6,C,Unfenced
65,2024,A,1,Z3,NA,NA,30,C,Unfenced
66,2024,A,1,Z4,Bothriochloa insculpta,Moderate,17.4,C,Unfenced
67,2024,A,1,Z4,Cymbopogon excavatus,Low,12.9,C,Unfenced
68,2024,A,1,Z4,Urochloa mosambicensis,Moderate,16.6,C,Unfenced
69,2024,A,1,Z4,Aristida adscensionis,Low,18.5,C,Unfenced
70,2024,A,1,Z4,Aristida diffusa,Low,NA,C,Unfenced
71,2024,A,1,Z4,Hyperrhenia filipendula,Moderate,21.7,C,Unfenced
72,2024,A,1,Z4,Urochloa mosambicensis,Moderate,20.8,C,Unfenced
