Date,Site,Plot,Subplot,Quadrat,Spp_name,Number,Grazing_value,DPM Height,KgDM,Grazing activity,Quadrat under canopy,Biomass intensity,Dung presence,Longest_grass(m),Fencing,Treatment,
07/04/2025,A,5,Z3,4,Aristida adscensionis,1,,9.4,1816,N,N,7,N,,Fenced,THF,
07/04/2025,A,5,Z3,4,Bothriochloa insculpta,22,,9.7,1858,,,,,,Fenced,THF,
07/04/2025,A,5,Z3,4,Eragrostsis gummiflua,1,,11.1,2054,,,,,,Fenced,THF,
07/04/2025,A,5,Z3,4,,,,12.1,2194,,,,,,Fenced,THF,
07/04/2025,A,5,Z3,1,Bothriochloa insculpta,6,,17,2880,N,Y,3,N,,Fenced,THF,
07/04/2025,A,5,Z3,1,,,,2.7,878,,,,,,Fenced,THF,
07/04/2025,A,5,Z3,1,,,,2.8,892,,,,,,Fenced,THF,
07/04/2025,A,5,Z3,1,,,,2.8,892,,,,,,Fenced,THF,
07/04/2025,A,5,Z3,2,Urochloa mosambicensis,1,,26.8,4252,N,Y,7,N,,Fenced,THF,
07/04/2025,A,5,Z3,2,Hyperrhenia filipendula,1,,19.4,3216,,,,,,Fenced,THF,
07/04/2025,A,5,Z3,2,Bothriochloa insculpta,11,,17.3,2922,,,,,,Fenced,THF,
07/04/2025,A,5,Z3,2,Eragrostis gummiflua,1,,16.8,2852,,,,,,Fenced,THF,
07/04/2025,A,5,Z3,5,Urochloa mosambicensis,1,,7.4,1536,N,N,4,N,,Fenced,THF,
07/04/2025,A,5,Z3,5,Cymbopogon excavatus,1,,9.8,1872,,,,,,Fenced,THF,
07/04/2025,A,5,Z3,5,Bothriochloa insculpta,6,,13,2320,,,,,,Fenced,THF,
07/04/2025,A,5,Z3,3,,,,14.3,2502,,,,,,Fenced,THF,
07/04/2025,A,5,Z3,3,,,,,,,,,,,Fenced,THF,
07/04/2025,A,5,Z3,3,,,,,,,,,,,Fenced,THF,
07/04/2025,A,5,Z3,3,,,,,,,,,,,Fenced,THF,
07/04/2025,A,5,Z1,3,Urochloa mosambicensis,3,,22.3,3622,N,N,7.5,N,,Fenced,THF,
07/04/2025,A,5,Z1,3,Bothriochloa insculpta,10,,20.3,3342,,,,,,Fenced,THF,
07/04/2025,A,5,Z1,3,,,,20.6,3384,,,,,,Fenced,THF,
07/04/2025,A,5,Z1,3,,,,19.7,3258,,,,,,Fenced,THF,
07/04/2025,A,5,Z1,4,Hyperrhenia filipendula,1,,18.7,3118,N,N,3,N,,Fenced,THF,
07/04/2025,A,5,Z1,4,Urochloa mosambicensis,1,,16.1,2754,,,,,,Fenced,THF,
07/04/2025,A,5,Z1,4,,,,19.2,3188,,,,,,Fenced,THF,
07/04/2025,A,5,Z1,4,,,,14.8,2572,,,,,,Fenced,THF,
07/04/2025,A,5,Z1,1,Hyperrhenia filipendula,1,,16,2740,N,N,4,N,,Fenced,THF,
07/04/2025,A,5,Z1,1,Themeda triandra,2,,12,2194,,,,,,Fenced,THF,
07/04/2025,A,5,Z1,1,Urochloa mosambicensis,2,,15,2614,,,,,,Fenced,THF,
07/04/2025,A,5,Z1,1,Bothriochloa insculpta,4,,17.8,2992,,,,,,Fenced,THF,
07/04/2025,A,5,Z1,5,Hyperrhenia filipendula,4,,,,,,,,,Fenced,THF,
07/04/2025,A,5,Z1,5,Urochloa mosambicensis,2,,2.8,892,N,N,2,N,,Fenced,THF,
07/04/2025,A,5,Z1,5,,,,6.9,1466,,,,,,Fenced,THF,
07/04/2025,A,5,Z1,5,,,,6.3,1382,,,,,,Fenced,THF,
07/04/2025,A,5,Z1,5,,,,6.4,1396,,,,,,Fenced,THF,
07/04/2025,A,5,Z1,2,Heteropogon contortus,1,,24,3860,N,N,2.5,N,,Fenced,THF,
07/04/2025,A,5,Z1,2,Urochloa mosambicensis,3,,16,2726,,,,,,Fenced,THF,
07/04/2025,A,5,Z1,2,,,,14.7,2558,,,,,,Fenced,THF,
07/04/2025,A,5,Z1,2,,,,14.8,2572,,,,,,Fenced,THF,
08/04/2025,F,5,Z2,1,Aristida adscensionis,1,,6.8,1452,N,N,3,N,,Fenced,THF,
08/04/2025,F,5,Z2,1,Enteropogon macrostachyus,1,,3.4,976,,,,,,Fenced,THF,
08/04/2025,F,5,Z2,1,Setaria incressata,5,,5.7,1298,,,,,,Fenced,THF,
08/04/2025,F,5,Z2,1,,,,7.3,1522,,,,,,Fenced,THF,
08/04/2025,F,5,Z2,2,Digitaria erianthra,2,,8.5,1690,,,,,,Fenced,THF,
08/04/2025,F,5,Z2,2,Pogonarthria squarrosa ,4,,7.3,1522,,,,,,Fenced,THF,
08/04/2025,F,5,Z2,2,Cynodon dactylon,5,,7.2,`1508,,,,,,Fenced,THF,
08/04/2025,F,5,Z2,2,,,,7,1480,,,,,,Fenced,THF,
08/04/2025,F,5,Z2,3,Digitaria erianthra,8,,6.6,1424,N,Y,3.5,N,,Fenced,THF,
08/04/2025,F,5,Z2,3,Heteropogon contortus,1,,6.9,1466,,,,,,Fenced,THF,
