Dpm,Biomass
9.7,1858
11.1,2054
12.1,2194
17,2880
2.7,878
2.8,892
2.8,892
26.8,4252
19.4,3216
17.3,2922
16.8,2852
7.4,1536
9.8,1872
13,2320
14.3,2502
22.3,3622
20.3,3342
20.6,3384
19.7,3258
18.7,3118
16.1,2754
19.2,3188
14.8,2572
16,2740
12,2194
15,2614
17.8,2992
2.8,892
6.9,1466
6.3,1382
6.4,1396
24,3860
16,2726
14.7,2558
14.8,2572
6.8,1452
3.4,976
5.7,1298
7.3,1522
8.5,1690
7.3,1522
7.2,1509
7,1480
6.6,1424
6.9,1466
6.9,1466
6.7,1438
8.6,1704
7.4,1536
7.9,1606
4.7,1158
7.6,1564
5.8,1312
6.4,1396
7.1,1494
10.5,1970
8.7,1718
8.8,1732
8.9,1746
4.9,1186
4.7,1158
5.2,1228
5.3,1242
7,1480
6.7,1438
6.9,1466
7.2,1508
5.6,1284
5,1200
6.7,1438
7.2,1508
6.9,1466
7,1480
7.1,1494
7.2,1508
8,1606
8.3,1662
8,1606
7.7,1578
6.7,1438
5.6,1284
5.5,1270
5.9,1326
10.5,1970
9.6,1844
9,1760
10.2,1928
9.3,1802
9.4,1016
9,1760
8.4,1676
11.3,2082
17,2880
17.5,2950
17.5,2950
13.1,2334
12.6,2124
12.4,2236
13.9,2446
7,1480
5.7,1296
4.8,1172
4.4,1116
10.3,1942
9.8,1872
9.5,1830
11.2,2068
4.4,1116
4.7,1158
4.8,1172
4.6,1144
5.3,1242
5.3,1242
5.4,1236
6.6,1340
9.8,1872
10.2,1928
8.8,1732
7.8,1592
3.6,1004
3.4,976
4.5,1130
5.1,1214
4.7,1158
4.3,1102
4.1,1074
4.2,1088
6.4,1396
5.6,1284
5.3,1242
5.7,1298
5.4,1256
4.3,1102
8.1,1634
8.5,1690
4.5,1130
4.1,1074
4,1060
3.7,1018
4.7,1158
5.3,1242
5.4,1256
5.4,1256
6,1340
5.1,1214
5,1210
4.9,1186
6,1340
6.1,1354
5.9,1326
6.2,1368
