Year,Dpm,Biomass
2024,19,3015
2024,18.9,3002
2024,11.6,2090
2024,11.3,2052
2024,18.7,2977
2024,18.5,2952
2024,19.2,3040
2024,19.5,3077
2024,19.3,3052
2024,18.3,2927
2024,18.9,3002
2024,19.6,3090
2024,9.1,1777
2024,9,1765
2024,9.1,1777
2024,8.1,1715
2024,14.2,2415
2024,20,3140
2024,19.7,3102
2024,19.6,3090
2024,10.4,1940
2024,11.4,2065
2024,11.5,2077
2024,12.2,2165
2024,44.6,6215
2024,39.6,5590
2024,38.2,5415
2024,32.5,4702
2024,18.2,2915
2024,20.2,3165
2024,26.8,3990
2024,29.9,4277
2024,18,2940
2024,19.9,3090
2024,19.9,3127
2024,21,3265
2024,21.1,3277
2024,21.1,3277
2024,20.4,3190
2024,20.2,3165
2024,23.7,3577
2024,23,3515
2024,22.4,3440
2024,21.7,3352
2024,0,0
2024,28.9,4252
2024,30.7,4477
2024,31.7,4602
2024,30.9,4502
2024,16.3,2677
2024,18.7,2977
2024,18.1,2902
2024,19.9,3170
2024,27.1,4027
2024,27.8,4115
2024,28.6,4215
2024,30,4390
2024,17.4,2815
2024,12.9,2252
2024,16.6,2715
2024,18.5,2952
2024,21.7,3352
2024,20.8,3240
2024,13.5,3077
2024,13.3,3052
2024,17.6,2840
2024,17.4,2790
2024,15.4,2765
2024,17.2,2760
2024,30.6,4465
2024,29.7,4352
2024,29.4,4315
2024,28.4,4190
2024,28.1,4152
2024,26.8,3990
2024,26.2,3915
2024,25.1,3777
2024,21.7,3352
2024,18.7,2977
2024,15.9,2627
2024,17.6,2840
2024,23.3,3552
2024,18.9,3002
2024,21.1,3277
2024,22.4,3440
2024,29.3,4302
2024,32.5,4702
2024,32.4,4690
2024,31.1,4527
2024,14.6,2465
2024,14.2,2416
2024,15.3,2552
2024,16.7,2727
2024,20.2,3165
2024,22.4,3440
2024,23.3,3552
2024,21.5,3327
2024,17.6,2840
2024,18.6,2965
2024,17.2,2790
2024,19.4,3065
2024,41.4,5815
2024,41.4,5815
2024,33.5,4827
2024,25.5,3827
2024,23.3,3427
2024,18.8,2990
2024,23.7,3602
2024,27.4,4052
2024,14.1,2402
2024,20.5,3202
2024,15.5,2577
2024,13.9,2377
2024,11.8,2115
2024,17.9,2877
2024,23.4,3565
2024,22.1,3402
2024,38,5390
2024,29.8,4365
2024,22,3390
2024,23.9,3627
2024,11.8,2115
2024,17.1,2777
2024,15.3,2677
2024,15.7,2602
2024,15.4,2565
2024,16.8,2740
2024,16.7,2727
2024,16.7,2727
2024,21.9,3377
2024,21.8,3365
2024,20.9,3252
2024,18.4,2940
2024,17.6,2840
2024,15.9,2627
2024,15.3,2552
2024,15.4,2565
2024,31.7,5602
2024,31.7,5602
2024,28.7,4227
2024,25.3,3802
2024,3.6,1340
2024,11.2,2040
2024,12.5,2202
2024,12.7,2227
2024,51.3,7052
2024,36,5140
2024,43.7,6102
2024,46.1,6402
2024,5.9,1377
2024,8.7,1727
2024,12.6,2215
2024,12.7,2227
2024,11.8,2115
2024,15.7,2602
2024,18.6,2965
2024,20.6,3215
2024,10.7,1977
2024,16.9,2752
2024,13.6,2340
2024,13.5,2327
2024,31.8,4615
2024,29,4265
2024,26.4,3940
2024,25.9,3877
2024,26.8,3990
2024,19.2,3040
2024,17.8,2865
2024,16.9,2752
2024,6.8,1490
2024,11.5,2077
2024,17.8,2865
2024,14.2,2415
2024,31.7,4527
2024,19.9,3127
2024,18.7,2977
2024,18.5,2952
2024,14.9,2502
2024,17.3,2802
2024,19.4,2690
2024,16.1,2652
2024,8.5,1702
2024,9.7,1852
2024,11.6,2090
2024,10.6,1965
2024,6,1390
2024,10.9,2002
2024,11.4,2065
2024,13.2,2402
2024,42.7,5977
2024,41.3,5802
2024,37.6,5340
2024,36.9,5252
2024,6.4,1440
2024,18,2890
2024,21,3265
2024,23.8,3615
2024,22.4,3440
2024,22.6,3465
2024,25,3765
2024,21,3265
2024,20.5,3202
2024,20.4,3190
2024,20.5,3204
2024,22.5,3452
2024,22.5,3452
2024,22.5,3452
2024,22.5,3452
2024,24.1,3652
2024,32,4640
2024,34.3,4927
2024,32.5,4702
2024,35.6,5090
2024,27.9,4127
2024,33.3,4802
2024,37,5255
2024,20.5,3202
2024,21.7,3352
2024,22,3390
2024,21.4,3315
2024,18.7,2977
2024,19.2,3040
2024,18.9,3002
2024,18.5,2952
2024,20.5,3165
2024,20.7,3227
