Year,Site,Plot,Subplot,Fencing,Encroachment_level,Treatment,Species_name,Max_height(m),No_of_resprouts ,Length_of_ longest_ resprout_(cm),Mode_of_resprouting ,Stem_diameter_(cm),Woody_class,Dead (m),BD,BD_Height,Comment
2024,A,1,Z1,Fenced,Moderate,C,Allophylus africanus,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Allophylus africanus,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Allophylus africanus,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Allophylus africanus,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Allophylus africanus,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Berchemia zeyheri,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Berchemia zeyheri,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Berchemia zeyheri,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Berchemia zeyheri,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Berchemia zeyheri,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Berchemia zeyheri,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Berchemia zeyheri,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Berchemia zeyheri,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Berchemia zeyheri,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Berchemia zeyheri,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Bolusanthus speciosus,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Bolusanthus speciosus,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Bolusanthus speciosus,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Bolusanthus speciosus,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Bolusanthus speciosus,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Bolusanthus speciosus,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Bolusanthus speciosus,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Bolusanthus speciosus,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Bolusanthus speciosus,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Bolusanthus speciosus,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Carissa bispinosa,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Carissa bispinosa,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Carissa bispinosa,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Carissa bispinosa,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Carissa bispinosa,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Carissa bispinosa,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Carissa bispinosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Carissa bispinosa,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum apiculatum,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum hereroense,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum hereroense,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum hereroense,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum hereroense,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum hereroense,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum hereroense,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
