Year,Site,Plot,Subplot,Fenced,Treatment,Species_name,Max_height(m),No_of_resprouts ,Length_of_ longest_ resprout_(cm),Mode_of_resprouting ,Stem_diameter_(cm),Woody_class,Dead (m)
2024,A,1,Z1,Fenced,C,Vachellia karroo,3.2,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1,,,,,,
2024,A,1,Z1,Fenced,C,Peltophorum africanum,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Peltophorum africanum,1.3,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,1.3,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,1.3,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia nilotica,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,1,,,,,,
2024,A,1,Z1,Fenced,C,Berchemia zeyheri,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.4,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.4,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.4,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,0.5,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,0.5,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,3,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,6,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,0.5,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,0.5,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,0.5,,,,,,
2024,A,1,Z1,Fenced,C,Gardenia spathulifolia,0.3,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Gymnosporia senegalensis,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Gymnosporia senegalensis,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Gymnosporia senegalensis,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,0.3,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,0.3,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,0.3,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,0.3,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,0.3,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1.1,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1.1,,,,,,
2024,A,1,Z1,Fenced,C,Combretum imberbe,2.5,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,1.6,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1,,,,,,
2024,A,1,Z1,Fenced,C,Berchemia zeyheri,2,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,0.3,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,3.1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,1.3,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,0.5,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,0.5,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,0.5,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,0.5,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,3,,,,,,
2024,A,1,Z1,Fenced,C,Piliostigma thonningii,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,3,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,3,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,2,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,2,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,2,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Carissa bispinosa,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Combretum imberbe,1.4,,,,,,
2024,A,1,Z1,Fenced,C,Combretum imberbe,1.4,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Combretum imberbe,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Combretum imberbe,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Combretum imberbe,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Combretum imberbe,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Combretum imberbe,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Combretum imberbe,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Combretum imberbe,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,1.3,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.9,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.9,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.9,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.9,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.9,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.9,,,,,,
2024,A,1,Z1,Fenced,C,Gardenia spathulifolia,0.4,,,,,,
2024,A,1,Z1,Fenced,C,Piliostigma thonningii,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1.2,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,1.6,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,3,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,3,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,3,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,3,,,,,,
2024,A,1,Z1,Fenced,C,Bolusanthus speciosus,2,,,,,,
2024,A,1,Z1,Fenced,C,Diplorhynchus condylocarpon,1.8,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,1.3,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1.1,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1.1,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,3,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,1.1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,1.7,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,1.3,,,,,,
2024,A,1,Z1,Fenced,C,Gardenia spathulifolia,0.4,,,,,,
2024,A,1,Z1,Fenced,C,Gardenia spathulifolia,0.4,,,,,,
2024,A,1,Z1,Fenced,C,Rhus lancea,3.5,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1.2,,,,,,
2024,A,1,Z1,Fenced,C,Bolusanthus speciosus,2,,,,,,
2024,A,1,Z1,Fenced,C,Bolusanthus speciosus,2,,,,,,
2024,A,1,Z1,Fenced,C,Bolusanthus speciosus,2,,,,,,
2024,A,1,Z1,Fenced,C,Bolusanthus speciosus,2,,,,,,
