Year,Site,Plot,Subplot,Species_name,Number,DPM_Height,Fencing,Treatment,
2024,A,1,Z1,Digitaria eriantha,3,19,Fenced,C,
2024,A,1,Z1,Urochloa trichopus,1,18.9,Fenced,C,
2024,A,1,Z1,Hyparrhenia filipendula,2,11.6,Fenced,C,
2024,A,1,Z1,NA,NA,11.3,Fenced,C,
2024,A,1,Z1,Aristida adscensionis,1,18.7,Fenced,C,
2024,A,1,Z1,Urochloa trichopus,1,18.5,Fenced,C,
2024,A,1,Z1,Heteropogon contortus,1,19.2,Fenced,C,
2024,A,1,Z1,Digitaria eriantha,1,19.5,Fenced,C,
2024,A,1,Z1,Sporobolus africanus,4,NA,Fenced,C,
2024,A,1,Z1,Setaria sphacelata,2,19.3,Fenced,C,
2024,A,1,Z1,Heteropogon contortus,4,18.3,Fenced,C,
2024,A,1,Z1,Cymbopogon caesius,2,18.9,Fenced,C,
2024,A,1,Z1,NA,NA,19.6,Fenced,C,
2024,A,1,Z1,Aristida adscensionis,3,9.1,Fenced,C,
2024,A,1,Z1,Urochloa trichopus,1,9,Fenced,C,
2024,A,1,Z1,Heteropogon contortus,4,9.1,Fenced,C,
2024,A,1,Z1,Hyparrhenia filipendula,1,8.1,Fenced,C,
2024,A,1,Z1,Digitaria eriantha,1,NA,Fenced,C,
2024,A,1,Z1,Setaria sphacelata,1,NA,Fenced,C,
2024,A,1,Z1,Eragrostis superba,1,NA,Fenced,C,
2024,A,1,Z1,Themeda triandra,2,14.2,Fenced,C,
2024,A,1,Z1,Urochloa trichopus,4,20,Fenced,C,
2024,A,1,Z1,Digitaria eriantha,2,19.7,Fenced,C,
2024,A,1,Z1,Setaria sphacelata,1,19.6,Fenced,C,
2024,A,1,Z2,Digitaria eriantha,2,19,Fenced,C,
2024,A,1,Z2,Urochloa trichopus,1,18.9,Fenced,C,
2024,A,1,Z2,Hyparrhenia filipendula,4,11.6,Fenced,C,
2024,A,1,Z2,NA,NA,11.3,Fenced,C,
2024,A,1,Z2,Hyparrhenia filipendula,5,44.6,Fenced,C,
2024,A,1,Z2,Setaria sphacelata,1,39.6,Fenced,C,
2024,A,1,Z2,NA,NA,38.2,Fenced,C,
2024,A,1,Z2,NA,NA,32.5,Fenced,C,
2024,A,1,Z2,Bothriochloa insculpta,1,18.2,Fenced,C,
2024,A,1,Z2,Urochloa trichopus,6,20.2,Fenced,C,
2024,A,1,Z2,Hyparrhenia filipendula,3,26.8,Fenced,C,
2024,A,1,Z2,NA,NA,29.9,Fenced,C,
2024,A,1,Z2,Urochloa trichopus,2,18,Fenced,C,
2024,A,1,Z2,Hyparrhenia filipendula,3,19.9,Fenced,C,
2024,A,1,Z2,Setaria sphacelata,5,19.9,Fenced,C,
2024,A,1,Z2,Heteropogon contortus,2,21,Fenced,C,
2024,A,1,Z2,Eragrostis gummiflua,1,NA,Fenced,C,
2024,A,1,Z2,Hyparrhenia filipendula,4,21.1,Fenced,C,
2024,A,1,Z2,Setaria sphacelata,3,21.1,Fenced,C,
2024,A,1,Z2,NA,NA,20.4,Fenced,C,
2024,A,1,Z2,NA,NA,20.2,Fenced,C,
2024,A,1,Z3,Setaria sphacelata,2,23.7,Unfenced,C,
2024,A,1,Z3,Aristida adscensionis,3,23,Unfenced,C,
2024,A,1,Z3,Digitaria eriantha,6,22.4,Unfenced,C,
2024,A,1,Z3,NA,NA,21.7,Unfenced,C,
2024,A,1,Z3,NA,NA,0,Unfenced,C,
2024,A,1,Z3,NA,NA,0,Unfenced,C,
2024,A,1,Z3,NA,NA,0,Unfenced,C,
2024,A,1,Z3,NA,NA,0,Unfenced,C,
2024,A,1,Z3,Heteropogon contortus,1,28.9,Unfenced,C,
2024,A,1,Z3,Digitaria eriantha,3,30.7,Unfenced,C,
2024,A,1,Z3,Hyparrhenia filipendula,3,31.7,Unfenced,C,
2024,A,1,Z3,NA,NA,30.9,Unfenced,C,
2024,A,1,Z3,Pogonarthria squarrosa,1,16.3,Unfenced,C,
2024,A,1,Z3,Cymbopogon caesius,2,18.7,Unfenced,C,
2024,A,1,Z3,Urochloa trichopus,7,18.1,Unfenced,C,
2024,A,1,Z3,Hyparrhenia filipendula,1,19.9,Unfenced,C,
2024,A,1,Z3,Megathyrsus maximus,4,27.1,Unfenced,C,
2024,A,1,Z3,Heteropogon contortus,3,27.8,Unfenced,C,
2024,A,1,Z3,NA,NA,28.6,Unfenced,C,
2024,A,1,Z3,NA,NA,30,Unfenced,C,
2024,A,1,Z4,Bothriochloa insculpta,4,17.4,Unfenced,C,
2024,A,1,Z4,Cymbopogon caesius,1,12.9,Unfenced,C,
2024,A,1,Z4,Urochloa trichopus,5,16.6,Unfenced,C,
2024,A,1,Z4,Aristida adscensionis,4,18.5,Unfenced,C,
2024,A,1,Z4,Aristida diffusa,2,NA,Unfenced,C,
