 ID,Transect point,Grasses,Shrubs,Trees
A2Z1,1,5,N,N
A2Z1,2,15,N,N
A2Z1,3,20,N,N
A2Z1,4,10,N,N
A2Z1,5,10,N,N
A2Z1,6,10,N,N
A2Z1,7,5,5,N
A2Z1,8,10,N,N
A2Z1,9,0,N,N
A2Z1,10,15,N,N
A2Z1,11,10,N,N
A2Z1,12,10,N,N
,,,,
A2Z2,1,0,N,N
A2Z2,2,10,N,N
A2Z2,3,5,N,N
A2Z2,4,5,N,N
A2Z2,5,20,10,N
A2Z2,6,0,5,N
A2Z2,7,0,N,N
A2Z2,8,0,N,N
A2Z2,9,10,N,N
A2Z2,10,5,N,N
A2Z2,11,0,5,N
A2Z2,12,5,5,N
,,,,
A2Z3,1,15,N,N
A2Z3,2,20,N,N
A2Z3,3,5,N,N
A2Z3,4,25,N,N
A2Z3,5,10,N,N
A2Z3,6,5,N,N
A2Z3,7,5,N,N
A2Z3,8,10,N,N
A2Z3,9,20,N,N
A2Z3,10,5,N,5
A2Z3,11,20,N,N
A2Z3,12,35,N,N
,,,,
A2Z4,1,0,N,N
A2Z4,2,10,N,N
A2Z4,3,5,N,N
A2Z4,4,5,5,N
A2Z4,5,5,N,N
A2Z4,6,5,N,N
A2Z4,7,5,N,N
A2Z4,8,5,N,N
A2Z4,9,15,N,N
A2Z4,10,0,N,N
A2Z4,11,5,N,N
A2Z4,12,0,N,N
,,,,
A3Z1,1,10,60,100
A3Z1,2,10,80,100
A3Z1,3,15,90,95
A3Z1,4,15,85,95
A3Z1,5,20,80,100
A3Z1,6,0,100,100
A3Z1,7,0,95,90
A3Z1,8,10,90,95
A3Z1,9,0,85,90
A3Z1,10,20,90,75
A3Z1,11,5,75,95
A3Z1,12,15,85,100
,,,,
A3Z2,1,10,100,95
A3Z2,2,0,95,85
A3Z2,3,0,60,100
A3Z2,4,10,70,90
A3Z2,5,5,45,95
A3Z2,6,5,70,95
A3Z2,7,5,90,95
A3Z2,8,5,50,80
A3Z2,9,10,85,95
A3Z2,10,5,90,90
A3Z2,11,0,60,80
A3Z2,12,5,85,90
,,,,
A3Z3,1,15,100,N
A3Z3,2,5,100,100
A3Z3,3,10,100,100
A3Z3,4,25,100,N
A3Z3,5,10,95,100
A3Z3,6,10,95,100
A3Z3,7,5,100,100
A3Z3,8,0,100,N
A3Z3,9,5,100,N
A3Z3,10,15,100,N
A3Z3,11,0,100,N
A3Z3,12,20,100,100
,,,,
A3Z4,1,10,85,100
A3Z4,2,0,95,100
A3Z4,3,15,80,95
A3Z4,4,0,100,95
A3Z4,5,0,85,95
A3Z4,6,0,90,95
A3Z4,7,5,90,100
A3Z4,8,5,90,95
A3Z4,9,10,95,90
A3Z4,10,5,80,90
A3Z4,11,5,90,85
A3Z4,12,5,100,100
,,,,
A4Z1,1,5,75,N
A4Z1,2,0,100,100
A4Z1,3,10,70,85
A4Z1,4,5,50,90
A4Z1,5,10,50,100
A4Z1,6,5,70,50
A4Z1,7,0,70,95
A4Z1,8,0,70,95
A4Z1,9,10,90,90
A4Z1,10,5,40,90
A4Z1,11,5,80,95
A4Z1,12,5,75,90
,,,,
A4Z2,1,20,100,100
A4Z2,2,5,100,100
A4Z2,3,5,100,100
A4Z2,4,10,100,N
A4Z2,5,15,100,N
A4Z2,6,10,100,100
A4Z2,7,5,100,100
A4Z2,8,20,100,100
A4Z2,9,5,100,100
A4Z2,10,5,100,N
A4Z2,11,10,100,100
A4Z2,12,10,100,100
,,,,
A4Z3,1,20,80,100
A4Z3,2,30,60,N
A4Z3,3,60,85,100
A4Z3,4,40,90,N
A4Z3,5,25,100,100
A4Z3,6,30,80,100
A4Z3,7,15,85,N
A4Z3,8,50,90,N
A4Z3,9,25,85,N
A4Z3,10,35,80,100
A4Z3,11,20,90,100
A4Z3,12,10,95,100
,,,,
A4Z4,1,20,100,100
A4Z4,2,15,80,95
A4Z4,3,10,95,N
A4Z4,4,25,100,100
A4Z4,5,35,85,95
A4Z4,6,0,90,100
A4Z4,7,10,90,N
A4Z4,8,10,90,N
A4Z4,9,20,95,N
A4Z4,10,10,80,100
A4Z4,11,15,95,100
A4Z4,12,10,85,N
,,,,
A5Z1,1,40,85,100
A5Z1,2,20,80,100
A5Z1,3,15,75,100
A5Z1,4,15,70,95
A5Z1,5,20,80,90
A5Z1,6,15,90,100
A5Z1,7,25,95,95
A5Z1,8,10,65,90
A5Z1,9,20,85,100
A5Z1,10,15,75,75
A5Z1,11,20,90,95
A5Z1,12,20,70,95
,,,,
A5Z2,1,35,95,100
A5Z2,2,10,100,N
A5Z2,3,15,80,100
A5Z2,4,20,100,100
A5Z2,5,10,90,100
A5Z2,6,10,90,N
A5Z2,7,5,95,N
A5Z2,8,10,90,100
A5Z2,9,25,85,N
A5Z2,10,5,80,100
A5Z2,11,15,85,100
A5Z2,12,20,85,N
,,,,
A5Z3,1,60,100,100
A5Z3,2,30,85,N
A5Z3,3,75,85,100
A5Z3,4,50,90,100
A5Z3,5,25,80,100
A5Z3,6,65,80,N
A5Z3,7,80,60,N
A5Z3,8,50,90,100
