SITE,PLOT,SUBPLOT,Transect point,Grasses,Shrubs,Trees
A,2,Z1,1,5,NA,NA
A,2,Z1,2,15,NA,NA
A,2,Z1,3,20,NA,NA
A,2,Z1,4,10,NA,NA
A,2,Z1,5,10,NA,NA
A,2,Z1,6,10,NA,NA
A,2,Z1,7,5,5,NA
A,2,Z1,8,10,NA,NA
A,2,Z1,9,0,NA,NA
A,2,Z1,10,15,NA,NA
A,2,Z1,11,10,NA,NA
A,2,Z1,12,10,NA,NA
A,2,Z2,1,0,NA,NA
A,2,Z2,2,10,NA,NA
A,2,Z2,3,5,NA,NA
A,2,Z2,4,5,NA,NA
A,2,Z2,5,20,10,NA
A,2,Z2,6,0,5,NA
A,2,Z2,7,0,NA,NA
A,2,Z2,8,0,NA,NA
A,2,Z2,9,10,NA,NA
A,2,Z2,10,5,NA,NA
A,2,Z2,11,0,5,NA
A,2,Z2,12,5,5,NA
A,2,Z3,1,15,NA,NA
A,2,Z3,2,20,NA,NA
A,2,Z3,3,5,NA,NA
A,2,Z3,4,25,NA,NA
A,2,Z3,5,10,NA,NA
A,2,Z3,6,5,NA,NA
A,2,Z3,7,5,NA,NA
A,2,Z3,8,10,NA,NA
A,2,Z3,9,20,NA,NA
A,2,Z3,10,5,NA,5
A,2,Z3,11,20,NA,NA
A,2,Z3,12,35,NA,NA
A,2,Z4,1,0,NA,NA
A,2,Z4,2,10,NA,NA
A,2,Z4,3,5,NA,NA
A,2,Z4,4,5,5,NA
A,2,Z4,5,5,NA,NA
A,2,Z4,6,5,NA,NA
A,2,Z4,7,5,NA,NA
A,2,Z4,8,5,NA,NA
A,2,Z4,9,15,NA,NA
A,2,Z4,10,0,NA,NA
A,2,Z4,11,5,NA,NA
A,2,Z4,12,0,NA,NA
A,3,Z1,1,10,60,100
A,3,Z1,2,10,80,100
A,3,Z1,3,15,90,95
A,3,Z1,4,15,85,95
A,3,Z1,5,20,80,100
A,3,Z1,6,0,100,100
A,3,Z1,7,0,95,90
A,3,Z1,8,10,90,95
A,3,Z1,9,0,85,90
A,3,Z1,10,20,90,75
A,3,Z1,11,5,75,95
A,3,Z1,12,15,85,100
A,3,Z2,1,10,100,95
A,3,Z2,2,0,95,85
A,3,Z2,3,0,60,100
A,3,Z2,4,10,70,90
A,3,Z2,5,5,45,95
A,3,Z2,6,5,70,95
A,3,Z2,7,5,90,95
A,3,Z2,8,5,50,80
A,3,Z2,9,10,85,95
A,3,Z2,10,5,90,90
A,3,Z2,11,0,60,80
A,3,Z2,12,5,85,90
A,3,Z3,1,15,100,NA
A,3,Z3,2,5,100,100
A,3,Z3,3,10,100,100
A,3,Z3,4,25,100,NA
A,3,Z3,5,10,95,100
A,3,Z3,6,10,95,100
A,3,Z3,7,5,100,100
A,3,Z3,8,0,100,NA
A,3,Z3,9,5,100,NA
A,3,Z3,10,15,100,NA
A,3,Z3,11,0,100,NA
A,3,Z3,12,20,100,100
A,3,Z4,1,10,85,100
A,3,Z4,2,0,95,100
A,3,Z4,3,15,80,95
A,3,Z4,4,0,100,95
A,3,Z4,5,0,85,95
A,3,Z4,6,0,90,95
A,3,Z4,7,5,90,100
A,3,Z4,8,5,90,95
A,3,Z4,9,10,95,90
A,3,Z4,10,5,80,90
A,3,Z4,11,5,90,85
A,3,Z4,12,5,100,100
A,4,Z1,1,5,75,NA
A,4,Z1,2,0,100,100
A,4,Z1,3,10,70,85
A,4,Z1,4,5,50,90
A,4,Z1,5,10,50,100
A,4,Z1,6,5,70,50
A,4,Z1,7,0,70,95
A,4,Z1,8,0,70,95
A,4,Z1,9,10,90,90
A,4,Z1,10,5,40,90
A,4,Z1,11,5,80,95
A,4,Z1,12,5,75,90
A,4,Z2,1,20,100,100
A,4,Z2,2,5,100,100
A,4,Z2,3,5,100,100
A,4,Z2,4,10,100,NA
A,4,Z2,5,15,100,NA
A,4,Z2,6,10,100,100
A,4,Z2,7,5,100,100
A,4,Z2,8,20,100,100
A,4,Z2,9,5,100,100
A,4,Z2,10,5,100,NA
A,4,Z2,11,10,100,100
A,4,Z2,12,10,100,100
A,4,Z3,1,20,80,100
A,4,Z3,2,30,60,NA
A,4,Z3,3,60,85,100
A,4,Z3,4,40,90,NA
A,4,Z3,5,25,100,100
A,4,Z3,6,30,80,100
A,4,Z3,7,15,85,NA
A,4,Z3,8,50,90,NA
A,4,Z3,9,25,85,NA
A,4,Z3,10,35,80,100
A,4,Z3,11,20,90,100
A,4,Z3,12,10,95,100
A,4,Z4,1,20,100,100
A,4,Z4,2,15,80,95
A,4,Z4,3,10,95,NA
A,4,Z4,4,25,100,100
A,4,Z4,5,35,85,95
A,4,Z4,6,0,90,100
A,4,Z4,7,10,90,NA
A,4,Z4,8,10,90,NA
A,4,Z4,9,20,95,NA
A,4,Z4,10,10,80,100
A,4,Z4,11,15,95,100
A,4,Z4,12,10,85,NA
A,5,Z1,1,40,85,100
A,5,Z1,2,20,80,100
A,5,Z1,3,15,75,100
A,5,Z1,4,15,70,95
A,5,Z1,5,20,80,90
A,5,Z1,6,15,90,100
A,5,Z1,7,25,95,95
A,5,Z1,8,10,65,90
A,5,Z1,9,20,85,100
A,5,Z1,10,15,75,75
A,5,Z1,11,20,90,95
A,5,Z1,12,20,70,95
A,5,Z2,1,35,95,100
A,5,Z2,2,10,100,NA
A,5,Z2,3,15,80,100
A,5,Z2,4,20,100,100
A,5,Z2,5,10,90,100
A,5,Z2,6,10,90,NA
A,5,Z2,7,5,95,NA
A,5,Z2,8,10,90,100
A,5,Z2,9,25,85,NA
A,5,Z2,10,5,80,100
A,5,Z2,11,15,85,100
A,5,Z2,12,20,85,NA
A,5,Z3,1,60,100,100
