Tree_species,Total_subplots_Absent
Dichrostachys cinerea,24
Vachellia nilotica,51
Combretum hereroense,69
Vachellia gerrardii,72
Euclea divinorum,73
Fluegga virosa,76
Ziziphus mucronata,80
Vachellia karroo,92
Warburgia salutaris,93
Bolusanthus speciosus,94
Senegalia ataxacantha,97
Berchemia zeyheri,99
Peltophorum africanum,101
Combretum imberbe,104
Combretum apiculatum,104
Dovyalis caffra,105
Gymnosporia senegalensis,105
Allophylus africanus,112
Diospyros lycioides,114
Rhus lancea,115
Terminalia sericea,116
Combretum zeyheri,116
Grewia monticola,116
Grewia decomovulata,117
Albizia harveyi,117
Senegalia rehmanniana,117
Brachystegia spiciformis,117
Colophospermum mopane,117
Combretum mossambicense,117
Terminalia prunioides,117
Tarchonanthus camphoratus,117
Dombeya rotundifolia,117
Flacourtia indica,117
Combretum molle,117
Azanza garckeana,119
Lannea discolor,119
Viscum combreticola,119
Lannea schweinfurthii,119
Maclura africana,119
Ozoroa insignis,119
Dalbergia melanoxylon,119
Vitex mombasa,119
Vitex mombasa,119
Lippia javanica,119
Albizia versicolor,119
Cassia abbreviata,119
Senegalia nigrescens,119
Pseudolachnostylis maprouneifolia,119
Burkea africana,119
