,Site,Plot,Albizia harveyi,Albizia versicolor,Allophylus africanus,Azanza garckeana,Berchemia zeyheri,Bolusanthus speciosus,Boscia angustifolia,Boscia mossambicensis,Brachystegia spiciformis,Burkea africana,Canthium inerme,Carissa bispinosa,Carissa edulis,Carissa spinarum,Cassia abbreviata,Clerodendrum glabrum,Colophospermum mopane,Combretum apiculatum,Combretum hereroense,Combretum imberbe,Combretum molle,Combretum mossambicense,Combretum zeyheri,Commiphora africana,Dalbergia melanoxylon,Dalbergia nitidula,Dichrostachys cinerea,Diospyros lycioides,Diplorhynchus condylocarpon,Dombeya rotundifolia,Dovyalis caffra,Elaeodendron papillosum,Euclea divinorum,Flacourtia indica,Fluegga virosa,Gardenia spathulifolia,Gardenia volkensii,Grewia bicolor,Grewia decomovulata,Grewia flavescens,Grewia monticola,Gymnosporia buxifolia,Gymnosporia senegalensis,Indigofera ormocarpoides,Kirkia acuminata,Lannea discolor,Lannea schweinfurthii,Lippia javanica,Maclura africana,Nuxia oppositifolia,Ochna serrulata,Ormocarpum trichocarpum,Ozoroa insignis,Pappea capensis,Peltophorum africanum,Philenoptera violacea,Piliostigma thonningii,Pseudolachnostylis maprouneifolia,Pterocarpus rotundifolius,Rhus lancea,Rhus leptodictya,Sclerocarya birrea,Senegalia ataxacantha,Senegalia nigrescens,Senegalia rehmanniana,Steganotaenia araliacea,Tarchonanthus camphoratus,Terminalia prunioides,Terminalia sericea,Vachellia gerrardii,Vachellia karroo,Vachellia nilotica,Vangueria randii,Viscum combreticola,Vitex mombasa,Volkameria eriophylla,Warburgia salutaris,Ximenia caffra,Zanthoxylum capense,Ziziphus mucronata
1,A,1,0,0,13,0,19,29,0,0,0,0,0,20,0,0,0,0,0,1,54,8,0,0,0,0,0,0,64,3,1,0,1,0,30,0,23,0,0,0,5,0,12,0,7,0,0,0,0,0,0,0,0,0,2,0,6,0,1,0,0,1,4,0,0,0,6,0,0,0,1,92,25,22,0,0,0,0,28,0,0,57
2,A,2,0,0,0,0,13,32,0,0,0,0,0,10,0,0,0,0,0,2,70,9,0,0,0,0,0,0,11,0,1,0,0,0,2,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,4,0,18,0,0,0,0,0,0,0,27,0,0,0,0,0,0,31,3,1,0,0,0,0,4,0,0,21
3,A,3,0,0,6,0,5,43,0,0,0,0,0,8,0,0,1,0,0,81,130,7,0,0,0,2,0,0,28,1,0,0,0,5,2,0,9,1,0,0,1,0,5,0,11,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,28,0,99,0,0,0,0,4,0,0,18
4,A,4,0,1,8,0,1,26,0,0,0,0,0,12,0,0,0,0,0,106,77,0,0,0,0,0,0,0,77,0,4,0,6,0,7,0,8,0,0,0,2,0,11,0,14,0,0,2,0,0,0,0,0,1,2,2,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,39,0,9,0,0,0,0,8,1,0,16
5,A,5,0,0,6,0,2,37,0,0,0,0,0,0,0,0,0,0,0,30,148,6,0,0,0,0,0,0,68,0,2,0,0,0,7,0,10,0,0,0,1,0,6,0,17,1,0,0,0,0,0,0,0,2,0,0,12,0,0,0,13,0,0,0,0,0,1,0,0,0,2,40,2,20,0,0,0,0,5,0,0,27
6,B,1,0,0,25,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,10,0,0,0,0,0,0,0,9,23,0,0,0,0,2,0,37,3,0,0,5,1,0,0,34,0,0,1,0,1,0,1,0,0,0,0,34,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,66,10,0,0,0,5,0,5,1,29
7,B,2,0,0,27,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,48,0,0,0,0,0,0,0,17,32,0,0,0,0,0,0,39,1,0,0,0,0,1,0,54,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0,63,1,0,0,0,0,0,0,0,23
8,B,3,0,0,34,0,1,1,0,0,0,0,0,4,0,0,0,0,0,1,11,1,0,0,0,0,0,0,2,8,0,0,0,0,2,0,8,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,140,4,0,0,0,0,0,0,0,26
9,B,4,0,0,24,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,15,9,0,0,0,0,3,0,33,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119,7,0,0,0,0,0,0,0,48
10,B,5,0,0,81,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,0,3,16,0,0,0,0,2,0,64,0,0,0,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,98,29,0,0,0,0,0,0,0,36
