,Site,Plot,simpson_index,,,,,
1,A,1,0.08,,,,Site,Simpson index
2,A,2,0.13,,,,A,0.13
3,A,3,0.15,,,,B,0.18
4,A,4,0.13,,,,C,0.28
5,A,5,0.15,,,,D,0.14
6,B,1,0.10,,,,E,0.20
7,B,2,0.12,,,,F,0.28
8,B,3,0.30,,,,,
9,B,4,0.23,,,,,
10,B,5,0.17,,,,,
11,C,1,0.32,,,,,
12,C,2,0.31,,,,,
13,C,3,0.31,,,,,
14,C,4,0.21,,,,,
15,C,5,0.27,,,,,
16,D,1,0.15,,,,,
17,D,2,0.17,,,,,
18,D,3,0.13,,,,,
19,D,4,0.13,,,,,
20,D,5,0.14,,,,,
21,E,1,0.23,,,,,
22,E,2,0.20,,,,,
23,E,3,0.18,,,,,
24,E,4,0.21,,,,,
25,E,5,0.20,,,,,
26,F,1,0.09,,,,,
27,F,2,0.19,,,,,
28,F,3,0.46,,,,,
29,F,4,0.43,,,,,
30,F,5,0.25,,,,,
