Site,Spp_name,Max_Height,Stem_count
A,Vachellia Karroo,3.2,3
A,Fluegga Virosa,1,4
A,Peltophorum Africanum,0.8,2
A,Peltophorum Africanum,1.3,1
A,Combretum Hereroense,1.3,1
A,Vachellia Nilotica,1.5,2
A,Warburgia Salutaris,1,5
A,Berchemia Zeyheri,0.7,6
A,Senegalia Rehmanniana,0.4,2
A,Combretum Hereroense,1.5,1
A,Warburgia Salutaris,0.5,2
A,Senegalia Rehmanniana,3,2
A,Senegalia Rehmanniana,6,2
A,Ziziphus Mucronata,0.5,1
A,Gardenia Spathulifolia,0.3,1
A,Combretum Hereroense,1.5,2
A,Gymnosporia Senegalensis,0.8,1
A,Dichrostachys Cinerea,0.3,2
A,Fluegga Virosa,1.1,3
A,Combretum Imberbe,2.5,2
A,Senegalia Rehmanniana,1.6,1
A,Fluegga Virosa,1,8
A,Vachellia Gerrardii,1.5,4
A,Ziziphus Mucronata,1,1
A,Berchemia Zeyheri,2,19
A,Vachellia Karroo,0.3,3
A,Vachellia Karroo,3.1,2
A,Vachellia Karroo,1.3,3
A,Vachellia Gerrardii,1,1
A,Dichrostachys Cinerea,1,4
A,Fluegga Virosa,1,5
A,Senegalia Rehmanniana,0.7,1
A,Dichrostachys Cinerea,0.5,1
A,Ziziphus Mucronata,0.5,2
A,Vachellia Karroo,3,1
A,Piliostigma Thonningii,0.7,1
A,Warburgia Salutaris,1,1
A,Vachellia Gerrardii,3,1
A,Vachellia Gerrardii,2,1
A,Dichrostachys Cinerea,1.5,1
A,Carissa Bispinosa,1.5,1
A,Combretum Imberbe,1.4,2
A,Vachellia Karroo,0.8,1
A,Combretum Imberbe,0.7,1
A,Vachellia Karroo,1.3,1
A,Warburgia Salutaris,0.8,1
A,Senegalia Rehmanniana,0.9,4
A,Gardenia Spathulifolia,0.4,1
A,Piliostigma Thonningii,1.5,2
A,Vachellia Gerrardii,1.2,2
A,Vachellia Karroo,1.6,2
A,Ziziphus Mucronata,1.5,1
A,Bolusanthus Speciosus,2,4
A,Diplorhynchus Condylocarpon,1.8,2
A,Fluegga Virosa,1,9
A,Warburgia Salutaris,1.3,6
A,Ziziphus Mucronata,1.1,1
A,Ziziphus Mucronata,3,1
A,Combretum Hereroense,1.1,2
A,Vachellia Karroo,1.7,3
A,Warburgia Salutaris,1.3,4
A,Rhus Lancea,3.5,2
A,Fluegga Virosa,1.2,4
A,Bolusanthus Speciosus,2,3
A,Dichrostachys Cinerea,0.6,3
A,Euclea Divinorum,3,6
A,Vachellia Nilotica,3,1
A,Bolusanthus Speciosus,3,3
A,Dichrostachys Cinerea,2.2,2
A,Warburgia Salutaris,2.2,3
A,Warburgia Salutaris,1.9,2
A,Ziziphus Mucronata,3.2,1
A,Peltophorum Africanum,1.4,1
A,Diospyros Lycioides,1.4,4
A,Euclea Divinorum,1,2
A,Fluegga Virosa,1.5,1
A,Vachellia Gerrardii,2.1,3
A,Carissa Bispinosa,2.1,6
A,Vachellia Nilotica,2.2,1
A,Allophylus Africanus,2.5,1
A,Bolusanthus Speciosus,3,12
A,Zanthoxylum Capense,0.5,1
A,Warburgia Salutaris,1.5,1
A,Combretum Hereroense,0.8,2
A,Rhus Leptodictya,2,3
A,Vachellia Gerrardii,3.5,2
A,Warburgia Salutaris,2,1
A,Dichrostachys Cinerea,1.3,4
A,Dichrostachys Cinerea,3,1
A,Fluegga Virosa,3,2
A,Allophylus Africanus,2.5,2
A,Ziziphus Mucronata,1,2
A,Fluegga Virosa,1.5,2
A,Warburgia Salutaris,2.5,2
A,Vachellia Gerrardii,3.8,1
A,Ziziphus Mucronata,1.3,2
A,Dichrostachys Cinerea,1.8,1
A,Piliostigma Thonningii,1,5
A,Vachellia Gerrardii,1.1,1
A,Peltophorum Africanum,1.7,3
A,Combretum Hereroense,6.1,5
A,Ziziphus Mucronata,2.5,1
A,Dichrostachys Cinerea,2.5,1
A,Carissa Bispinosa,1,1
A,Dichrostachys Cinerea,1.2,2
A,Senegalia Rehmanniana,1.5,3
A,Combretum Apiculatum,1.5,1
A,Vachellia Gerrardii,2.8,1
A,Vachellia Gerrardii,1.4,1
A,Piliostigma Thonningii,1,3
A,Combretum Hereroense,0.6,1
A,Vachellia Gerrardii,0.7,1
A,Vachellia Gerrardii,0.25,1
A,Carissa Bispinosa,1.5,3
A,Ziziphus Mucronata,0.2,3
A,Combretum Hereroense,2.3,2
A,Peltophorum Africanum,3.2,1
A,Bolusanthus Speciosus,2,2
A,Warburgia Salutaris,2.5,1
A,Ziziphus Mucronata,2,1
A,Euclea Divinorum,2.6,6
A,Grewia Decomovulata,2,1
A,Grewia Monticola,2,1
A,Vachellia Karroo,0.25,1
A,Ziziphus Mucronata,0.6,1
A,Vachellia Karroo,2.4,1
A,Vachellia Karroo,2,1
A,Carissa Bispinosa,2.3,5
A,Carissa Bispinosa,1.4,4
A,Fluegga Virosa,1,1
A,Ziziphus Mucronata,0.8,1
A,Fluegga Virosa,1,3
A,Senegalia Rehmanniana,1.8,1
A,Dichrostachys Cinerea,1,2
A,Euclea Divinorum,1.3,3
A,Carissa Bispinosa,0.8,1
A,Combretum Hereroense,0.7,1
A,Fluegga Virosa,1.5,4
A,Fluegga Virosa,0.9,6
A,Combretum Hereroense,1.7,1
A,Vachellia Karroo,2.8,2
A,Warburgia Salutaris,1,4
A,Grewia Monticola,1.5,1
A,Grewia Decomovulata,2.9,1
A,Ziziphus Mucronata,3,2
A,Grewia Monticola,2,5
A,Vachellia Nilotica,2,1
A,Fluegga Virosa,1.7,2
A,Dichrostachys Cinerea,2,1
A,Dichrostachys Cinerea,2,2
A,Ziziphus Mucronata,2,2
A,Fluegga Virosa,1.5,8
A,Bolusanthus Speciosus,3,6
A,Allophylus Africanus,2,1
A,Fluegga Virosa,1,2
A,Berchemia Zeyheri,1,5
A,Grewia Decomovulata,1,6
A,Euclea Divinorum,2.5,4
A,Diospyros Lycioides,2,1
A,Diospyros Lycioides,1.4,1
A,Berchemia Zeyheri,2,1
A,Fluegga Virosa,2.5,1
A,Grewia Monticola,2.8,1
A,Dichrostachys Cinerea,1.5,6
A,Ziziphus Mucronata,2.5,2
A,Rhus Leptodictya,1,1
A,Rhus Leptodictya,0.3,1
A,Euclea Divinorum,0.9,1
A,Vachellia Gerrardii,1.8,6
A,Zanthoxylum Capense,0.3,2
A,Rhus Leptodictya,0.5,1
A,Umtshutshwane,1.1,2
A,Berchemia Zeyheri,0.7,2
A,Rhus Leptodictya,1,4
A,Combretum Hereroense,0.25,1
A,Vachellia Nilotica,0.5,1
A,Vachellia Nilotica,1,1
