"Site","Plot","Allophylus africanus","Berchemia zeyheri","Bolusanthus speciosus","Carissa bispinosa","Combretum apiculatum","Combretum hereroense","Combretum imberbe","Dichrostachys cinerea","Diospyros lycioides","Diplorhynchus condylocarpon","Dovyalis caffra","Euclea divinorum","Fluegga virosa","Grewia decomovulata","Grewia monticola","Gymnosporia senegalensis","Ozoroa insignis","Peltophorum africanum","Piliostigma thonningii","Rhus lancea","Rhus leptodictya","Senegalia rehmanniana","Terminalia sericea","Vachellia gerrardii","Vachellia karroo","Vachellia nilotica","Warburgia salutaris","Ziziphus mucronata","Grewia flavescens","Senegalia ataxacantha","Cassia abbreviata","Commiphora africana","Elaeodendron papillosum","Gardenia spathulifolia","Ormocarpum trichocarpum","Albizia versicolor","Lannea discolor","Pappea capensis","Ximenia caffra","Indigofera ormocarpoides","Pterocarpus rotundifolius","Canthium inerme","Carissa spinarum","Lippia javanica","Nuxia oppositifolia","Volkameria eriophylla","Zanthoxylum capense","Clerodendrum glabrum","Albizia harveyi","Combretum zeyheri","Sclerocarya birrea","Senegalia nigrescens","Azanza garckeana","Combretum molle","Grewia bicolor","Carissa edulis","Colophospermum mopane","Lannea schweinfurthii","Ochna serrulata","Boscia angustifolia","Gardenia volkensii","Maclura africana","Steganotaenia araliacea","Terminalia prunioides","Vangueria randii","Burkea africana","Dalbergia melanoxylon","Brachystegia spiciformis","Boscia mossambicensis","Gymnosporia buxifolia","Combretum mossambicense","Tarchonanthus camphoratus","Dombeya rotundifolia","Dalbergia nitidula","Flacourtia indica","Kirkia acuminata","Philenoptera violacea","Pseudolachnostylis maprouneifolia","Viscum combreticola","Vitex mombasa"
"A",1,13,19,29,20,1,54,8,64,3,1,1,30,23,5,12,7,2,6,1,1,4,6,1,92,25,22,28,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A",2,0,13,32,10,2,70,9,11,0,1,0,2,2,0,1,2,4,18,0,0,0,0,0,31,3,1,4,21,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A",3,6,5,43,8,81,130,7,28,1,0,0,2,9,1,5,11,0,9,0,0,0,2,0,28,0,99,4,18,0,0,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A",4,8,1,26,12,106,77,0,77,0,4,6,7,8,2,11,14,2,6,0,0,0,0,0,39,0,9,8,16,0,5,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A",5,6,2,37,0,30,148,6,68,0,2,0,7,10,1,6,17,0,12,0,0,0,1,2,40,2,20,5,27,0,0,0,0,0,0,2,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",1,25,0,0,2,0,10,0,9,23,0,0,2,37,5,0,34,0,34,0,0,0,0,0,2,66,10,0,29,1,40,0,0,0,3,0,0,1,0,5,0,0,1,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",2,27,0,0,8,0,48,0,17,32,0,0,0,39,0,1,54,0,25,0,1,1,0,0,0,63,1,0,23,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",3,34,1,1,4,1,11,1,2,8,0,0,2,8,0,0,20,0,6,0,0,0,0,1,0,140,4,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",4,24,1,1,1,0,6,0,15,9,0,0,3,33,1,0,12,0,5,0,0,0,0,0,1,119,7,0,48,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",5,81,1,0,0,0,8,1,3,16,0,0,2,64,1,0,5,0,1,0,12,0,1,0,0,98,29,0,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
