Site,Plot,Subplot,Spp_name,Max_Height,Seedlings,Saplings,Trees
A,1,Z1,Vachellia karroo,3.2,NA,NA,3.2
A,1,Z1,Fluegga virosa,1,NA,1,NA
A,1,Z1,Peltophorum africanum,0.8,NA,0.8,NA
A,1,Z1,Peltophorum africanum,1.3,NA,1.3,NA
A,1,Z1,Combretum hereroense,1.3,NA,1.3,NA
A,1,Z1,Combretum hereroense,1.3,NA,1.3,NA
A,1,Z1,Vachellia nilotica,1.5,NA,NA,1.5
A,1,Z1,Warburgia salutaris,1,NA,1,NA
A,1,Z1,Berchemia zeyheri,0.7,NA,0.7,NA
A,1,Z1,Senegalia rehmanniana,0.4,0.4,NA,NA
A,1,Z1,Senegalia rehmanniana,0.4,0.4,NA,NA
A,1,Z1,Senegalia rehmanniana,0.4,0.4,NA,NA
A,1,Z1,Combretum hereroense,1.5,NA,NA,1.5
A,1,Z1,Warburgia salutaris,0.5,0.5,NA,NA
A,1,Z1,Warburgia salutaris,0.5,0.5,NA,NA
A,1,Z1,Senegalia rehmanniana,3,NA,NA,3
A,1,Z1,Senegalia rehmanniana,6,NA,NA,6
A,1,Z1,Ziziphus mucronata,0.5,0.5,NA,NA
A,1,Z1,Ziziphus mucronata,0.5,0.5,NA,NA
A,1,Z1,Ziziphus mucronata,0.5,0.5,NA,NA
A,1,Z1,Gardenia spathulifolia,0.3,0.3,NA,NA
A,1,Z1,Combretum hereroense,1.5,NA,NA,1.5
A,1,Z1,Gymnosporia senegalensis,0.8,NA,0.8,NA
A,1,Z1,Gymnosporia senegalensis,0.8,NA,0.8,NA
A,1,Z1,Gymnosporia senegalensis,0.8,NA,0.8,NA
A,1,Z1,Dichrostachys cinerea,0.3,0.3,NA,NA
A,1,Z1,Dichrostachys cinerea,0.3,0.3,NA,NA
A,1,Z1,Dichrostachys cinerea,0.3,0.3,NA,NA
A,1,Z1,Dichrostachys cinerea,0.3,0.3,NA,NA
A,1,Z1,Dichrostachys cinerea,0.3,0.3,NA,NA
A,1,Z1,Fluegga virosa,1.1,NA,1.1,NA
A,1,Z1,Fluegga virosa,1.1,NA,1.1,NA
A,1,Z1,Combretum imberbe,2.5,NA,NA,2.5
A,1,Z1,Senegalia rehmanniana,1.6,NA,NA,1.6
A,1,Z1,Fluegga virosa,1,NA,1,NA
A,1,Z1,Vachellia gerrardii,1.5,NA,NA,1.5
A,1,Z1,Vachellia gerrardii,1.5,NA,NA,1.5
A,1,Z1,Vachellia gerrardii,1.5,NA,NA,1.5
A,1,Z1,Ziziphus mucronata,1,NA,1,NA
A,1,Z1,Ziziphus mucronata,1,NA,1,NA
A,1,Z1,Berchemia zeyheri,2,NA,NA,2
A,1,Z1,Vachellia karroo,0.3,0.3,NA,NA
A,1,Z1,Vachellia karroo,3.1,NA,NA,3.1
A,1,Z1,Vachellia karroo,1.3,NA,1.3,NA
A,1,Z1,Vachellia gerrardii,1,NA,1,NA
A,1,Z1,Vachellia gerrardii,1,NA,1,NA
A,1,Z1,Vachellia gerrardii,1,NA,1,NA
A,1,Z1,Vachellia gerrardii,1,NA,1,NA
A,1,Z1,Vachellia gerrardii,1,NA,1,NA
A,1,Z1,Vachellia gerrardii,1,NA,1,NA
A,1,Z1,Dichrostachys cinerea,1,NA,1,NA
A,1,Z1,Fluegga virosa,1,NA,1,NA
A,1,Z1,Fluegga virosa,1,NA,1,NA
A,1,Z1,Ziziphus mucronata,1,NA,1,NA
A,1,Z1,Ziziphus mucronata,1,NA,1,NA
A,1,Z1,Ziziphus mucronata,1,NA,1,NA
A,1,Z1,Ziziphus mucronata,1,NA,1,NA
A,1,Z1,Ziziphus mucronata,1,NA,1,NA
A,1,Z1,Senegalia rehmanniana,0.7,NA,0.7,NA
A,1,Z1,Senegalia rehmanniana,0.7,NA,0.7,NA
A,1,Z1,Senegalia rehmanniana,0.7,NA,0.7,NA
A,1,Z1,Senegalia rehmanniana,0.7,NA,0.7,NA
A,1,Z1,Senegalia rehmanniana,0.7,NA,0.7,NA
A,1,Z1,Senegalia rehmanniana,0.7,NA,0.7,NA
A,1,Z1,Senegalia rehmanniana,0.7,NA,0.7,NA
A,1,Z1,Senegalia rehmanniana,0.7,NA,0.7,NA
A,1,Z1,Senegalia rehmanniana,0.7,NA,0.7,NA
A,1,Z1,Dichrostachys cinerea,0.5,0.5,NA,NA
A,1,Z1,Dichrostachys cinerea,0.5,0.5,NA,NA
A,1,Z1,Dichrostachys cinerea,0.5,0.5,NA,NA
A,1,Z1,Ziziphus mucronata,0.5,0.5,NA,NA
A,1,Z1,Vachellia karroo,3,NA,NA,3
A,1,Z1,Piliostigma thonningii,0.7,NA,0.7,NA
A,1,Z1,Warburgia salutaris,1,NA,1,NA
A,1,Z1,Vachellia gerrardii,3,NA,NA,3
A,1,Z1,Vachellia gerrardii,3,NA,NA,3
A,1,Z1,Vachellia gerrardii,2,NA,NA,2
A,1,Z1,Vachellia gerrardii,2,NA,NA,2
A,1,Z1,Vachellia gerrardii,2,NA,NA,2
A,1,Z1,Dichrostachys cinerea,1.5,NA,NA,1.5
A,1,Z1,Dichrostachys cinerea,1.5,NA,NA,1.5
A,1,Z1,Dichrostachys cinerea,1.5,NA,NA,1.5
A,1,Z1,Carissa bispinosa,1.5,NA,NA,1.5
A,1,Z1,Combretum imberbe,1.4,NA,1.4,NA
A,1,Z1,Combretum imberbe,1.4,NA,1.4,NA
A,1,Z1,Vachellia karroo,0.8,NA,0.8,NA
A,1,Z1,Vachellia karroo,0.8,NA,0.8,NA
A,1,Z1,Vachellia karroo,0.8,NA,0.8,NA
A,1,Z1,Vachellia karroo,0.8,NA,0.8,NA
A,1,Z1,Vachellia karroo,0.8,NA,0.8,NA
A,1,Z1,Combretum imberbe,0.7,NA,0.7,NA
A,1,Z1,Combretum imberbe,0.7,NA,0.7,NA
A,1,Z1,Combretum imberbe,0.7,NA,0.7,NA
A,1,Z1,Combretum imberbe,0.7,NA,0.7,NA
A,1,Z1,Combretum imberbe,0.7,NA,0.7,NA
A,1,Z1,Combretum imberbe,0.7,NA,0.7,NA
A,1,Z1,Combretum imberbe,0.7,NA,0.7,NA
A,1,Z1,Vachellia karroo,1.3,NA,1.3,NA
A,1,Z1,Warburgia salutaris,0.8,NA,0.8,NA
A,1,Z1,Warburgia salutaris,0.8,NA,0.8,NA
A,1,Z1,Warburgia salutaris,0.8,NA,0.8,NA
A,1,Z1,Senegalia rehmanniana,0.9,NA,0.9,NA
A,1,Z1,Senegalia rehmanniana,0.9,NA,0.9,NA
A,1,Z1,Senegalia rehmanniana,0.9,NA,0.9,NA
A,1,Z1,Senegalia rehmanniana,0.9,NA,0.9,NA
A,1,Z1,Senegalia rehmanniana,0.9,NA,0.9,NA
A,1,Z1,Senegalia rehmanniana,0.9,NA,0.9,NA
A,1,Z1,Gardenia spathulifolia,0.4,0.4,NA,NA
A,1,Z1,Piliostigma thonningii,1.5,NA,NA,1.5
A,1,Z1,Vachellia gerrardii,1.2,NA,1.2,NA
A,1,Z1,Vachellia karroo,1.6,NA,NA,1.6
A,1,Z1,Ziziphus mucronata,1.5,NA,NA,1.5
A,1,Z1,Ziziphus mucronata,1.5,NA,NA,1.5
A,1,Z1,Ziziphus mucronata,1.5,NA,NA,1.5
A,1,Z1,Vachellia karroo,3,NA,NA,3
A,1,Z1,Vachellia karroo,3,NA,NA,3
A,1,Z1,Vachellia karroo,3,NA,NA,3
A,1,Z1,Vachellia karroo,3,NA,NA,3
A,1,Z1,Bolusanthus speciosus,2,NA,NA,2
A,1,Z1,Diplorhynchus condylocarpon,1.8,NA,NA,1.8
A,1,Z1,Fluegga virosa,1,NA,1,NA
A,1,Z1,Fluegga virosa,1,NA,1,NA
A,1,Z1,Fluegga virosa,1,NA,1,NA
A,1,Z1,Warburgia salutaris,1.3,NA,1.3,NA
A,1,Z1,Ziziphus mucronata,1.1,NA,1.1,NA
A,1,Z1,Ziziphus mucronata,1.1,NA,1.1,NA
A,1,Z1,Ziziphus mucronata,3,NA,NA,3
A,1,Z1,Combretum hereroense,1.1,NA,1.1,NA
A,1,Z1,Vachellia karroo,1.7,NA,NA,1.7
A,1,Z1,Ziziphus mucronata,1,NA,1,NA
A,1,Z1,Warburgia salutaris,1.3,NA,1.3,NA
A,1,Z1,Gardenia spathulifolia,0.4,0.4,NA,NA
A,1,Z1,Gardenia spathulifolia,0.4,0.4,NA,NA
A,1,Z1,Rhus lancea,3.5,NA,NA,3.5
A,1,Z1,Fluegga virosa,1.2,NA,1.2,NA
A,1,Z1,Bolusanthus speciosus,2,NA,NA,2
A,1,Z1,Bolusanthus speciosus,2,NA,NA,2
A,1,Z1,Bolusanthus speciosus,2,NA,NA,2
A,1,Z1,Bolusanthus speciosus,2,NA,NA,2
A,1,Z1,Dichrostachys cinerea,0.6,NA,0.6,NA
A,1,Z1,Dichrostachys cinerea,0.6,NA,0.6,NA
A,1,Z1,Dichrostachys cinerea,0.6,NA,0.6,NA
A,1,Z1,Dichrostachys cinerea,0.6,NA,0.6,NA
A,1,Z1,Euclea divinorum,3,NA,NA,3
A,1,Z1,Vachellia nilotica,3,NA,NA,3
A,1,Z1,Bolusanthus speciosus,3,NA,NA,3
A,1,Z1,Dichrostachys cinerea,2.2,NA,NA,2.2
A,1,Z1,Warburgia salutaris,2.2,NA,NA,2.2
A,1,Z1,Warburgia salutaris,2.2,NA,NA,2.2
A,1,Z1,Warburgia salutaris,2.2,NA,NA,2.2
A,1,Z1,Warburgia salutaris,2.2,NA,NA,2.2
A,1,Z1,Warburgia salutaris,2.2,NA,NA,2.2
A,1,Z1,Warburgia salutaris,2.2,NA,NA,2.2
A,1,Z1,Warburgia salutaris,1.9,NA,NA,1.9
A,1,Z1,Ziziphus mucronata,3.2,NA,NA,3.2
A,1,Z1,Peltophorum africanum,1.4,NA,1.4,NA
A,1,Z1,Diospyros lycioides,1.4,NA,1.4,NA
A,1,Z1,Diospyros lycioides,1.4,NA,1.4,NA
A,1,Z1,Euclea divinorum,1,NA,1,NA
A,1,Z1,Fluegga virosa,1.5,NA,NA,1.5
A,1,Z1,Fluegga virosa,1.5,NA,NA,1.5
A,1,Z1,Vachellia gerrardii,2.1,NA,NA,2.1
A,1,Z1,Carissa bispinosa,2.1,NA,NA,2.1
A,1,Z1,Vachellia nilotica,2.2,NA,NA,2.2
A,1,Z1,Vachellia nilotica,2.2,NA,NA,2.2
A,1,Z1,Vachellia nilotica,2.2,NA,NA,2.2
A,1,Z1,Allophylus africanus,2.5,NA,NA,2.5
A,1,Z1,Allophylus africanus,2.5,NA,NA,2.5
A,1,Z1,Allophylus africanus,2.5,NA,NA,2.5
A,1,Z1,Bolusanthus speciosus,3,NA,NA,3
A,1,Z1,Dichrostachys cinerea,1.5,NA,NA,1.5
A,1,Z1,Zanthoxylum capense,0.5,0.5,NA,NA
A,1,Z1,Warburgia salutaris,1.5,NA,NA,1.5
A,1,Z1,Combretum hereroense,0.8,NA,0.8,NA
A,1,Z1,Combretum hereroense,0.8,NA,0.8,NA
A,1,Z1,Combretum hereroense,0.8,NA,0.8,NA
A,1,Z1,Combretum hereroense,0.8,NA,0.8,NA
A,1,Z1,Combretum hereroense,0.8,NA,0.8,NA
A,1,Z1,Bolusanthus speciosus,2,NA,NA,2
A,1,Z1,Rhus leptodictya,2,NA,NA,2
A,1,Z1,Euclea divinorum,1,NA,1,NA
A,1,Z1,Vachellia gerrardii,3.5,NA,NA,3.5
A,1,Z1,Warburgia salutaris,2,NA,NA,2
A,1,Z1,Vachellia gerrardii,1,NA,1,NA
A,1,Z1,Vachellia gerrardii,1,NA,1,NA
A,1,Z1,Vachellia gerrardii,1,NA,1,NA
A,1,Z1,Vachellia gerrardii,1,NA,1,NA
A,1,Z1,Vachellia gerrardii,1,NA,1,NA
A,1,Z1,Dichrostachys cinerea,1.3,NA,1.3,NA
A,1,Z1,Dichrostachys cinerea,1.3,NA,1.3,NA
A,1,Z1,Dichrostachys cinerea,3,NA,NA,3
A,1,Z1,Dichrostachys cinerea,3,NA,NA,3
A,1,Z1,Dichrostachys cinerea,3,NA,NA,3
A,1,Z1,Dichrostachys cinerea,3,NA,NA,3
A,1,Z1,Dichrostachys cinerea,3,NA,NA,3
A,1,Z1,Fluegga virosa,3,NA,NA,3
A,1,Z1,Fluegga virosa,3,NA,NA,3
A,1,Z1,Allophylus africanus,2.5,NA,NA,2.5
A,1,Z1,Ziziphus mucronata,1,NA,1,NA
A,1,Z1,Fluegga virosa,1.5,NA,NA,1.5
A,1,Z1,Fluegga virosa,1.5,NA,NA,1.5
A,1,Z1,Warburgia salutaris,2.5,NA,NA,2.5
A,1,Z1,Vachellia gerrardii,3.8,NA,NA,3.8
A,1,Z1,Dichrostachys cinerea,1.5,NA,NA,1.5
A,1,Z1,Senegalia rehmanniana,0.7,NA,0.7,NA
A,1,Z1,Ziziphus mucronata,1.3,NA,1.3,NA
A,1,Z1,Dichrostachys cinerea,1.8,NA,NA,1.8
A,1,Z1,Piliostigma thonningii,1,NA,1,NA
A,1,Z1,Vachellia gerrardii,1.1,NA,1.1,NA
A,1,Z1,Peltophorum africanum,1.7,NA,NA,1.7
A,1,Z1,Combretum hereroense,6.1,NA,NA,6.1
A,1,Z1,Ziziphus mucronata,2.5,NA,NA,2.5
A,1,Z1,Dichrostachys cinerea,2.5,NA,NA,2.5
A,1,Z1,Dichrostachys cinerea,2.5,NA,NA,2.5
A,1,Z1,Vachellia gerrardii,3,NA,NA,3
A,1,Z1,Carissa bispinosa,1,NA,1,NA
A,1,Z1,Dichrostachys cinerea,1.2,NA,1.2,NA
A,1,Z1,Dichrostachys cinerea,1.2,NA,1.2,NA
A,1,Z1,Dichrostachys cinerea,1.2,NA,1.2,NA
A,1,Z1,Senegalia rehmanniana,1.5,NA,NA,1.5
A,1,Z1,Combretum apiculatum,1.5,NA,NA,1.5
A,1,Z1,Vachellia gerrardii,2.8,NA,NA,2.8
A,1,Z1,Vachellia gerrardii,2.8,NA,NA,2.8
A,1,Z1,Vachellia gerrardii,1.4,NA,1.4,NA
A,1,Z1,Piliostigma thonningii,1,NA,1,NA
A,1,Z1,Combretum hereroense,0.6,NA,0.6,NA
A,1,Z1,Combretum hereroense,0.6,NA,0.6,NA
A,1,Z1,Combretum hereroense,0.6,NA,0.6,NA
A,1,Z1,Combretum hereroense,0.6,NA,0.6,NA
A,1,Z1,Combretum hereroense,0.6,NA,0.6,NA
A,1,Z1,Vachellia gerrardii,0.7,NA,0.7,NA
A,1,Z1,Vachellia gerrardii,0.7,NA,0.7,NA
A,1,Z1,Vachellia gerrardii,0.25,0.25,NA,NA
A,1,Z1,Carissa bispinosa,1.5,NA,NA,1.5
A,1,Z1,Fluegga virosa,1.5,NA,NA,1.5
A,1,Z1,Fluegga virosa,1.5,NA,NA,1.5
A,1,Z1,Fluegga virosa,1.5,NA,NA,1.5
A,1,Z1,Fluegga virosa,1.5,NA,NA,1.5
A,1,Z1,Fluegga virosa,1.5,NA,NA,1.5
A,1,Z1,Ziziphus mucronata,0.2,0.2,NA,NA
A,1,Z1,Combretum hereroense,2.3,NA,NA,2.3
A,1,Z1,Peltophorum africanum,3.2,NA,NA,3.2
A,1,Z1,Bolusanthus speciosus,2,NA,NA,2
A,1,Z1,Warburgia salutaris,2.5,NA,NA,2.5
A,1,Z1,Ziziphus mucronata,2,NA,NA,2
A,1,Z1,Euclea divinorum,2.6,NA,NA,2.6
A,1,Z1,Euclea divinorum,2.6,NA,NA,2.6
A,1,Z1,Grewia decomovulata,2,NA,NA,2
A,1,Z1,Grewia monticola,2,NA,NA,2
A,1,Z1,Grewia monticola,2,NA,NA,2
A,1,Z1,Vachellia karroo,0.25,0.25,NA,NA
A,1,Z1,Vachellia karroo,0.25,0.25,NA,NA
A,1,Z1,Vachellia karroo,0.25,0.25,NA,NA
A,1,Z1,Vachellia karroo,0.25,0.25,NA,NA
A,1,Z1,Vachellia karroo,0.25,0.25,NA,NA
A,1,Z1,Vachellia karroo,0.25,0.25,NA,NA
A,1,Z1,Vachellia karroo,0.25,0.25,NA,NA
A,1,Z1,Ziziphus mucronata,0.6,NA,0.6,NA
A,1,Z1,Dichrostachys cinerea,0.3,0.3,NA,NA
A,1,Z1,Dichrostachys cinerea,0.3,0.3,NA,NA
A,1,Z1,Dichrostachys cinerea,0.3,0.3,NA,NA
A,1,Z1,Dichrostachys cinerea,0.3,0.3,NA,NA
A,1,Z1,Dichrostachys cinerea,0.3,0.3,NA,NA
A,1,Z1,Dichrostachys cinerea,0.3,0.3,NA,NA
A,1,Z1,Vachellia karroo,2.4,NA,NA,2.4
A,1,Z1,Vachellia karroo,2,NA,NA,2
A,1,Z1,Carissa bispinosa,2.3,NA,NA,2.3
A,1,Z1,Carissa bispinosa,2.3,NA,NA,2.3
A,1,Z1,Carissa bispinosa,1.4,NA,1.4,NA
A,1,Z1,Fluegga virosa,1,NA,1,NA
A,1,Z1,Euclea divinorum,1,NA,1,NA
A,1,Z1,Ziziphus mucronata,0.8,NA,0.8,NA
A,1,Z1,Ziziphus mucronata,0.8,NA,0.8,NA
A,1,Z1,Ziziphus mucronata,0.8,NA,0.8,NA
A,1,Z1,Ziziphus mucronata,0.8,NA,0.8,NA
A,1,Z1,Fluegga virosa,1,NA,1,NA
A,1,Z1,Fluegga virosa,1,NA,1,NA
A,1,Z1,Fluegga virosa,1,NA,1,NA
A,1,Z1,Fluegga virosa,1,NA,1,NA
A,1,Z1,Senegalia rehmanniana,1.8,NA,NA,1.8
A,1,Z1,Dichrostachys cinerea,1,NA,1,NA
A,1,Z1,Euclea divinorum,1.3,NA,1.3,NA
A,1,Z1,Carissa bispinosa,0.8,NA,0.8,NA
