"","diff","lwr","upr","p adj"
"2-1",-2.33333333333334,-5.52779355419384,0.86112688752715,0.260394713229962
"3-1",-2.25000000000001,-5.4444602208605,0.944460220860486,0.295508488988206
"4-1",0.666666666666657,-2.52779355419384,3.86112688752715,0.977882615630129
"5-1",-1.08333333333334,-4.27779355419384,2.11112688752715,0.880198175100592
"3-2",0.0833333333333357,-3.11112688752716,3.27779355419383,0.999993679293488
"4-2",3,-0.194460220860493,6.19446022086049,0.0764283741055211
"5-2",1.25,-1.94446022086049,4.44446022086049,0.813485066709865
"4-3",2.91666666666666,-0.277793554193829,6.11112688752716,0.0908660275617346
"5-3",1.16666666666666,-2.02779355419383,4.36112688752716,0.848695280523484
"5-4",-1.75,-4.94446022086049,1.44446022086049,0.55180342408175
