"","diff","lwr","upr","p adj"
"B-A",-10.8,-14.4597403576058,-7.1402596423943,1.42363898447684e-12
"C-A",-6.40000000000001,-10.0597403576058,-2.74025964239426,2.39707499233299e-05
"D-A",-0.450000000000017,-4.10974035760576,3.20974035760573,0.999220950213197
"E-A",-3.25000000000001,-6.90974035760576,0.409740357605734,0.111969864462592
"F-A",-9.10000000000002,-12.7597403576058,-5.44025964239427,1.21046794809843e-09
"C-B",4.40000000000004,0.74025964239429,8.05974035760579,0.00898569496623991
"D-B",10.35,6.69025964239428,14.0097403576058,8.36308799989638e-12
"E-B",7.55000000000003,3.89025964239428,11.2097403576058,4.30645380689043e-07
"F-B",1.70000000000003,-1.95974035760572,5.35974035760578,0.757487179640284
"D-C",5.94999999999999,2.29025964239424,9.60974035760574,0.000104016933051398
"E-C",3.14999999999999,-0.509740357605756,6.80974035760574,0.133986067469174
"F-C",-2.70000000000001,-6.35974035760576,0.959740357605738,0.274558856284433
"E-D",-2.8,-6.45974035760575,0.859740357605751,0.237208903537648
"F-D",-8.65,-12.3097403576057,-4.99025964239425,6.95157986729811e-09
"F-E",-5.85,-9.50974035760575,-2.19025964239425,0.000142796464163375
