"","Site","Plot","simpson_index"
"1","A",1,0.0845733251812385
"2","A",2,0.12689213243147
"3","A",3,0.14605386521636
"4","A",4,0.130102605198598
"5","A",5,0.149996531390912
"6","B",1,0.0992205046901836
"7","B",2,0.115801294754921
"8","B",3,0.301779659863019
"9","B",4,0.225549768518518
"10","B",5,0.174826775739446
"11","C",1,0.319112054573868
"12","C",2,0.314078770549547
"13","C",3,0.307396787916268
"14","C",4,0.21035288991593
"15","C",5,0.269418639460087
"16","D",1,0.146578072277373
"17","D",2,0.169878440659978
"18","D",3,0.127022912994712
"19","D",4,0.128817013651177
"20","D",5,0.139622171992618
"21","E",1,0.228828631924049
"22","E",2,0.2044288
"23","E",3,0.182705353609588
"24","E",4,0.20666269215187
"25","E",5,0.200307427428518
"26","F",1,0.0918292324281933
"27","F",2,0.192046376419686
"28","F",3,0.459737996514633
"29","F",4,0.425973792163368
"30","F",5,0.248059715120526
