"","Site","Plot","Seedlings","Saplings","Trees"
"1","A",1,242,679,535
"2","A",2,242,489,265
"3","A",3,418,666,507
"4","A",4,263,475,451
"5","A",5,558,587,465
"6","B",1,282,259,348
"7","B",2,0,85,348
"8","B",3,491,297,271
"9","B",4,582,330,288
"10","B",5,634,317,362
"11","C",1,280,197,866
"12","C",2,138,244,822
"13","C",3,442,206,462
"14","C",4,803,192,507
"15","C",5,487,132,641
"16","D",1,202,373,572
"17","D",2,409,451,638
"18","D",3,434,464,632
"19","D",4,311,425,563
"20","D",5,314,477,581
"21","E",1,798,309,605
"22","E",2,605,273,625
"23","E",3,653,292,532
"24","E",4,455,331,551
"25","E",5,1076,339,813
"26","F",1,442,314,404
"27","F",2,203,201,344
"28","F",3,108,328,516
"29","F",4,165,266,483
"30","F",5,70,252,296
