"","Site","Plot","Subplot","Seedlings","Saplings","Trees"
"1","A",1,"Z1",44,158,158
"2","A",1,"Z2",66,149,77
"3","A",1,"Z3",32,189,178
"4","A",1,"Z4",100,183,122
"5","A",2,"Z1",65,78,51
"6","A",2,"Z2",28,92,84
"7","A",2,"Z3",110,162,71
"8","A",2,"Z4",39,157,59
"9","A",3,"Z1",93,151,114
"10","A",3,"Z2",91,109,146
"11","A",3,"Z3",90,196,117
"12","A",3,"Z4",144,210,130
"13","A",4,"Z1",61,129,118
"14","A",4,"Z2",62,122,119
"15","A",4,"Z3",126,94,128
"16","A",4,"Z4",14,130,86
"17","A",5,"Z1",175,185,113
"18","A",5,"Z2",146,128,146
"19","A",5,"Z3",111,118,107
"20","A",5,"Z4",126,156,99
"21","B",1,"Z1",17,16,81
"22","B",1,"Z2",76,70,54
"23","B",1,"Z3",86,69,106
"24","B",1,"Z4",103,104,107
"25","B",2,"Z1",0,16,66
"26","B",2,"Z2",0,25,86
"27","B",2,"Z3",0,32,76
"28","B",2,"Z4",0,12,120
"29","B",3,"Z1",111,41,44
"30","B",3,"Z2",214,107,108
"31","B",3,"Z3",92,66,17
"32","B",3,"Z4",74,83,102
"33","B",4,"Z1",186,100,61
"34","B",4,"Z2",155,68,82
"35","B",4,"Z3",125,84,94
"36","B",4,"Z4",116,78,51
"37","B",5,"Z1",191,58,70
"38","B",5,"Z2",127,68,126
"39","B",5,"Z3",199,136,114
"40","B",5,"Z4",117,55,52
"41","C",1,"Z1",7,30,202
"42","C",1,"Z2",12,49,249
"43","C",1,"Z3",76,62,193
"44","C",1,"Z4",185,56,222
"45","C",2,"Z1",31,110,229
"46","C",2,"Z2",84,62,211
"47","C",2,"Z3",10,33,183
"48","C",2,"Z4",13,39,199
"49","C",3,"Z1",113,76,201
"50","C",3,"Z2",76,19,131
"51","C",3,"Z3",142,35,68
"52","C",3,"Z4",111,76,62
"53","C",4,"Z1",155,47,228
"54","C",4,"Z2",155,29,72
"55","C",4,"Z3",275,75,111
"56","C",4,"Z4",218,41,96
"57","C",5,"Z1",111,16,124
"58","C",5,"Z2",130,25,140
"59","C",5,"Z3",72,38,164
"60","C",5,"Z4",174,53,213
"61","D",1,"Z1",60,53,102
"62","D",1,"Z2",27,54,135
"63","D",1,"Z3",63,134,175
"64","D",1,"Z4",52,132,160
"65","D",2,"Z1",58,92,133
"66","D",2,"Z2",121,136,138
"67","D",2,"Z3",73,131,270
"68","D",2,"Z4",157,92,97
"69","D",3,"Z1",115,117,202
"70","D",3,"Z2",37,118,125
"71","D",3,"Z3",37,118,125
"72","D",3,"Z4",245,111,180
"73","D",4,"Z1",178,105,141
"74","D",4,"Z2",51,141,136
"75","D",4,"Z3",17,47,127
"76","D",4,"Z4",65,132,159
"77","D",5,"Z1",70,97,155
"78","D",5,"Z2",65,114,102
"79","D",5,"Z3",47,102,161
"80","D",5,"Z4",132,164,163
"81","E",1,"Z1",150,54,146
"82","E",1,"Z2",180,59,135
"83","E",1,"Z3",223,87,197
"84","E",1,"Z4",245,109,127
"85","E",2,"Z1",151,73,134
"86","E",2,"Z2",98,53,140
"87","E",2,"Z3",232,71,189
"88","E",2,"Z4",124,76,162
"89","E",3,"Z1",113,47,142
"90","E",3,"Z2",198,70,80
"91","E",3,"Z3",207,102,148
"92","E",3,"Z4",135,73,162
"93","E",4,"Z1",90,66,140
"94","E",4,"Z2",124,72,143
"95","E",4,"Z3",99,91,114
"96","E",4,"Z4",142,102,154
"97","E",5,"Z1",348,110,244
"98","E",5,"Z2",166,61,180
"99","E",5,"Z3",340,94,197
"100","E",5,"Z4",222,74,192
"101","F",1,"Z1",69,51,82
"102","F",1,"Z2",122,151,137
"103","F",1,"Z3",172,62,96
"104","F",1,"Z4",79,50,89
"105","F",2,"Z1",38,65,108
"106","F",2,"Z2",34,37,81
"107","F",2,"Z3",66,55,52
"108","F",2,"Z4",65,44,103
"109","F",3,"Z1",56,104,161
"110","F",3,"Z2",22,120,126
"111","F",3,"Z3",14,47,111
"112","F",3,"Z4",16,57,118
"113","F",4,"Z1",49,76,130
"114","F",4,"Z2",40,63,118
"115","F",4,"Z3",23,50,26
"116","F",4,"Z4",53,77,209
"117","F",5,"Z1",27,48,47
"118","F",5,"Z2",11,48,95
"119","F",5,"Z3",25,85,63
"120","F",5,"Z4",7,71,91
