"Site","Plot","Subplot","Species_Count"
"A","1","Z1",29
"A","1","Z2",23
"A","1","Z3",29
"A","1","Z4",30
"A","2","Z1",20
"A","2","Z2",27
"A","2","Z3",27
"A","2","Z4",24
"A","3","Z1",24
"A","3","Z2",31
"A","3","Z3",30
"A","3","Z4",31
"A","4","Z1",31
"A","4","Z2",29
"A","4","Z3",30
"A","4","Z4",27
"A","5","Z1",31
"A","5","Z2",32
"A","5","Z3",27
"A","5","Z4",28
"B","1","Z1",20
"B","1","Z2",17
"B","1","Z3",20
"B","1","Z4",18
"B","2","Z1",12
"B","2","Z2",16
"B","2","Z3",13
"B","2","Z4",13
"B","3","Z1",17
"B","3","Z2",21
"B","3","Z3",17
"B","3","Z4",18
"B","4","Z1",17
"B","4","Z2",20
"B","4","Z3",21
"B","4","Z4",18
"B","5","Z1",17
"B","5","Z2",18
"B","5","Z3",19
"B","5","Z4",12
"C","1","Z1",16
"C","1","Z2",17
"C","1","Z3",20
"C","1","Z4",20
"C","2","Z1",22
"C","2","Z2",18
"C","2","Z3",21
"C","2","Z4",18
"C","3","Z1",25
"C","3","Z2",24
"C","3","Z3",15
"C","3","Z4",18
"C","4","Z1",27
"C","4","Z2",24
"C","4","Z3",26
"C","4","Z4",28
"C","5","Z1",25
"C","5","Z2",24
"C","5","Z3",18
"C","5","Z4",26
"D","1","Z1",22
"D","1","Z2",24
"D","1","Z3",28
"D","1","Z4",32
"D","2","Z1",30
"D","2","Z2",21
"D","2","Z3",32
"D","2","Z4",27
"D","3","Z1",29
"D","3","Z2",22
"D","3","Z3",22
"D","3","Z4",33
"D","4","Z1",33
"D","4","Z2",29
"D","4","Z3",25
"D","4","Z4",27
"D","5","Z1",28
"D","5","Z2",26
"D","5","Z3",26
"D","5","Z4",35
"E","1","Z1",25
"E","1","Z2",23
"E","1","Z3",24
"E","1","Z4",27
"E","2","Z1",21
"E","2","Z2",23
"E","2","Z3",23
"E","2","Z4",26
"E","3","Z1",21
"E","3","Z2",23
"E","3","Z3",26
"E","3","Z4",27
"E","4","Z1",26
"E","4","Z2",26
"E","4","Z3",26
"E","4","Z4",29
"E","5","Z1",28
"E","5","Z2",23
"E","5","Z3",24
"E","5","Z4",24
"F","1","Z1",25
"F","1","Z2",32
"F","1","Z3",29
"F","1","Z4",26
"F","2","Z1",27
"F","2","Z2",16
"F","2","Z3",25
"F","2","Z4",18
"F","3","Z1",16
"F","3","Z2",9
"F","3","Z3",12
"F","3","Z4",11
"F","4","Z1",15
"F","4","Z2",19
"F","4","Z3",16
"F","4","Z4",23
"F","5","Z1",18
"F","5","Z2",13
"F","5","Z3",10
"F","5","Z4",18
